region_code,region,network,control_period,control_tiles,control_tests,control_devices_sum_across_tiles,control_download_mbps_test_weighted,control_upload_mbps_test_weighted,control_latency_ms_test_weighted,control_loaded_latency_down_ms_test_weighted,control_loaded_latency_up_ms_test_weighted,current_period,current_tiles,current_tests,current_devices_sum_across_tiles,current_download_mbps_test_weighted,current_upload_mbps_test_weighted,current_latency_ms_test_weighted,current_loaded_latency_down_ms_test_weighted,current_loaded_latency_up_ms_test_weighted,delta_download_mbps_test_weighted,delta_pct_download_mbps_test_weighted,delta_upload_mbps_test_weighted,delta_pct_upload_mbps_test_weighted,delta_latency_ms_test_weighted,delta_pct_latency_ms_test_weighted
1.0,Región de Tarapacá,fixed,2026Q1,297,8894,3058,412.669,335.241,23.574,355.544,266.04,2026Q2,340,9461,3265,444.943,359.319,24.624,353.62,254.237,32.274,7.821,24.078,7.182,1.05,4.454
1.0,Región de Tarapacá,mobile,2026Q1,284,1674,833,71.905,18.947,57.083,1596.996,1321.157,2026Q2,286,2190,889,69.545,20.052,51.098,1549.404,1221.329,-2.36,-3.282,1.105,5.832,-5.985,-10.485
2.0,Región de Antofagasta,fixed,2026Q1,675,16512,5879,430.212,362.661,18.242,280.731,250.99,2026Q2,664,17063,5725,438.324,371.703,17.499,280.212,244.637,8.112,1.886,9.042,2.493,-0.743,-4.073
2.0,Región de Antofagasta,mobile,2026Q1,604,3584,1698,79.889,21.024,43.557,1818.154,1204.294,2026Q2,693,3858,1814,74.1,20.239,47.97,1755.844,1186.969,-5.789,-7.246,-0.785,-3.734,4.413,10.132
3.0,Región de Atacama,fixed,2026Q1,509,6938,2663,411.644,346.714,15.432,213.902,237.674,2026Q2,500,8703,2670,411.227,340.351,15.858,241.276,264.234,-0.417,-0.101,-6.363,-1.835,0.426,2.76
3.0,Región de Atacama,mobile,2026Q1,477,2345,1139,86.437,20.085,40.392,1719.894,1329.92,2026Q2,488,2657,1183,91.639,20.533,36.148,1685.854,1327.209,5.202,6.018,0.448,2.231,-4.244,-10.507
4.0,Región de Coquimbo,fixed,2026Q1,1431,20835,8206,396.353,332.856,12.313,212.831,253.822,2026Q2,1330,20409,7605,420.378,370.575,11.002,196.012,249.792,24.025,6.062,37.719,11.332,-1.311,-10.647
4.0,Región de Coquimbo,mobile,2026Q1,1227,6097,2948,78.082,18.834,43.911,1657.463,1337.161,2026Q2,1118,5241,2474,84.543,19.447,37.654,1507.942,1325.349,6.461,8.275,0.613,3.255,-6.257,-14.249
5.0,Región de Valparaíso,fixed,2026Q1,3283,55722,21113,392.486,331.084,8.719,233.589,236.893,2026Q2,3163,55239,19076,418.137,361.231,7.69,234.975,240.418,25.651,6.536,30.147,9.106,-1.029,-11.802
5.0,Región de Valparaíso,mobile,2026Q1,2778,17791,7730,92.639,20.17,31.472,1566.541,1198.786,2026Q2,2550,13781,6005,101.618,20.381,28.037,1550.767,1242.926,8.979,9.692,0.211,1.046,-3.435,-10.914
