commune_code,commune,province,region,region_code,network,control_period,control_tiles,control_tests,control_devices_sum_across_tiles,control_download_mbps_test_weighted,control_upload_mbps_test_weighted,control_latency_ms_test_weighted,control_loaded_latency_down_ms_test_weighted,control_loaded_latency_up_ms_test_weighted,current_period,current_tiles,current_tests,current_devices_sum_across_tiles,current_download_mbps_test_weighted,current_upload_mbps_test_weighted,current_latency_ms_test_weighted,current_loaded_latency_down_ms_test_weighted,current_loaded_latency_up_ms_test_weighted,delta_download_mbps_test_weighted,delta_pct_download_mbps_test_weighted,delta_upload_mbps_test_weighted,delta_pct_upload_mbps_test_weighted,delta_latency_ms_test_weighted,delta_pct_latency_ms_test_weighted
13129,San Joaquín,Santiago,Región Metropolitana de Santiago,13.0,mobile,2025Q4,37.0,382.0,204.0,122.923,23.648,23.537,1672.034,1150.442,2026Q1,36.0,401.0,187.0,118.476,27.756,19.137,1556.372,1251.387,-4.447,-3.618,4.108,17.371,-4.4,-18.694
13130,San Miguel,Santiago,Región Metropolitana de Santiago,13.0,fixed,2025Q4,38.0,6470.0,2487.0,446.747,379.726,5.104,231.051,222.383,2026Q1,38.0,6227.0,2591.0,454.737,393.83,4.601,208.978,213.562,7.99,1.788,14.104,3.714,-0.503,-9.855
13130,San Miguel,Santiago,Región Metropolitana de Santiago,13.0,mobile,2025Q4,38.0,722.0,429.0,110.897,23.138,19.544,1288.454,1014.529,2026Q1,38.0,818.0,442.0,123.148,24.655,18.18,1323.985,1009.364,12.251,11.047,1.517,6.556,-1.364,-6.979
13131,San Ramón,Santiago,Región Metropolitana de Santiago,13.0,fixed,2025Q4,25.0,1732.0,648.0,406.542,354.868,4.92,201.557,294.58,2026Q1,25.0,1388.0,601.0,473.304,418.55,4.398,210.13,246.036,66.762,16.422,63.682,17.945,-0.522,-10.61
13131,San Ramón,Santiago,Región Metropolitana de Santiago,13.0,mobile,2025Q4,24.0,333.0,171.0,132.383,26.206,18.595,1203.078,976.586,2026Q1,25.0,321.0,158.0,157.439,30.713,18.47,1171.96,1020.754,25.056,18.927,4.507,17.198,-0.125,-0.672
13132,Vitacura,Santiago,Región Metropolitana de Santiago,13.0,fixed,2025Q4,86.0,7089.0,2578.0,349.441,275.055,5.873,227.081,258.787,2026Q1,85.0,6430.0,2273.0,354.27,280.945,5.444,237.502,249.939,4.829,1.382,5.89,2.141,-0.429,-7.305
13132,Vitacura,Santiago,Región Metropolitana de Santiago,13.0,mobile,2025Q4,71.0,855.0,416.0,162.134,29.992,38.405,1021.076,1040.567,2026Q1,70.0,637.0,380.0,172.443,30.329,19.162,909.819,899.969,10.309,6.358,0.337,1.124,-19.243,-50.105
13201,Puente Alto,Cordillera,Región Metropolitana de Santiago,13.0,fixed,2025Q4,243.0,16386.0,6111.0,450.413,394.16,4.948,186.51,223.597,2026Q1,237.0,14671.0,5730.0,439.129,381.77,4.956,212.743,244.724,-11.284,-2.505,-12.39,-3.143,0.008,0.162
13201,Puente Alto,Cordillera,Región Metropolitana de Santiago,13.0,mobile,2025Q4,222.0,1758.0,1041.0,104.784,23.977,21.574,1415.736,1180.2,2026Q1,220.0,1877.0,1102.0,108.243,21.946,21.864,1320.18,1218.689,3.459,3.301,-2.031,-8.471,0.29,1.344
13202,Pirque,Cordillera,Región Metropolitana de Santiago,13.0,fixed,2025Q4,157.0,789.0,307.0,278.044,230.169,8.288,201.54,342.743,2026Q1,153.0,798.0,275.0,267.358,216.945,6.754,227.623,324.467,-10.686,-3.843,-13.224,-5.745,-1.534,-18.509
13202,Pirque,Cordillera,Región Metropolitana de Santiago,13.0,mobile,2025Q4,80.0,172.0,103.0,79.796,13.278,35.081,1675.512,1523.936,2026Q1,68.0,183.0,88.0,64.31,12.847,28.027,1505.421,1315.448,-15.486,-19.407,-0.431,-3.246,-7.054,-20.108
13203,San José de Maipo,Cordillera,Región Metropolitana de Santiago,13.0,fixed,2025Q4,84.0,457.0,187.0,258.589,224.034,9.278,188.567,327.171,2026Q1,77.0,426.0,177.0,297.873,243.302,15.582,263.548,356.906,39.284,15.192,19.268,8.6,6.304,67.946
13203,San José de Maipo,Cordillera,Región Metropolitana de Santiago,13.0,mobile,2025Q4,48.0,134.0,70.0,104.412,18.806,20.97,1179.993,1122.731,2026Q1,66.0,174.0,96.0,92.668,17.715,26.27,1947.202,1507.443,-11.744,-11.248,-1.091,-5.801,5.3,25.274
13301,Colina,Chacabuco,Región Metropolitana de Santiago,13.0,fixed,2025Q4,450.0,9873.0,2979.0,348.049,283.098,5.894,228.453,245.251,2026Q1,458.0,9039.0,2867.0,353.779,291.277,5.763,228.432,256.265,5.73,1.646,8.179,2.889,-0.131,-2.223
13301,Colina,Chacabuco,Región Metropolitana de Santiago,13.0,mobile,2025Q4,254.0,1110.0,513.0,97.92,20.006,22.704,1422.574,1209.356,2026Q1,251.0,971.0,499.0,101.637,21.347,21.385,1482.469,1146.134,3.717,3.796,1.341,6.703,-1.319,-5.81
13302,Lampa,Chacabuco,Región Metropolitana de Santiago,13.0,fixed,2025Q4,298.0,5164.0,1608.0,352.187,300.087,6.478,238.01,278.194,2026Q1,278.0,4903.0,1638.0,383.891,313.675,7.589,236.873,264.338,31.704,9.002,13.588,4.528,1.111,17.15
13302,Lampa,Chacabuco,Región Metropolitana de Santiago,13.0,mobile,2025Q4,183.0,856.0,374.0,67.973,16.464,25.623,1896.698,1417.485,2026Q1,193.0,766.0,399.0,71.841,14.424,22.052,1873.448,1307.841,3.868,5.69,-2.04,-12.391,-3.571,-13.937
13303,Tiltil,Chacabuco,Región Metropolitana de Santiago,13.0,fixed,2025Q4,61.0,494.0,204.0,328.946,237.599,23.113,264.398,277.54,2026Q1,69.0,477.0,187.0,346.416,245.048,8.0,163.011,238.025,17.47,5.311,7.449,3.135,-15.113,-65.387
13303,Tiltil,Chacabuco,Región Metropolitana de Santiago,13.0,mobile,2025Q4,69.0,301.0,105.0,81.381,17.756,28.272,1285.07,1229.525,2026Q1,80.0,237.0,121.0,81.468,18.086,27.916,1344.203,1172.882,0.087,0.107,0.33,1.859,-0.356,-1.259
13401,San Bernardo,Maipo,Región Metropolitana de Santiago,13.0,fixed,2025Q4,212.0,9321.0,3591.0,455.216,389.613,4.888,171.849,210.903,2026Q1,207.0,8428.0,3340.0,443.057,376.217,4.84,209.27,227.091,-12.159,-2.671,-13.396,-3.438,-0.048,-0.982
13401,San Bernardo,Maipo,Región Metropolitana de Santiago,13.0,mobile,2025Q4,231.0,1771.0,851.0,94.699,19.927,23.592,1482.121,1240.147,2026Q1,223.0,1718.0,850.0,102.379,20.046,22.623,1398.683,1192.945,7.68,8.11,0.119,0.597,-0.969,-4.107
13402,Buin,Maipo,Región Metropolitana de Santiago,13.0,fixed,2025Q4,206.0,4547.0,1517.0,392.522,321.807,5.94,169.346,251.526,2026Q1,222.0,4727.0,1617.0,407.669,347.031,5.355,162.225,258.812,15.147,3.859,25.224,7.838,-0.585,-9.848
13402,Buin,Maipo,Región Metropolitana de Santiago,13.0,mobile,2025Q4,138.0,603.0,341.0,101.884,19.334,27.033,1292.487,1202.135,2026Q1,136.0,716.0,347.0,99.595,20.983,25.071,1251.603,1139.704,-2.289,-2.247,1.649,8.529,-1.962,-7.258
13403,Calera de Tango,Maipo,Región Metropolitana de Santiago,13.0,fixed,2025Q4,112.0,988.0,331.0,282.101,258.419,8.143,237.199,318.28,2026Q1,101.0,786.0,312.0,295.185,269.147,6.594,236.709,314.009,13.084,4.638,10.728,4.151,-1.549,-19.022
13403,Calera de Tango,Maipo,Región Metropolitana de Santiago,13.0,mobile,2025Q4,65.0,187.0,100.0,87.029,15.521,26.235,1822.328,1204.043,2026Q1,64.0,185.0,108.0,110.069,17.462,24.616,1583.779,1382.853,23.04,26.474,1.941,12.506,-1.619,-6.171
13404,Paine,Maipo,Región Metropolitana de Santiago,13.0,fixed,2025Q4,293.0,2434.0,774.0,319.584,262.68,7.085,195.895,294.051,2026Q1,320.0,1924.0,757.0,329.475,273.117,7.241,217.381,278.456,9.891,3.095,10.437,3.973,0.156,2.202
13404,Paine,Maipo,Región Metropolitana de Santiago,13.0,mobile,2025Q4,162.0,488.0,229.0,62.398,14.394,28.439,1709.081,1329.926,2026Q1,151.0,428.0,244.0,63.345,13.411,25.729,1421.224,1286.369,0.947,1.518,-0.983,-6.829,-2.71,-9.529
13501,Melipilla,Melipilla,Región Metropolitana de Santiago,13.0,fixed,2025Q4,327.0,4069.0,1149.0,306.542,286.931,9.142,330.793,331.73,2026Q1,354.0,3866.0,1125.0,341.215,312.777,7.673,214.424,247.142,34.673,11.311,25.846,9.008,-1.469,-16.069
13501,Melipilla,Melipilla,Región Metropolitana de Santiago,13.0,mobile,2025Q4,186.0,867.0,396.0,74.321,18.535,22.749,1764.828,1301.928,2026Q1,226.0,1045.0,492.0,73.243,17.561,27.538,1782.563,1349.937,-1.078,-1.45,-0.974,-5.255,4.789,21.051
13502,Alhué,Melipilla,Región Metropolitana de Santiago,13.0,fixed,2025Q4,24.0,60.0,28.0,362.574,289.205,9.883,241.483,158.017,2026Q1,24.0,60.0,31.0,440.403,326.049,10.967,326.867,165.117,77.829,21.466,36.844,12.74,1.084,10.968
13502,Alhué,Melipilla,Región Metropolitana de Santiago,13.0,mobile,2025Q4,12.0,21.0,13.0,42.684,10.22,61.476,1079.429,1766.905,2026Q1,21.0,37.0,23.0,62.086,22.431,59.514,912.194,1016.027,19.402,45.455,12.211,119.481,-1.962,-3.191
13503,Curacaví,Melipilla,Región Metropolitana de Santiago,13.0,fixed,2025Q4,144.0,919.0,316.0,224.926,190.913,10.224,321.368,312.552,2026Q1,131.0,978.0,288.0,235.321,194.992,9.118,321.781,352.815,10.395,4.622,4.079,2.137,-1.106,-10.818
13503,Curacaví,Melipilla,Región Metropolitana de Santiago,13.0,mobile,2025Q4,110.0,251.0,173.0,65.456,15.673,26.096,1800.391,1423.572,2026Q1,115.0,388.0,200.0,84.117,17.006,39.655,1490.111,1317.326,18.661,28.509,1.333,8.505,13.559,51.958
13504,María Pinto,Melipilla,Región Metropolitana de Santiago,13.0,fixed,2025Q4,70.0,230.0,97.0,211.212,171.334,10.783,312.956,437.153,2026Q1,63.0,249.0,98.0,261.628,185.736,7.538,238.695,388.012,50.416,23.87,14.402,8.406,-3.245,-30.094
13504,María Pinto,Melipilla,Región Metropolitana de Santiago,13.0,mobile,2025Q4,18.0,33.0,22.0,84.045,14.973,20.03,1306.562,954.788,2026Q1,24.0,36.0,26.0,106.948,16.055,21.333,1252.714,1476.583,22.903,27.251,1.082,7.226,1.303,6.505
13505,San Pedro,Melipilla,Región Metropolitana de Santiago,13.0,fixed,2025Q4,43.0,118.0,50.0,222.161,160.816,12.39,191.017,230.627,2026Q1,55.0,481.0,71.0,138.085,122.982,7.083,603.11,583.252,-84.076,-37.845,-37.834,-23.526,-5.307,-42.833
13505,San Pedro,Melipilla,Región Metropolitana de Santiago,13.0,mobile,2025Q4,47.0,163.0,57.0,39.4,7.357,34.834,1550.472,2353.568,2026Q1,35.0,78.0,38.0,72.383,10.896,34.0,1243.269,1543.397,32.983,83.713,3.539,48.104,-0.834,-2.394
13601,Talagante,Talagante,Región Metropolitana de Santiago,13.0,fixed,2025Q4,182.0,2263.0,861.0,340.722,314.701,6.815,241.629,280.45,2026Q1,169.0,2258.0,866.0,360.635,335.264,7.47,215.209,247.548,19.913,5.844,20.563,6.534,0.655,9.611
13601,Talagante,Talagante,Región Metropolitana de Santiago,13.0,mobile,2025Q4,114.0,606.0,237.0,78.903,18.139,25.743,1601.821,1263.163,2026Q1,121.0,479.0,234.0,93.943,22.463,23.236,1488.652,1041.95,15.04,19.061,4.324,23.838,-2.507,-9.739
13602,El Monte,Talagante,Región Metropolitana de Santiago,13.0,fixed,2025Q4,58.0,524.0,228.0,348.683,317.298,5.826,229.62,246.052,2026Q1,71.0,691.0,283.0,364.198,314.447,7.525,257.285,262.403,15.515,4.45,-2.851,-0.899,1.699,29.162
