commune_code,commune,province,region,region_code,period,network,tiles,tests,devices_sum_across_tiles,download_mbps_test_weighted,upload_mbps_test_weighted,latency_ms_test_weighted,loaded_latency_down_ms_test_weighted,loaded_latency_up_ms_test_weighted,aggregation
1101,Iquique,Iquique,Región de Tarapacá,1.0,2026Q1,fixed,87,5292,1794,443.733,368.08,21.698,330.144,245.284,tile averages weighted by tile test count
1107,Alto Hospicio,Iquique,Región de Tarapacá,1.0,2026Q1,fixed,74,2941,978,407.473,323.401,23.209,372.508,262.126,tile averages weighted by tile test count
1401,Pozo Almonte,Tamarugal,Región de Tarapacá,1.0,2026Q1,fixed,76,412,164,205.55,144.286,33.682,476.801,406.731,tile averages weighted by tile test count
1402,Camiña,Tamarugal,Región de Tarapacá,1.0,2026Q1,fixed,4,5,4,277.804,33.294,45.6,167.6,61.2,tile averages weighted by tile test count
1403,Colchane,Tamarugal,Región de Tarapacá,1.0,2026Q1,fixed,7,17,9,114.408,22.545,45.647,310.353,282.765,tile averages weighted by tile test count
1404,Huara,Tamarugal,Región de Tarapacá,1.0,2026Q1,fixed,12,47,15,199.154,78.394,67.277,301.362,225.404,tile averages weighted by tile test count
1405,Pica,Tamarugal,Región de Tarapacá,1.0,2026Q1,fixed,37,180,94,146.002,105.263,47.45,571.233,632.922,tile averages weighted by tile test count
2101,Antofagasta,Antofagasta,Región de Antofagasta,2.0,2026Q1,fixed,240,10299,3459,452.314,379.847,15.788,269.393,236.847,tile averages weighted by tile test count
2102,Mejillones,Antofagasta,Región de Antofagasta,2.0,2026Q1,fixed,29,233,92,220.136,196.28,16.73,241.515,235.236,tile averages weighted by tile test count
2103,Sierra Gorda,Antofagasta,Región de Antofagasta,2.0,2026Q1,fixed,49,140,88,121.962,32.01,32.764,509.557,365.321,tile averages weighted by tile test count
2104,Taltal,Antofagasta,Región de Antofagasta,2.0,2026Q1,fixed,40,364,102,273.462,234.838,20.508,321.907,358.835,tile averages weighted by tile test count
2201,Calama,El Loa,Región de Antofagasta,2.0,2026Q1,fixed,188,4597,1682,448.081,388.362,21.945,289.595,267.428,tile averages weighted by tile test count
2202,Ollagüe,El Loa,Región de Antofagasta,2.0,2026Q1,fixed,3,8,4,154.726,20.699,29.25,141.125,438.0,tile averages weighted by tile test count
2203,San Pedro de Atacama,El Loa,Región de Antofagasta,2.0,2026Q1,fixed,77,383,250,131.25,29.172,30.809,382.402,267.428,tile averages weighted by tile test count
2301,Tocopilla,Tocopilla,Región de Antofagasta,2.0,2026Q1,fixed,27,390,163,387.345,363.028,17.787,281.992,288.651,tile averages weighted by tile test count
2302,María Elena,Tocopilla,Región de Antofagasta,2.0,2026Q1,fixed,22,98,39,152.866,23.419,28.786,278.878,210.571,tile averages weighted by tile test count
3101,Copiapó,Copiapó,Región de Atacama,3.0,2026Q1,fixed,181,3809,1519,440.291,387.506,14.059,209.012,257.444,tile averages weighted by tile test count
3102,Caldera,Copiapó,Región de Atacama,3.0,2026Q1,fixed,50,532,215,347.437,280.323,18.5,229.036,236.468,tile averages weighted by tile test count
3103,Tierra Amarilla,Copiapó,Región de Atacama,3.0,2026Q1,fixed,53,357,137,327.897,259.383,17.171,324.179,203.294,tile averages weighted by tile test count
3201,Chañaral,Chañaral,Región de Atacama,3.0,2026Q1,fixed,32,257,85,424.169,251.087,19.49,270.856,163.763,tile averages weighted by tile test count
3202,Diego de Almagro,Chañaral,Región de Atacama,3.0,2026Q1,fixed,40,191,85,327.311,280.917,21.56,157.346,171.634,tile averages weighted by tile test count
3301,Vallenar,Huasco,Región de Atacama,3.0,2026Q1,fixed,98,1383,511,429.044,359.255,14.299,189.387,209.046,tile averages weighted by tile test count
