commune_code,commune,province,region,region_code,period,network,tiles,tests,devices_sum_across_tiles,download_mbps_test_weighted,upload_mbps_test_weighted,latency_ms_test_weighted,loaded_latency_down_ms_test_weighted,loaded_latency_up_ms_test_weighted,aggregation
4305,Río Hurtado,Limarí,Región de Coquimbo,4.0,2026Q2,fixed,15,32,21,192.142,60.24,25.219,366.625,124.375,tile averages weighted by tile test count
5101,Valparaíso,Valparaíso,Región de Valparaíso,5.0,2026Q2,fixed,227,6047,2324,418.536,359.207,7.683,239.979,290.829,tile averages weighted by tile test count
5102,Casablanca,Valparaíso,Región de Valparaíso,5.0,2026Q2,fixed,124,768,280,270.44,213.382,14.509,249.529,212.711,tile averages weighted by tile test count
5103,Concón,Valparaíso,Región de Valparaíso,5.0,2026Q2,fixed,68,2741,848,424.495,367.061,7.403,279.592,231.276,tile averages weighted by tile test count
5105,Puchuncaví,Valparaíso,Región de Valparaíso,5.0,2026Q2,fixed,111,710,255,359.413,287.129,7.932,361.606,332.489,tile averages weighted by tile test count
5107,Quintero,Valparaíso,Región de Valparaíso,5.0,2026Q2,fixed,72,1564,351,489.493,450.152,7.719,210.604,218.995,tile averages weighted by tile test count
5109,Viña del Mar,Valparaíso,Región de Valparaíso,5.0,2026Q2,fixed,249,11444,4095,436.858,381.386,6.818,247.507,231.053,tile averages weighted by tile test count
5301,Los Andes,Los Andes,Región de Valparaíso,5.0,2026Q2,fixed,76,1721,655,425.819,374.128,7.472,210.523,208.04,tile averages weighted by tile test count
5302,Calle Larga,Los Andes,Región de Valparaíso,5.0,2026Q2,fixed,51,500,206,454.901,391.131,7.334,154.662,230.678,tile averages weighted by tile test count
5303,Rinconada,Los Andes,Región de Valparaíso,5.0,2026Q2,fixed,47,406,134,355.584,256.364,11.749,267.773,262.318,tile averages weighted by tile test count
5304,San Esteban,Los Andes,Región de Valparaíso,5.0,2026Q2,fixed,61,419,150,352.467,260.29,9.277,266.084,207.955,tile averages weighted by tile test count
5401,La Ligua,Petorca,Región de Valparaíso,5.0,2026Q2,fixed,106,793,286,377.446,335.822,8.97,227.483,271.48,tile averages weighted by tile test count
5402,Cabildo,Petorca,Región de Valparaíso,5.0,2026Q2,fixed,51,314,105,195.065,174.111,9.936,290.14,458.818,tile averages weighted by tile test count
5403,Papudo,Petorca,Región de Valparaíso,5.0,2026Q2,fixed,37,300,134,306.994,273.461,9.543,343.687,195.533,tile averages weighted by tile test count
5404,Petorca,Petorca,Región de Valparaíso,5.0,2026Q2,fixed,22,57,25,275.913,167.477,16.719,267.754,338.789,tile averages weighted by tile test count
5405,Zapallar,Petorca,Región de Valparaíso,5.0,2026Q2,fixed,84,614,212,314.08,227.64,12.35,362.042,306.029,tile averages weighted by tile test count
5501,Quillota,Quillota,Región de Valparaíso,5.0,2026Q2,fixed,147,2352,785,433.607,378.527,7.096,229.339,241.307,tile averages weighted by tile test count
5502,Calera,Quillota,Región de Valparaíso,5.0,2026Q2,fixed,56,973,315,409.275,355.977,8.189,204.967,229.285,tile averages weighted by tile test count
5503,Hijuelas,Quillota,Región de Valparaíso,5.0,2026Q2,fixed,67,553,133,404.488,378.228,8.016,309.043,163.533,tile averages weighted by tile test count
5504,La Cruz,Quillota,Región de Valparaíso,5.0,2026Q2,fixed,52,440,186,410.617,337.494,7.405,202.153,169.574,tile averages weighted by tile test count
5506,Nogales,Quillota,Región de Valparaíso,5.0,2026Q2,fixed,49,244,109,410.644,325.085,10.098,209.143,252.393,tile averages weighted by tile test count
5601,San Antonio,San Antonio,Región de Valparaíso,5.0,2026Q2,fixed,121,2205,646,416.361,371.167,7.007,179.696,295.17,tile averages weighted by tile test count
5602,Algarrobo,San Antonio,Región de Valparaíso,5.0,2026Q2,fixed,106,902,384,347.271,301.519,9.672,282.487,277.718,tile averages weighted by tile test count
5603,Cartagena,San Antonio,Región de Valparaíso,5.0,2026Q2,fixed,58,749,240,390.547,376.733,3.469,277.499,342.222,tile averages weighted by tile test count
5604,El Quisco,San Antonio,Región de Valparaíso,5.0,2026Q2,fixed,76,599,230,356.832,297.006,8.509,238.05,261.27,tile averages weighted by tile test count
5605,El Tabo,San Antonio,Región de Valparaíso,5.0,2026Q2,fixed,85,570,223,468.657,414.106,4.975,201.368,221.588,tile averages weighted by tile test count
5606,Santo Domingo,San Antonio,Región de Valparaíso,5.0,2026Q2,fixed,102,861,285,331.478,256.231,9.948,238.553,243.105,tile averages weighted by tile test count
5701,San Felipe,San Felipe,Región de Valparaíso,5.0,2026Q2,fixed,98,2452,669,447.447,376.226,7.159,177.941,183.214,tile averages weighted by tile test count
5702,Catemu,San Felipe,Región de Valparaíso,5.0,2026Q2,fixed,30,230,75,430.364,369.36,9.548,218.13,271.265,tile averages weighted by tile test count
5703,Llaillay,San Felipe,Región de Valparaíso,5.0,2026Q2,fixed,49,775,189,444.938,330.5,10.379,172.114,209.857,tile averages weighted by tile test count
5704,Panquehue,San Felipe,Región de Valparaíso,5.0,2026Q2,fixed,36,206,84,428.059,376.512,7.879,267.951,141.354,tile averages weighted by tile test count
5705,Putaendo,San Felipe,Región de Valparaíso,5.0,2026Q2,fixed,60,381,119,366.145,290.694,7.291,274.738,213.331,tile averages weighted by tile test count
5706,Santa María,San Felipe,Región de Valparaíso,5.0,2026Q2,fixed,52,303,109,377.722,313.286,8.673,198.877,282.169,tile averages weighted by tile test count
5801,Quilpué,Marga Marga,Región de Valparaíso,5.0,2026Q2,fixed,143,4486,1669,444.224,381.834,7.653,219.906,211.521,tile averages weighted by tile test count
