commune_code,commune,province,region,network,control_period,control_tests,control_download_mbps_test_weighted,current_period,current_tests,current_download_mbps_test_weighted,mean_tests_q1_q2,delta_download_mbps_test_weighted,delta_pct_download_mbps_test_weighted,report_change_rank_desc,report_change_rank_asc,report_validation
13605,Peñaflor,Talagante,Región Metropolitana de Santiago,fixed,2026Q1,2927.0,418.514,2026Q2,2535.0,440.149,2731.0,21.635,5.169,29,55,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
5802,Limache,Marga Marga,Región de Valparaíso,fixed,2026Q1,1644.0,365.744,2026Q2,1692.0,384.506,1668.0,18.762,5.13,30,54,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
13118,Macul,Santiago,Región Metropolitana de Santiago,fixed,2026Q1,6114.0,463.337,2026Q2,5938.0,486.881,6026.0,23.544,5.081,31,53,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
13128,Renca,Santiago,Región Metropolitana de Santiago,fixed,2026Q1,3233.0,412.121,2026Q2,4314.0,432.859,3773.5,20.738,5.032,32,52,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
8301,Los Ángeles,Bío-Bío,Región del Bío-Bío,fixed,2026Q1,5272.0,328.872,2026Q2,6196.0,345.257,5734.0,16.385,4.982,33,51,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
13119,Maipú,Santiago,Región Metropolitana de Santiago,fixed,2026Q1,14283.0,433.634,2026Q2,16913.0,454.823,15598.0,21.189,4.886,34,50,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
16101,Chillán,Ñuble,Región de Ñuble,fixed,2026Q1,4411.0,447.683,2026Q2,5076.0,469.508,4743.5,21.825,4.875,35,49,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
13604,Padre Hurtado,Talagante,Región Metropolitana de Santiago,fixed,2026Q1,2839.0,423.27,2026Q2,2902.0,443.435,2870.5,20.165,4.764,36,48,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
13101,Santiago,Santiago,Región Metropolitana de Santiago,fixed,2026Q1,17369.0,425.167,2026Q2,18376.0,445.19,17872.5,20.023,4.709,37,47,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
4101,La Serena,Elqui,Región de Coquimbo,fixed,2026Q1,8117.0,422.926,2026Q2,7525.0,442.553,7821.0,19.627,4.641,38,46,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
13104,Conchalí,Santiago,Región Metropolitana de Santiago,fixed,2026Q1,3062.0,434.783,2026Q2,3222.0,454.382,3142.0,19.599,4.508,39,45,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
10301,Osorno,Osorno,Región de Los Lagos,fixed,2026Q1,3359.0,444.221,2026Q2,3819.0,464.052,3589.0,19.831,4.464,40,44,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
13125,Quilicura,Santiago,Región Metropolitana de Santiago,fixed,2026Q1,6294.0,429.354,2026Q2,6964.0,448.311,6629.0,18.957,4.415,41,43,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
5103,Concón,Valparaíso,Región de Valparaíso,fixed,2026Q1,2817.0,406.63,2026Q2,2741.0,424.495,2779.0,17.865,4.393,42,42,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
13601,Talagante,Talagante,Región Metropolitana de Santiago,fixed,2026Q1,2258.0,360.635,2026Q2,2270.0,376.464,2264.0,15.829,4.389,43,41,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
13123,Providencia,Santiago,Región Metropolitana de Santiago,fixed,2026Q1,9862.0,415.695,2026Q2,10801.0,433.405,10331.5,17.71,4.26,44,40,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
5801,Quilpué,Marga Marga,Región de Valparaíso,fixed,2026Q1,4353.0,426.361,2026Q2,4486.0,444.224,4419.5,17.863,4.19,45,39,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
13112,La Pintana,Santiago,Región Metropolitana de Santiago,fixed,2026Q1,2115.0,459.631,2026Q2,2128.0,478.195,2121.5,18.564,4.039,46,38,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
8112,Hualpén,Concepción,Región del Bío-Bío,fixed,2026Q1,1836.0,464.708,2026Q2,1819.0,482.729,1827.5,18.021,3.878,47,37,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
6101,Rancagua,Cachapoal,Región del Libertador Bernardo O'Higgins,fixed,2026Q1,5910.0,417.355,2026Q2,6412.0,433.51,6161.0,16.155,3.871,48,36,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
13301,Colina,Chacabuco,Región Metropolitana de Santiago,fixed,2026Q1,9039.0,353.779,2026Q2,9777.0,366.862,9408.0,13.083,3.698,49,35,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
5109,Viña del Mar,Valparaíso,Región de Valparaíso,fixed,2026Q1,11729.0,421.57,2026Q2,11444.0,436.858,11586.5,15.288,3.626,50,34,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
13402,Buin,Maipo,Región Metropolitana de Santiago,fixed,2026Q1,4727.0,407.669,2026Q2,5241.0,421.099,4984.0,13.43,3.294,51,33,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
13302,Lampa,Chacabuco,Región Metropolitana de Santiago,fixed,2026Q1,4903.0,383.891,2026Q2,5846.0,396.427,5374.5,12.536,3.266,52,32,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
2101,Antofagasta,Antofagasta,Región de Antofagasta,fixed,2026Q1,10299.0,452.314,2026Q2,11119.0,466.609,10709.0,14.295,3.16,53,31,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
13106,Estación Central,Santiago,Región Metropolitana de Santiago,fixed,2026Q1,4840.0,437.292,2026Q2,4933.0,450.197,4886.5,12.905,2.951,54,30,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
13113,La Reina,Santiago,Región Metropolitana de Santiago,fixed,2026Q1,4935.0,413.378,2026Q2,5134.0,425.513,5034.5,12.135,2.936,55,29,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
13121,Pedro Aguirre Cerda,Santiago,Región Metropolitana de Santiago,fixed,2026Q1,1843.0,416.779,2026Q2,2326.0,428.994,2084.5,12.215,2.931,56,28,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
13126,Quinta Normal,Santiago,Región Metropolitana de Santiago,fixed,2026Q1,3087.0,455.315,2026Q2,3158.0,468.05,3122.5,12.735,2.797,57,27,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
5101,Valparaíso,Valparaíso,Región de Valparaíso,fixed,2026Q1,7060.0,407.412,2026Q2,6047.0,418.536,6553.5,11.124,2.73,58,26,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
8101,Concepción,Concepción,Región del Bío-Bío,fixed,2026Q1,6481.0,461.087,2026Q2,7401.0,472.629,6941.0,11.542,2.503,59,25,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
6115,Rengo,Cachapoal,Región del Libertador Bernardo O'Higgins,fixed,2026Q1,1706.0,421.561,2026Q2,1642.0,431.79,1674.0,10.229,2.426,60,24,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
13111,La Granja,Santiago,Región Metropolitana de Santiago,fixed,2026Q1,2930.0,459.354,2026Q2,3287.0,470.117,3108.5,10.763,2.343,61,23,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
13110,La Florida,Santiago,Región Metropolitana de Santiago,fixed,2026Q1,14336.0,469.977,2026Q2,15960.0,480.686,15148.0,10.709,2.279,62,22,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
13103,Cerro Navia,Santiago,Región Metropolitana de Santiago,fixed,2026Q1,2742.0,428.943,2026Q2,3092.0,437.96,2917.0,9.017,2.102,63,21,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
7101,Talca,Talca,Región del Maule,fixed,2026Q1,5495.0,432.998,2026Q2,5967.0,441.892,5731.0,8.894,2.054,64,20,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
12101,Punta Arenas,Magallanes,Región de Magallanes y Antártica Chilena,fixed,2026Q1,1417.0,399.088,2026Q2,1910.0,407.131,1663.5,8.043,2.015,65,19,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
13401,San Bernardo,Maipo,Región Metropolitana de Santiago,fixed,2026Q1,8428.0,443.057,2026Q2,10939.0,451.427,9683.5,8.37,1.889,66,18,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
5804,Villa Alemana,Marga Marga,Región de Valparaíso,fixed,2026Q1,4295.0,437.596,2026Q2,5180.0,445.252,4737.5,7.656,1.75,67,17,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
13116,Lo Espejo,Santiago,Región Metropolitana de Santiago,fixed,2026Q1,1483.0,429.402,2026Q2,1865.0,435.771,1674.0,6.369,1.483,68,16,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
13115,Lo Barnechea,Santiago,Región Metropolitana de Santiago,fixed,2026Q1,8032.0,319.847,2026Q2,8536.0,322.39,8284.0,2.543,0.795,69,15,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
7401,Linares,Linares,Región del Maule,fixed,2026Q1,2670.0,362.691,2026Q2,2440.0,365.535,2555.0,2.844,0.784,70,14,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
8103,Chiguayante,Concepción,Región del Bío-Bío,fixed,2026Q1,1835.0,422.188,2026Q2,2290.0,424.801,2062.5,2.613,0.619,71,13,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
8110,Talcahuano,Concepción,Región del Bío-Bío,fixed,2026Q1,2483.0,464.069,2026Q2,2529.0,466.438,2506.0,2.369,0.51,72,12,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
8108,San Pedro de la Paz,Concepción,Región del Bío-Bío,fixed,2026Q1,3578.0,448.55,2026Q2,4736.0,449.961,4157.0,1.411,0.315,73,11,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
15101,Arica,Arica,Región de Arica y Parinacota,fixed,2026Q1,4919.0,442.548,2026Q2,4871.0,442.97,4895.0,0.422,0.095,74,10,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
13127,Recoleta,Santiago,Región Metropolitana de Santiago,fixed,2026Q1,3874.0,443.739,2026Q2,4033.0,443.337,3953.5,-0.402,-0.091,75,9,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
6301,San Fernando,Colchagua,Región del Libertador Bernardo O'Higgins,fixed,2026Q1,1557.0,388.317,2026Q2,1787.0,387.923,1672.0,-0.394,-0.101,76,8,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
13117,Lo Prado,Santiago,Región Metropolitana de Santiago,fixed,2026Q1,2036.0,433.267,2026Q2,2191.0,432.19,2113.5,-1.077,-0.249,77,7,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
8102,Coronel,Concepción,Región del Bío-Bío,fixed,2026Q1,1880.0,502.336,2026Q2,2154.0,497.944,2017.0,-4.392,-0.874,78,6,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
2201,Calama,El Loa,Región de Antofagasta,fixed,2026Q1,4597.0,448.081,2026Q2,4060.0,435.439,4328.5,-12.642,-2.821,79,5,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
13501,Melipilla,Melipilla,Región Metropolitana de Santiago,fixed,2026Q1,3866.0,341.215,2026Q2,3714.0,331.227,3790.0,-9.988,-2.927,80,4,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
5301,Los Andes,Los Andes,Región de Valparaíso,fixed,2026Q1,1425.0,438.903,2026Q2,1721.0,425.819,1573.0,-13.084,-2.981,81,3,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
13105,El Bosque,Santiago,Región Metropolitana de Santiago,fixed,2026Q1,3241.0,474.594,2026Q2,3600.0,456.034,3420.5,-18.56,-3.911,82,2,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
3101,Copiapó,Copiapó,Región de Atacama,fixed,2026Q1,3809.0,440.291,2026Q2,5096.0,421.413,4452.5,-18.878,-4.288,83,1,fixed_mean_tests_q1_q2_at_or_above_national_communal_mean
8301,Los Ángeles,Bío-Bío,Región del Bío-Bío,mobile,2026Q1,1507.0,70.61,2026Q2,1438.0,84.894,1472.5,14.284,20.229,1,25,mobile_mean_tests_q1_q2_at_or_above_1000
4102,Coquimbo,Elqui,Región de Coquimbo,mobile,2026Q1,1995.0,78.106,2026Q2,1297.0,87.385,1646.0,9.279,11.88,2,24,mobile_mean_tests_q1_q2_at_or_above_1000
4101,La Serena,Elqui,Región de Coquimbo,mobile,2026Q1,1645.0,89.028,2026Q2,1652.0,98.904,1648.5,9.876,11.093,3,23,mobile_mean_tests_q1_q2_at_or_above_1000
10101,Puerto Montt,Llanquihue,Región de Los Lagos,mobile,2026Q1,1619.0,79.643,2026Q2,1933.0,84.995,1776.0,5.352,6.72,4,22,mobile_mean_tests_q1_q2_at_or_above_1000
5101,Valparaíso,Valparaíso,Región de Valparaíso,mobile,2026Q1,1847.0,93.962,2026Q2,1777.0,97.719,1812.0,3.757,3.998,5,21,mobile_mean_tests_q1_q2_at_or_above_1000
14101,Valdivia,Valdivia,Región de Los Ríos,mobile,2026Q1,1052.0,98.524,2026Q2,1024.0,97.422,1038.0,-1.102,-1.119,6,20,mobile_mean_tests_q1_q2_at_or_above_1000
13119,Maipú,Santiago,Región Metropolitana de Santiago,mobile,2026Q1,2466.0,110.849,2026Q2,2510.0,109.48,2488.0,-1.369,-1.235,7,19,mobile_mean_tests_q1_q2_at_or_above_1000
