comuna,comuna_nombre,service_key,operator,network_role,record_count_intersecting,status
2202,Ollagüe,claro_redacceso,Claro,RedAcceso,0,ok
2202,Ollagüe,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,10,ok
2202,Ollagüe,entel_redacceso_primarias,Entel,RedAcceso_primarias,0,ok
2202,Ollagüe,infraco_redacceso,Infraco,RedAcceso,0,ok
2202,Ollagüe,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,0,ok
2203,San Pedro de Atacama,claro_redacceso_hfc,Claro,RedAcceso_HFC,0,ok
2203,San Pedro de Atacama,claro_redacceso,Claro,RedAcceso,5,ok
2203,San Pedro de Atacama,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,242,ok
2203,San Pedro de Atacama,entel_redacceso_primarias,Entel,RedAcceso_primarias,7,ok
2203,San Pedro de Atacama,infraco_redacceso,Infraco,RedAcceso,0,ok
2203,San Pedro de Atacama,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,0,ok
2301,Tocopilla,claro_redacceso_hfc,Claro,RedAcceso_HFC,0,ok
2301,Tocopilla,claro_redacceso,Claro,RedAcceso,4,ok
2301,Tocopilla,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,119,ok
2301,Tocopilla,entel_redacceso_primarias,Entel,RedAcceso_primarias,2,ok
2301,Tocopilla,infraco_redacceso,Infraco,RedAcceso,980,ok
2301,Tocopilla,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,319,ok
2302,María Elena,claro_redacceso_hfc,Claro,RedAcceso_HFC,0,ok
2302,María Elena,claro_redacceso,Claro,RedAcceso,0,ok
2302,María Elena,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,20,ok
2302,María Elena,entel_redacceso_primarias,Entel,RedAcceso_primarias,14,ok
2302,María Elena,infraco_redacceso,Infraco,RedAcceso,0,ok
2302,María Elena,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,4,ok
3101,Copiapó,claro_redacceso_hfc,Claro,RedAcceso_HFC,375,ok
3101,Copiapó,claro_redacceso,Claro,RedAcceso,721,ok
3101,Copiapó,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,570,ok
3101,Copiapó,entel_redacceso_primarias,Entel,RedAcceso_primarias,74,ok
3101,Copiapó,infraco_redacceso,Infraco,RedAcceso,4569,ok
3101,Copiapó,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,0,ok
3102,Caldera,claro_redacceso_hfc,Claro,RedAcceso_HFC,0,ok
3102,Caldera,claro_redacceso,Claro,RedAcceso,2,ok
3102,Caldera,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,64,ok
3102,Caldera,entel_redacceso_primarias,Entel,RedAcceso_primarias,8,ok
3102,Caldera,infraco_redacceso,Infraco,RedAcceso,0,ok
3102,Caldera,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,256,ok
3103,Tierra Amarilla,claro_redacceso_hfc,Claro,RedAcceso_HFC,0,ok
3103,Tierra Amarilla,claro_redacceso,Claro,RedAcceso,0,ok
3103,Tierra Amarilla,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,6,ok
3103,Tierra Amarilla,entel_redacceso_primarias,Entel,RedAcceso_primarias,0,ok
3103,Tierra Amarilla,infraco_redacceso,Infraco,RedAcceso,0,ok
3103,Tierra Amarilla,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,0,ok
3201,Chañaral,claro_redacceso_hfc,Claro,RedAcceso_HFC,0,ok
3201,Chañaral,claro_redacceso,Claro,RedAcceso,4,ok
3201,Chañaral,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,65,ok
3201,Chañaral,entel_redacceso_primarias,Entel,RedAcceso_primarias,0,ok
3201,Chañaral,infraco_redacceso,Infraco,RedAcceso,0,ok
3201,Chañaral,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,0,ok
3202,Diego de Almagro,claro_redacceso_hfc,Claro,RedAcceso_HFC,0,ok
3202,Diego de Almagro,claro_redacceso,Claro,RedAcceso,12,ok
3202,Diego de Almagro,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,66,ok
3202,Diego de Almagro,entel_redacceso_primarias,Entel,RedAcceso_primarias,6,ok
3202,Diego de Almagro,infraco_redacceso,Infraco,RedAcceso,0,ok
3202,Diego de Almagro,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,0,ok
3301,Vallenar,claro_redacceso_hfc,Claro,RedAcceso_HFC,0,ok
3301,Vallenar,claro_redacceso,Claro,RedAcceso,84,ok
3301,Vallenar,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,172,ok
3301,Vallenar,entel_redacceso_primarias,Entel,RedAcceso_primarias,22,ok
3301,Vallenar,infraco_redacceso,Infraco,RedAcceso,1433,ok
3301,Vallenar,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,594,ok
3302,Alto del Carmen,claro_redacceso_hfc,Claro,RedAcceso_HFC,0,ok
3302,Alto del Carmen,claro_redacceso,Claro,RedAcceso,0,ok
3302,Alto del Carmen,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,11,ok
3302,Alto del Carmen,entel_redacceso_primarias,Entel,RedAcceso_primarias,0,ok
3302,Alto del Carmen,infraco_redacceso,Infraco,RedAcceso,0,ok
3302,Alto del Carmen,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,0,ok
3303,Freirina,claro_redacceso_hfc,Claro,RedAcceso_HFC,0,ok
3303,Freirina,claro_redacceso,Claro,RedAcceso,0,ok
3303,Freirina,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,14,ok
3303,Freirina,entel_redacceso_primarias,Entel,RedAcceso_primarias,14,ok
3303,Freirina,infraco_redacceso,Infraco,RedAcceso,0,ok
3303,Freirina,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,0,ok
3304,Huasco,claro_redacceso_hfc,Claro,RedAcceso_HFC,0,ok
3304,Huasco,claro_redacceso,Claro,RedAcceso,1,ok
3304,Huasco,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,54,ok
3304,Huasco,entel_redacceso_primarias,Entel,RedAcceso_primarias,11,ok
3304,Huasco,infraco_redacceso,Infraco,RedAcceso,0,ok
3304,Huasco,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,0,ok
4101,La Serena,claro_redacceso_hfc,Claro,RedAcceso_HFC,661,ok
4101,La Serena,claro_redacceso,Claro,RedAcceso,979,ok
4101,La Serena,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,953,ok
4101,La Serena,entel_redacceso_primarias,Entel,RedAcceso_primarias,158,ok
4101,La Serena,infraco_redacceso,Infraco,RedAcceso,7551,ok
4101,La Serena,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,828,ok
4102,Coquimbo,claro_redacceso_hfc,Claro,RedAcceso_HFC,630,ok
4102,Coquimbo,claro_redacceso,Claro,RedAcceso,788,ok
4102,Coquimbo,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,635,ok
4102,Coquimbo,entel_redacceso_primarias,Entel,RedAcceso_primarias,93,ok
4102,Coquimbo,infraco_redacceso,Infraco,RedAcceso,7607,ok
4102,Coquimbo,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,289,ok
4103,Andacollo,claro_redacceso_hfc,Claro,RedAcceso_HFC,0,ok
4103,Andacollo,claro_redacceso,Claro,RedAcceso,4,ok
4103,Andacollo,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,38,ok
4103,Andacollo,entel_redacceso_primarias,Entel,RedAcceso_primarias,1,ok
4103,Andacollo,infraco_redacceso,Infraco,RedAcceso,0,ok
4103,Andacollo,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,23,ok
4104,La Higuera,claro_redacceso_hfc,Claro,RedAcceso_HFC,0,ok
4104,La Higuera,claro_redacceso,Claro,RedAcceso,0,ok
4104,La Higuera,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,0,ok
4104,La Higuera,entel_redacceso_primarias,Entel,RedAcceso_primarias,0,ok
4104,La Higuera,infraco_redacceso,Infraco,RedAcceso,0,ok
4104,La Higuera,vtr_redacceso_ftth,VTR,RedAcceso_FTTH,0,ok
4105,Paihuano,claro_redacceso_hfc,Claro,RedAcceso_HFC,0,ok
4105,Paihuano,claro_redacceso,Claro,RedAcceso,0,ok
4105,Paihuano,entel_redacceso_distribucion,Entel,RedAcceso_distribucion,0,ok
4105,Paihuano,entel_redacceso_primarias,Entel,RedAcceso_primarias,0,ok
4105,Paihuano,infraco_redacceso,Infraco,RedAcceso,0,ok
