commune_code,commune,region,has_polygon
8205,Curanilahue,Biobío,yes
8206,Los Álamos,Biobío,yes
8207,Tirúa,Biobío,yes
8301,Los Ángeles,Biobío,yes
8302,Antuco,Biobío,yes
8303,Cabrero,Biobío,yes
8304,Laja,Biobío,yes
8305,Mulchén,Biobío,yes
8306,Nacimiento,Biobío,yes
8307,Negrete,Biobío,yes
8308,Quilaco,Biobío,yes
8309,Quilleco,Biobío,yes
8310,San Rosendo,Biobío,yes
8311,Santa Bárbara,Biobío,yes
8312,Tucapel,Biobío,yes
8313,Yumbel,Biobío,yes
8314,Alto Biobío,Biobío,yes
9101,Temuco,La Araucanía,yes
9102,Carahue,La Araucanía,yes
9103,Cunco,La Araucanía,yes
9104,Curarrehue,La Araucanía,yes
9105,Freire,La Araucanía,yes
9106,Galvarino,La Araucanía,yes
9107,Gorbea,La Araucanía,yes
9108,Lautaro,La Araucanía,yes
9109,Loncoche,La Araucanía,yes
9110,Melipeuco,La Araucanía,yes
9111,Nueva Imperial,La Araucanía,yes
9112,Padre Las Casas,La Araucanía,yes
9113,Perquenco,La Araucanía,yes
9114,Pitrufquén,La Araucanía,yes
9115,Pucón,La Araucanía,yes
9116,Saavedra,La Araucanía,yes
9117,Teodoro Schmidt,La Araucanía,yes
9118,Toltén,La Araucanía,yes
9119,Vilcún,La Araucanía,yes
9120,Villarrica,La Araucanía,yes
9121,Cholchol,La Araucanía,yes
9201,Angol,La Araucanía,yes
9202,Collipulli,La Araucanía,yes
9203,Curacautín,La Araucanía,yes
9204,Ercilla,La Araucanía,yes
9205,Lonquimay,La Araucanía,yes
9206,Los Sauces,La Araucanía,yes
9207,Lumaco,La Araucanía,yes
9208,Purén,La Araucanía,yes
9209,Renaico,La Araucanía,yes
9210,Traiguén,La Araucanía,yes
9211,Victoria,La Araucanía,yes
10101,Puerto Montt,Los Lagos,yes
10102,Calbuco,Los Lagos,yes
10103,Cochamó,Los Lagos,yes
10104,Fresia,Los Lagos,yes
10105,Frutillar,Los Lagos,yes
10106,Los Muermos,Los Lagos,yes
10107,Llanquihue,Los Lagos,yes
10108,Maullín,Los Lagos,yes
10109,Puerto Varas,Los Lagos,yes
10201,Castro,Los Lagos,yes
10202,Ancud,Los Lagos,yes
10203,Chonchi,Los Lagos,yes
10204,Curaco de Vélez,Los Lagos,yes
10205,Dalcahue,Los Lagos,yes
10206,Puqueldón,Los Lagos,yes
10207,Queilén,Los Lagos,yes
10208,Quellón,Los Lagos,yes
10209,Quemchi,Los Lagos,yes
10210,Quinchao,Los Lagos,yes
10301,Osorno,Los Lagos,yes
10302,Puerto Octay,Los Lagos,yes
10303,Purranque,Los Lagos,yes
10304,Puyehue,Los Lagos,yes
10305,Río Negro,Los Lagos,yes
10306,San Juan de la Costa,Los Lagos,yes
10307,San Pablo,Los Lagos,yes
10401,Chaitén,Los Lagos,yes
10402,Futaleufú,Los Lagos,yes
10403,Hualaihué,Los Lagos,yes
10404,Palena,Los Lagos,yes
11101,Coyhaique,Aysén del General Carlos Ibáñez del Campo,yes
11102,Lago Verde,Aysén del General Carlos Ibáñez del Campo,yes
11201,Aysén,Aysén del General Carlos Ibáñez del Campo,yes
11202,Cisnes,Aysén del General Carlos Ibáñez del Campo,yes
