source_row,year,month,col4_2g,col5_3g,col6_4g,col7_5g,col8_total,col9_3g4g5g,col10_pen2g,col11_pen3g,col12_pen4g,col13_pen5g,col14_pen345,col15_pen_total
201,2026,Ene,44004,344257,12248592,10161957,22798810,22754806,0.21885503465055509,1.7121711131646247,60.91868981411944,50.54075655286908,113.17161748015315,113.3904725148037
202,2026,Feb,41964,341651,12055579,10293283,22732477,22690513,0.20861672999390465,1.698458545876168,59.932214973863005,51.17126680873722,112.8019403284764,113.0105570584703
203,2026,Mar,40278,337586,12071595,10356448,22805907,22765629,0.20014653958618592,1.6775080617891196,59.98530131922896,51.46251625215443,113.12532563317251,113.3254721727587
