period,year,operator,operator_source_label,connections,connection_share_pct,traffic_tb,traffic_share_pct
2022-06,2022,Grupo Claro-VTR,Grupo Claro-VTR,4209571,18.723103,57323.72497,14.073837
2022-06,2022,Entel,Entel PCS,7832477,34.836869,147317.165042,36.168581
2022-06,2022,Virgin,Virgin,84072,0.373931,,
2022-06,2022,GTD Móvil,GTD Móvil,5947,0.026451,,
2022-06,2022,WOM,WOM,5592599,24.87446,127159.433487,31.219555
2022-06,2022,Netline,Netline,0,0.0,,
2022-06,2022,Simple,Simple,0,0.0,,
2022-06,2022,Mundo Pacífico,Mundo Pacífico,52167,0.232026,459.220592,0.112746
2023-06,2023,Movistar,Movistar,4672639,20.984687,87071.169186,17.680543
2023-06,2023,Grupo Claro-VTR,Grupo Claro-VTR,4140396,18.594399,74101.027328,15.046845
2023-06,2023,Entel,Entel PCS,7592299,34.096795,183898.24906,37.342108
2023-06,2023,Virgin,Virgin,56141,0.252128,,
2023-06,2023,GTD Móvil,GTD Móvil,4945,0.022208,,
2023-06,2023,WOM,WOM,5690801,25.557223,146528.718356,29.753906
2023-06,2023,Netline,Netline,0,0.0,,
2023-06,2023,Simple,Simple,0,0.0,,
2023-06,2023,Mundo Pacífico,Mundo Pacífico,106429,0.47797,869.690053,0.176598
2023-06,2023,Suma Móvil Chile,Suma Móvil Chile,3249,0.014591,,
2024-06,2024,Movistar,Movistar,4547918,20.086151,91561.571846,16.971612
2024-06,2024,Grupo Claro-VTR,Grupo Claro-VTR,4259207,18.811042,83366.916577,15.452672
2024-06,2024,Entel,Entel PCS,7895199,34.869617,212678.061212,39.421445
2024-06,2024,Virgin,Virgin,45872,0.202596,,
2024-06,2024,GTD Móvil,GTD Móvil,4463,0.019711,,
2024-06,2024,WOM,WOM,5734607,25.327234,150443.956796,27.885895
2024-06,2024,Netline,Netline,0,0.0,,
2024-06,2024,Simple,Simple,0,0.0,,
2024-06,2024,Mundo Pacífico,Mundo Pacífico,149022,0.658165,1444.863622,0.267816
2024-06,2024,Suma Móvil Chile,Suma Móvil Chile,5770,0.025484,,
2025-06,2025,Movistar,Movistar,4314477,19.0229,99785.815806,16.495001
2025-06,2025,Grupo Claro-VTR,Grupo Claro-VTR,4494642,19.817263,115853.386014,19.151035
2025-06,2025,Entel,Entel PCS,8046030,35.475638,231974.083193,38.346259
2025-06,2025,Virgin,Virgin,38752,0.170861,,
2025-06,2025,GTD Móvil,GTD Móvil,0,0.0,,
