period,year,operator,operator_source_label,connections,connection_share_pct,traffic_tb,traffic_share_pct
2025-06,2025,Grupo Claro-VTR,Grupo Claro-VTR,1309492,27.602096,739604.021367,25.366273
2025-06,2025,GTD,Grupo GTD,295890,6.23691,182268.177168,6.25127
2025-06,2025,Entel,Grupo ENTEL,466389,9.830769,387306.33391,13.283484
2025-06,2025,Mundo,Mundo,971024,20.467706,652182.503297,22.367969
2025-06,2025,Otros,Otros,368525,7.767945,,
2026-06,2026,Movistar,Telefónica,1299891,26.52639,812821.691219,23.71616
2026-06,2026,Grupo Claro-VTR,Grupo Claro-VTR,1274737,26.013082,880963.870984,25.704383
2026-06,2026,GTD,Grupo GTD,302599,6.175025,217626.327135,6.349807
2026-06,2026,Entel,Grupo ENTEL,536613,10.950461,437315.339782,12.759798
2026-06,2026,Mundo,Mundo,1037607,21.174059,934366.639748,27.262546
2026-06,2026,Otros,Otros,448922,9.160984,,
