period,year,month,series_group,indicator,value,unit,source_sheet,source_row
2010-02,2010,2,fixed_connections,fixed_connections_total,1697983,connections,7.1.CO_TOT_FIJAS,37
2010-02,2010,2,fixed_connections,penetration_per_100_inhabitants,10.004241,per_100_inhabitants,7.1.CO_TOT_FIJAS,37
2010-03,2010,3,fixed_connections,fixed_connections_total,1708303,connections,7.1.CO_TOT_FIJAS,38
2010-03,2010,3,fixed_connections,penetration_per_100_inhabitants,10.056489,per_100_inhabitants,7.1.CO_TOT_FIJAS,38
2010-04,2010,4,fixed_connections,fixed_connections_total,1731518,connections,7.1.CO_TOT_FIJAS,39
2010-04,2010,4,fixed_connections,penetration_per_100_inhabitants,10.184494,per_100_inhabitants,7.1.CO_TOT_FIJAS,39
2010-05,2010,5,fixed_connections,fixed_connections_total,1752810,connections,7.1.CO_TOT_FIJAS,40
2010-05,2010,5,fixed_connections,penetration_per_100_inhabitants,10.300945,per_100_inhabitants,7.1.CO_TOT_FIJAS,40
2010-06,2010,6,fixed_connections,fixed_connections_total,1749458,connections,7.1.CO_TOT_FIJAS,41
2010-06,2010,6,fixed_connections,penetration_per_100_inhabitants,10.272517,per_100_inhabitants,7.1.CO_TOT_FIJAS,41
2010-07,2010,7,fixed_connections,fixed_connections_total,1770485,connections,7.1.CO_TOT_FIJAS,42
2010-07,2010,7,fixed_connections,penetration_per_100_inhabitants,10.387165,per_100_inhabitants,7.1.CO_TOT_FIJAS,42
2010-08,2010,8,fixed_connections,fixed_connections_total,1793594,connections,7.1.CO_TOT_FIJAS,43
2010-08,2010,8,fixed_connections,penetration_per_100_inhabitants,10.513835,per_100_inhabitants,7.1.CO_TOT_FIJAS,43
2010-09,2010,9,fixed_connections,fixed_connections_total,1808189,connections,7.1.CO_TOT_FIJAS,44
2010-09,2010,9,fixed_connections,penetration_per_100_inhabitants,10.590425,per_100_inhabitants,7.1.CO_TOT_FIJAS,44
2010-10,2010,10,fixed_connections,fixed_connections_total,1803662,connections,7.1.CO_TOT_FIJAS,45
2010-10,2010,10,fixed_connections,penetration_per_100_inhabitants,10.555042,per_100_inhabitants,7.1.CO_TOT_FIJAS,45
2010-11,2010,11,fixed_connections,fixed_connections_total,1816980,connections,7.1.CO_TOT_FIJAS,46
2010-11,2010,11,fixed_connections,penetration_per_100_inhabitants,10.624001,per_100_inhabitants,7.1.CO_TOT_FIJAS,46
2010-12,2010,12,fixed_connections,fixed_connections_total,1819564,connections,7.1.CO_TOT_FIJAS,47
2010-12,2010,12,fixed_connections,penetration_per_100_inhabitants,10.630152,per_100_inhabitants,7.1.CO_TOT_FIJAS,47
2011-01,2011,1,fixed_connections,fixed_connections_total,1819146,connections,7.1.CO_TOT_FIJAS,48
2011-01,2011,1,fixed_connections,penetration_per_100_inhabitants,10.618526,per_100_inhabitants,7.1.CO_TOT_FIJAS,48
2011-02,2011,2,fixed_connections,fixed_connections_total,1823656,connections,7.1.CO_TOT_FIJAS,49
2011-02,2011,2,fixed_connections,penetration_per_100_inhabitants,10.635911,per_100_inhabitants,7.1.CO_TOT_FIJAS,49
2011-03,2011,3,fixed_connections,fixed_connections_total,1855054,connections,7.1.CO_TOT_FIJAS,50
2011-03,2011,3,fixed_connections,penetration_per_100_inhabitants,10.809833,per_100_inhabitants,7.1.CO_TOT_FIJAS,50
2011-04,2011,4,fixed_connections,fixed_connections_total,1879451,connections,7.1.CO_TOT_FIJAS,51
2011-04,2011,4,fixed_connections,penetration_per_100_inhabitants,10.942698,per_100_inhabitants,7.1.CO_TOT_FIJAS,51
2011-05,2011,5,fixed_connections,fixed_connections_total,1910017,connections,7.1.CO_TOT_FIJAS,52
2011-05,2011,5,fixed_connections,penetration_per_100_inhabitants,11.111224,per_100_inhabitants,7.1.CO_TOT_FIJAS,52
2011-06,2011,6,fixed_connections,fixed_connections_total,1932809,connections,7.1.CO_TOT_FIJAS,53
