dataset,sheet,row,values
fixed_connections,7.7.CO_TEC_FIJAS,2, || SERVICIO ACCESO A INTERNET: CONEXIONES FIJAS POR TIPO DE TECNOLOGÍA ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.7.CO_TEC_FIJAS,5, || << VOLVER ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.7.CO_TEC_FIJAS,6, || Año || Mes || Total de Conexiones Fijas || Conexiones ADSL || Conexiones por HFC (Cable Modem) || Conexiones FTTX (Fibra Optica) || Conexiones Otras Tecnologías ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.7.CO_TEC_FIJAS,7, || 2000 || Dic || 585489 || --- || --- ||  || 585489 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.7.CO_TEC_FIJAS,8, || 2001 || Dic || 698127 || 25351 || 36669 ||  || 636107 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.7.CO_TEC_FIJAS,9, || 2002 || Dic || 757760 || 72909 || 93475 ||  || 591376 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.7.CO_TEC_FIJAS,10, || 2003 || Dic || 836007 || 160448 || 161623 ||  || 513936 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.7.CO_TEC_FIJAS,11, || 2004 || Dic || 805315 || 239999 || 210250 ||  || 355066 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.7.CO_TEC_FIJAS,12, || 2005 || Dic || 906079 || 379918 || 303428 ||  || 222733 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.7.CO_TEC_FIJAS,13, || 2006 || Dic || 1087738 || 584098 || 424224 ||  || 79416 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
fixed_connections,7.7.CO_TEC_FIJAS,14, || 2007 || Dic || 1331919 || 760482 || 537603 ||  || 33834 ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  ||  || 
