period,year,month,operator,connections,two_named_satellite_operators_total,total_fixed_market,share_of_total_fixed_pct,interpretation,source_sheet,source_row
2022-07,2022,7,Starlink,4250,18858,4447097,0.095568,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,161
2022-08,2022,8,Hughesnet,14397,19812,4475886,0.321657,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,162
2022-08,2022,8,Starlink,5415,19812,4475886,0.120982,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,162
2022-09,2022,9,Hughesnet,14377,21478,4481174,0.320831,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,163
2022-09,2022,9,Starlink,7101,21478,4481174,0.158463,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,163
2022-10,2022,10,Hughesnet,13791,22462,4503877,0.306203,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,164
2022-10,2022,10,Starlink,8671,22462,4503877,0.192523,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,164
2022-11,2022,11,Hughesnet,13327,24811,4524032,0.294582,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,165
2022-11,2022,11,Starlink,11484,24811,4524032,0.253844,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,165
2022-12,2022,12,Hughesnet,12837,26228,4460212,0.287811,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,166
2022-12,2022,12,Starlink,13391,26228,4460212,0.300232,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,166
2023-01,2023,1,Hughesnet,12447,28973,4427977,0.281099,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,167
2023-01,2023,1,Starlink,16526,28973,4427977,0.373218,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,167
2023-02,2023,2,Hughesnet,12071,30319,4427833,0.272616,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,168
2023-02,2023,2,Starlink,18248,30319,4427833,0.41212,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,168
2023-03,2023,3,Hughesnet,11685,32930,4473646,0.261196,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,169
2023-03,2023,3,Starlink,21245,32930,4473646,0.474892,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,169
2023-04,2023,4,Hughesnet,11133,34233,4472943,0.248897,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,170
2023-04,2023,4,Starlink,23100,34233,4472943,0.516439,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,170
2023-05,2023,5,Hughesnet,10720,37263,4462838,0.240206,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,171
2023-05,2023,5,Starlink,26543,37263,4462838,0.594756,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,171
2023-06,2023,6,Hughesnet,10274,38945,4459842,0.230367,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,172
2023-06,2023,6,Starlink,28671,38945,4459842,0.64287,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,172
2023-07,2023,7,Hughesnet,9876,40801,4461831,0.221344,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,173
2023-07,2023,7,Starlink,30925,40801,4461831,0.693101,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,173
2023-08,2023,8,Hughesnet,9444,41799,4503701,0.209694,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,174
2023-08,2023,8,Starlink,32355,41799,4503701,0.718409,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,174
2023-09,2023,9,Hughesnet,9165,43217,4507269,0.203338,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,175
2023-09,2023,9,Starlink,34052,43217,4507269,0.755491,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,175
2023-10,2023,10,Hughesnet,8964,45355,4520961,0.198276,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,176
2023-10,2023,10,Starlink,36391,45355,4520961,0.804939,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,176
2023-11,2023,11,Hughesnet,8655,47040,4523527,0.191333,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,177
2023-11,2023,11,Starlink,38385,47040,4523527,0.848564,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,177
2023-12,2023,12,Hughesnet,8481,49415,4524579,0.187443,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,178
2023-12,2023,12,Starlink,40934,49415,4524579,0.904703,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,178
2024-01,2024,1,Hughesnet,8164,53211,4528321,0.180288,Operator-level satellite-provider series; not a complete technology-total measure of satellite access,7.9.CO_EMPR_FIJAS,179
