period,year,month,series_group,indicator,value,unit,source_sheet,source_row
2015-12,2015,12,mobile_connections,connections_2g,1270825,connections,8.1.CO_TEC_MOVIL,80
2015-12,2015,12,mobile_connections,connections_3g,7885665,connections,8.1.CO_TEC_MOVIL,80
2015-12,2015,12,mobile_connections,connections_3g_4g_5g,10283244,connections,8.1.CO_TEC_MOVIL,80
2015-12,2015,12,mobile_connections,connections_4g,2397579,connections,8.1.CO_TEC_MOVIL,80
2015-12,2015,12,mobile_connections,mobile_connections_total,11554069,connections,8.1.CO_TEC_MOVIL,80
2016-12,2016,12,fixed_connections,fixed_connections_total,2912133,connections,7.1.CO_TOT_FIJAS,119
2016-12,2016,12,fixed_connections,penetration_per_100_inhabitants,15.895064,per_100_inhabitants,7.1.CO_TOT_FIJAS,119
2016-12,2016,12,mobile_connections,connections_2g,730115,connections,8.1.CO_TEC_MOVIL,92
2016-12,2016,12,mobile_connections,connections_3g,6924263,connections,8.1.CO_TEC_MOVIL,92
2016-12,2016,12,mobile_connections,connections_3g_4g_5g,13215139,connections,8.1.CO_TEC_MOVIL,92
2016-12,2016,12,mobile_connections,connections_4g,6290876,connections,8.1.CO_TEC_MOVIL,92
2016-12,2016,12,mobile_connections,mobile_connections_total,13945254,connections,8.1.CO_TEC_MOVIL,92
2017-12,2017,12,fixed_connections,fixed_connections_total,3068528,connections,7.1.CO_TOT_FIJAS,131
2017-12,2017,12,fixed_connections,penetration_per_100_inhabitants,16.497399,per_100_inhabitants,7.1.CO_TOT_FIJAS,131
2017-12,2017,12,mobile_connections,connections_2g,368480,connections,8.1.CO_TEC_MOVIL,104
2017-12,2017,12,mobile_connections,connections_3g,5554675,connections,8.1.CO_TEC_MOVIL,104
2017-12,2017,12,mobile_connections,connections_3g_4g_5g,16322988,connections,8.1.CO_TEC_MOVIL,104
2017-12,2017,12,mobile_connections,connections_4g,10768313,connections,8.1.CO_TEC_MOVIL,104
2017-12,2017,12,mobile_connections,mobile_connections_total,16691468,connections,8.1.CO_TEC_MOVIL,104
2017-12,2017,12,mobile_traffic,mobile_traffic_downlink_tb,73085.593257,TB,9.1.TRAF_SENT,17
2017-12,2017,12,mobile_traffic,mobile_traffic_total_tb,79065.208194,TB,9.1.TRAF_SENT,17
2017-12,2017,12,mobile_traffic,mobile_traffic_uplink_tb,5979.614936,TB,9.1.TRAF_SENT,17
2018-12,2018,12,fixed_connections,fixed_connections_total,3256097,connections,7.1.CO_TOT_FIJAS,143
2018-12,2018,12,fixed_connections,penetration_per_100_inhabitants,17.219898,per_100_inhabitants,7.1.CO_TOT_FIJAS,143
2018-12,2018,12,mobile_connections,connections_2g,380406,connections,8.1.CO_TEC_MOVIL,116
2018-12,2018,12,mobile_connections,connections_3g,3549684,connections,8.1.CO_TEC_MOVIL,116
2018-12,2018,12,mobile_connections,connections_3g_4g_5g,18108905,connections,8.1.CO_TEC_MOVIL,116
2018-12,2018,12,mobile_connections,connections_4g,14559221,connections,8.1.CO_TEC_MOVIL,116
2018-12,2018,12,mobile_connections,mobile_connections_total,18489311,connections,8.1.CO_TEC_MOVIL,116
2018-12,2018,12,mobile_traffic,mobile_traffic_downlink_tb,134504.781123,TB,9.1.TRAF_SENT,29
2018-12,2018,12,mobile_traffic,mobile_traffic_total_tb,145180.409262,TB,9.1.TRAF_SENT,29
2018-12,2018,12,mobile_traffic,mobile_traffic_uplink_tb,10675.62814,TB,9.1.TRAF_SENT,29
2019-12,2019,12,fixed_connections,fixed_connections_total,3434767,connections,7.1.CO_TOT_FIJAS,155
2019-12,2019,12,fixed_connections,penetration_per_100_inhabitants,17.916329,per_100_inhabitants,7.1.CO_TOT_FIJAS,155
2019-12,2019,12,fixed_traffic,fixed_traffic_downlink_tb,815728.134788,TB,10.1.TRAF_SENT,22
2019-12,2019,12,fixed_traffic,fixed_traffic_total_tb,916657.957465,TB,10.1.TRAF_SENT,22
2019-12,2019,12,fixed_traffic,fixed_traffic_uplink_tb,100929.822677,TB,10.1.TRAF_SENT,22
2019-12,2019,12,mobile_connections,connections_2g,286123,connections,8.1.CO_TEC_MOVIL,128
2019-12,2019,12,mobile_connections,connections_3g,2454468,connections,8.1.CO_TEC_MOVIL,128
2019-12,2019,12,mobile_connections,connections_3g_4g_5g,18961082,connections,8.1.CO_TEC_MOVIL,128
2019-12,2019,12,mobile_connections,connections_4g,16506614,connections,8.1.CO_TEC_MOVIL,128
2019-12,2019,12,mobile_connections,mobile_connections_total,19247205,connections,8.1.CO_TEC_MOVIL,128
2019-12,2019,12,mobile_traffic,mobile_traffic_downlink_tb,182431.707444,TB,9.1.TRAF_SENT,41
2019-12,2019,12,mobile_traffic,mobile_traffic_total_tb,196207.868484,TB,9.1.TRAF_SENT,41
