region,region_nombre,provincia,provincia_nombre,comuna,comuna_nombre,fixed_connections_total,fixed_connections_residential,residential_share_pct,period,source_url
4,Coquimbo,41,Elqui,4104,La Higuera,450,432,96.0,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
4,Coquimbo,41,Elqui,4105,Paihuano,177,153,86.4407,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
4,Coquimbo,41,Elqui,4106,Vicuña,3243,3097,95.498,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
4,Coquimbo,42,Choapa,4201,Illapel,5342,5083,95.1516,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
4,Coquimbo,42,Choapa,4202,Canela,1199,1176,98.0817,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
4,Coquimbo,42,Choapa,4203,Los Vilos,5996,5729,95.547,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
4,Coquimbo,42,Choapa,4204,Salamanca,2287,2118,92.6104,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
4,Coquimbo,43,Limarí,4301,Ovalle,21612,20182,93.3833,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
4,Coquimbo,43,Limarí,4302,Combarbalá,1469,1389,94.5541,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
4,Coquimbo,43,Limarí,4303,Monte Patria,2333,2246,96.2709,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
4,Coquimbo,43,Limarí,4304,Punitaqui,1267,1219,96.2115,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
4,Coquimbo,43,Limarí,4305,Río Hurtado,172,137,79.6512,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
5,Valparaíso,51,Valparaíso,5101,Valparaíso,88512,83865,94.7499,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
5,Valparaíso,51,Valparaíso,5102,Casablanca,6193,5924,95.6564,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
5,Valparaíso,51,Valparaíso,5103,Concón,20753,18986,91.4856,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
5,Valparaíso,51,Valparaíso,5104,Juan Fernández,236,221,93.6441,2026-03,https://www.subtel.gob.cl/wp-content/uploads/2026/05/1_SERIES_CONEXIONES_INTERNET_FIJA_MAR26_040526.xlsx
