ranking,rank,comuna,comuna_nombre,region_nombre,censo_2024_households,rural_households_pct,value,intensity_2024m06,intensity_2025m06,intensity_2026m06,change_pp_2025m06_to_2026m06
highest_fixed_residential_intensity_change_pp_2025m06_to_2026m06,1,2302,María Elena,Antofagasta,1649,6.4281,77.8047,14.0691,21.1643,98.9691,77.8047
highest_fixed_residential_intensity_change_pp_2025m06_to_2026m06,2,16103,Chillán Viejo,Ñuble,11764,17.1285,52.3971,43.2421,36.4502,88.8473,52.3971
highest_fixed_residential_intensity_change_pp_2025m06_to_2026m06,3,5201,Isla de Pascua,Valparaíso,2077,6.0183,36.3505,57.8719,88.0597,124.4102,36.3505
highest_fixed_residential_intensity_change_pp_2025m06_to_2026m06,4,8112,Hualpén,Biobío,30684,0.7659,30.7229,60.732,60.6635,91.3864,30.7229
highest_fixed_residential_intensity_change_pp_2025m06_to_2026m06,5,5403,Papudo,Valparaíso,2715,22.0994,28.2136,56.3904,66.0037,94.2173,28.2136
highest_fixed_residential_intensity_change_pp_2025m06_to_2026m06,6,3103,Tierra Amarilla,Atacama,3889,24.3764,27.0764,26.5107,30.342,57.4184,27.0764
highest_fixed_residential_intensity_change_pp_2025m06_to_2026m06,7,9114,Pitrufquén,La Araucanía,10272,37.8018,23.6565,48.4326,49.8345,73.491,23.6565
highest_fixed_residential_intensity_change_pp_2025m06_to_2026m06,8,1405,Pica,Tarapacá,2184,29.5788,23.5806,7.3718,9.478,33.0586,23.5806
highest_fixed_residential_intensity_change_pp_2025m06_to_2026m06,9,1404,Huara,Tarapacá,1039,57.9403,22.0404,7.411,8.5659,30.6064,22.0404
highest_fixed_residential_intensity_change_pp_2025m06_to_2026m06,10,7105,Maule,Maule,20409,21.9217,21.3631,24.842,26.7921,48.1552,21.3631
highest_fixed_residential_intensity_change_pp_2025m06_to_2026m06,11,2104,Taltal,Antofagasta,4129,8.5493,20.8525,50.4723,53.766,74.6186,20.8525
highest_fixed_residential_intensity_change_pp_2025m06_to_2026m06,12,3102,Caldera,Atacama,6984,12.7721,18.1701,51.0596,54.5103,72.6804,18.1701
highest_fixed_residential_intensity_change_pp_2025m06_to_2026m06,13,5804,Villa Alemana,Valparaíso,50084,1.172,16.4843,81.8265,82.4934,98.9777,16.4843
highest_fixed_residential_intensity_change_pp_2025m06_to_2026m06,14,9118,Toltén,La Araucanía,3860,75.3368,16.3731,14.5596,15.9585,32.3316,16.3731
highest_fixed_residential_intensity_change_pp_2025m06_to_2026m06,15,2203,San Pedro de Atacama,Antofagasta,3919,37.6882,16.3562,14.8252,24.9553,41.3116,16.3562
highest_fixed_residential_intensity_change_pp_2025m06_to_2026m06,16,8301,Los Ángeles,Biobío,78739,28.3735,16.2893,56.3723,57.0772,73.3664,16.2893
highest_fixed_residential_intensity_change_pp_2025m06_to_2026m06,17,8101,Concepción,Biobío,92197,2.0283,16.0179,83.468,83.634,99.6518,16.0179
highest_fixed_residential_intensity_change_pp_2025m06_to_2026m06,18,7306,Romeral,Maule,6128,51.8114,15.8779,28.4922,30.483,46.361,15.8779
highest_fixed_residential_intensity_change_pp_2025m06_to_2026m06,19,5405,Zapallar,Valparaíso,2815,38.6501,14.2096,85.222,99.325,113.5346,14.2096
highest_fixed_residential_intensity_change_pp_2025m06_to_2026m06,20,5302,Calle Larga,Valparaíso,5769,26.5384,13.4512,51.3261,61.0504,74.5016,13.4512
lowest_fixed_residential_intensity_change_pp_2025m06_to_2026m06,1,8110,Talcahuano,Biobío,51086,0.278,-10.6879,97.8879,100.4639,89.7761,-10.6879
lowest_fixed_residential_intensity_change_pp_2025m06_to_2026m06,2,7101,Talca,Maule,85310,4.8212,-5.2315,79.7796,80.6388,75.4073,-5.2315
lowest_fixed_residential_intensity_change_pp_2025m06_to_2026m06,3,16101,Chillán,Ñuble,70266,10.7335,-4.3577,77.1782,81.6967,77.339,-4.3577
lowest_fixed_residential_intensity_change_pp_2025m06_to_2026m06,4,8107,Penco,Biobío,16858,1.5838,-3.5888,76.9486,79.7544,76.1656,-3.5888
lowest_fixed_residential_intensity_change_pp_2025m06_to_2026m06,5,8206,Los Álamos,Biobío,7997,16.5437,-2.5635,60.5477,63.7239,61.1604,-2.5635
lowest_fixed_residential_intensity_change_pp_2025m06_to_2026m06,6,13118,Macul,Metropolitana de Santiago,47638,0.0,-2.2923,84.7685,87.4218,85.1295,-2.2923
lowest_fixed_residential_intensity_change_pp_2025m06_to_2026m06,7,13111,La Granja,Metropolitana de Santiago,37274,0.0,-2.0711,66.4082,68.6859,66.6148,-2.0711
lowest_fixed_residential_intensity_change_pp_2025m06_to_2026m06,8,8310,San Rosendo,Biobío,1323,21.0128,-1.8896,42.5548,42.4036,40.514,-1.8896
lowest_fixed_residential_intensity_change_pp_2025m06_to_2026m06,9,6110,Mostazal,Libertador General Bernardo O'Higgins,9140,21.9037,-1.5536,50.0328,52.6696,51.116,-1.5536
lowest_fixed_residential_intensity_change_pp_2025m06_to_2026m06,10,13121,Pedro Aguirre Cerda,Metropolitana de Santiago,32556,0.0,-1.4775,69.2622,71.0069,69.5294,-1.4775
lowest_fixed_residential_intensity_change_pp_2025m06_to_2026m06,11,13130,San Miguel,Metropolitana de Santiago,60402,0.0,-1.4188,88.8398,89.0716,87.6527,-1.4188
lowest_fixed_residential_intensity_change_pp_2025m06_to_2026m06,12,13108,Independencia,Metropolitana de Santiago,45569,0.0,-1.2157,70.6314,71.6693,70.4536,-1.2157
lowest_fixed_residential_intensity_change_pp_2025m06_to_2026m06,13,6301,San Fernando,Libertador General Bernardo O'Higgins,27372,12.7685,-1.0851,61.7529,63.3677,62.2826,-1.0851
lowest_fixed_residential_intensity_change_pp_2025m06_to_2026m06,14,6309,Pumanque,Libertador General Bernardo O'Higgins,1777,100.0,-1.0692,12.0428,9.0602,7.991,-1.0692
lowest_fixed_residential_intensity_change_pp_2025m06_to_2026m06,15,5103,Concón,Valparaíso,18259,8.1713,-1.0406,103.5708,104.4033,103.3627,-1.0406
lowest_fixed_residential_intensity_change_pp_2025m06_to_2026m06,16,13201,Puente Alto,Metropolitana de Santiago,183615,0.0033,-1.0342,78.0274,77.6075,76.5733,-1.0342
lowest_fixed_residential_intensity_change_pp_2025m06_to_2026m06,17,13127,Recoleta,Metropolitana de Santiago,56276,0.0,-1.0146,64.2761,65.6408,64.6261,-1.0146
lowest_fixed_residential_intensity_change_pp_2025m06_to_2026m06,18,13104,Conchalí,Metropolitana de Santiago,40890,0.0,-0.966,72.7268,73.0423,72.0763,-0.966
