region,region_nombre,provincia,provincia_nombre,comuna,comuna_nombre,fixed_connections_total,fixed_connections_residential,residential_share_pct,source_status,source_mapping_method,period,source_url
1,Tarapacá,11,Iquique,1101,Iquique,64702,52189,80.6606,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
1,Tarapacá,11,Iquique,1107,Alto Hospicio,25231,24031,95.2439,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
1,Tarapacá,14,Del Tamarugal,1401,Pozo Almonte,2965,2654,89.511,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
1,Tarapacá,14,Del Tamarugal,1402,Camiña,65,47,72.3077,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
1,Tarapacá,14,Del Tamarugal,1403,Colchane,157,129,82.1656,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
1,Tarapacá,14,Del Tamarugal,1404,Huara,374,318,85.0267,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
1,Tarapacá,14,Del Tamarugal,1405,Pica,828,722,87.1981,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
2,Antofagasta,21,Antofagasta,2101,Antofagasta,121033,112585,93.0201,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
2,Antofagasta,21,Antofagasta,2102,Mejillones,3213,2875,89.4802,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,961,737,76.6909,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
2,Antofagasta,21,Antofagasta,2104,Taltal,3321,3081,92.7733,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
2,Antofagasta,22,El Loa,2201,Calama,48010,45296,94.347,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
2,Antofagasta,22,El Loa,2202,Ollagüe,74,51,68.9189,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
2,Antofagasta,22,El Loa,2203,San Pedro de Atacama,1792,1619,90.346,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
2,Antofagasta,23,Tocopilla,2301,Tocopilla,6793,6414,94.4207,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
2,Antofagasta,23,Tocopilla,2302,María Elena,1797,1632,90.818,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
3,Atacama,31,Copiapó,3101,Copiapó,46441,44101,94.9613,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
3,Atacama,31,Copiapó,3102,Caldera,5264,5076,96.4286,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
