region,region_nombre,provincia,provincia_nombre,comuna,comuna_nombre,fixed_connections_total,fixed_connections_residential,residential_share_pct,source_status,source_mapping_method,period,source_url
3,Atacama,31,Copiapó,3103,Tierra Amarilla,2386,2233,93.5876,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
3,Atacama,32,Chañaral,3201,Chañaral,2534,2455,96.8824,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
3,Atacama,32,Chañaral,3202,Diego de Almagro,2514,2253,89.6181,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
3,Atacama,33,Huasco,3301,Vallenar,14239,13383,93.9883,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
3,Atacama,33,Huasco,3302,Alto del Carmen,248,217,87.5,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
3,Atacama,33,Huasco,3303,Freirina,402,377,93.7811,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
3,Atacama,33,Huasco,3304,Huasco,1654,1545,93.4099,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
4,Coquimbo,41,Elqui,4101,La Serena,81410,76782,94.3152,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
4,Coquimbo,41,Elqui,4102,Coquimbo,75055,72138,96.1135,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
4,Coquimbo,41,Elqui,4103,Andacollo,1763,1732,98.2416,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
4,Coquimbo,41,Elqui,4104,La Higuera,478,454,94.9791,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
4,Coquimbo,41,Elqui,4105,Paihuano,209,181,86.6029,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
4,Coquimbo,41,Elqui,4106,Vicuña,3295,3153,95.6904,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
4,Coquimbo,42,Choapa,4201,Illapel,5407,5148,95.2099,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
4,Coquimbo,42,Choapa,4202,Canela,1227,1203,98.044,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
4,Coquimbo,42,Choapa,4203,Los Vilos,6007,5741,95.5718,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
4,Coquimbo,42,Choapa,4204,Salamanca,2361,2185,92.5455,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
4,Coquimbo,43,Limarí,4301,Ovalle,21590,20176,93.4507,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
4,Coquimbo,43,Limarí,4302,Combarbalá,1482,1403,94.6694,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
4,Coquimbo,43,Limarí,4303,Monte Patria,2417,2324,96.1523,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
4,Coquimbo,43,Limarí,4304,Punitaqui,1301,1251,96.1568,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
4,Coquimbo,43,Limarí,4305,Río Hurtado,186,152,81.7204,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
5,Valparaíso,51,Valparaíso,5101,Valparaíso,88564,84221,95.0962,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
5,Valparaíso,51,Valparaíso,5102,Casablanca,6291,6001,95.3902,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
5,Valparaíso,51,Valparaíso,5103,Concón,20623,18873,91.5143,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
5,Valparaíso,51,Valparaíso,5104,Juan Fernández,241,224,92.9461,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
5,Valparaíso,51,Valparaíso,5105,Puchuncaví,8824,8685,98.4248,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
5,Valparaíso,51,Valparaíso,5107,Quintero,9370,9044,96.5208,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
5,Valparaíso,51,Valparaíso,5109,Viña del Mar,126457,118570,93.7631,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
5,Valparaíso,52,Isla de Pascua,5201,Isla de Pascua,2673,2584,96.6704,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
5,Valparaíso,53,Los Andes,5301,Los Andes,22450,21066,93.8352,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
5,Valparaíso,53,Los Andes,5302,Calle Larga,4448,4298,96.6277,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
5,Valparaíso,53,Los Andes,5303,Rinconada,3044,2957,97.1419,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
5,Valparaíso,53,Los Andes,5304,San Esteban,4196,4062,96.8065,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
5,Valparaíso,54,Petorca,5401,La Ligua,8068,7796,96.6287,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
5,Valparaíso,54,Petorca,5402,Cabildo,2592,2509,96.7978,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
5,Valparaíso,54,Petorca,5403,Papudo,2755,2558,92.8494,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
5,Valparaíso,54,Petorca,5404,Petorca,375,359,95.7333,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
5,Valparaíso,54,Petorca,5405,Zapallar,3423,3196,93.3684,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
5,Valparaíso,55,Quillota,5501,Quillota,27393,26183,95.5828,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
5,Valparaíso,55,Quillota,5502,Calera,13396,12872,96.0884,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
5,Valparaíso,55,Quillota,5503,Hijuelas,3906,3838,98.2591,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
5,Valparaíso,55,Quillota,5504,La Cruz,7470,7144,95.6359,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
5,Valparaíso,55,Quillota,5506,Nogales,4612,4519,97.9835,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
5,Valparaíso,56,San Antonio,5601,San Antonio,25236,24388,96.6397,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
5,Valparaíso,56,San Antonio,5602,Algarrobo,8951,8544,95.453,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
5,Valparaíso,56,San Antonio,5603,Cartagena,7166,7141,99.6511,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
5,Valparaíso,56,San Antonio,5604,El Quisco,8708,8638,99.1961,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
5,Valparaíso,56,San Antonio,5605,El Tabo,7061,6957,98.5271,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
5,Valparaíso,56,San Antonio,5606,Santo Domingo,5173,4928,95.2639,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
5,Valparaíso,57,San Felipe de Aconcagua,5701,San Felipe,21552,20584,95.5085,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
5,Valparaíso,57,San Felipe de Aconcagua,5702,Catemu,1958,1909,97.4974,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
5,Valparaíso,57,San Felipe de Aconcagua,5703,Llaillay,5943,5729,96.3991,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
5,Valparaíso,57,San Felipe de Aconcagua,5704,Panquehue,1692,1626,96.0993,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
5,Valparaíso,57,San Felipe de Aconcagua,5705,Putaendo,2834,2776,97.9534,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
5,Valparaíso,57,San Felipe de Aconcagua,5706,Santa María,2826,2719,96.2137,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
5,Valparaíso,58,Marga Marga,5801,Quilpué,55662,53192,95.5625,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
5,Valparaíso,58,Marga Marga,5802,Limache,14901,14335,96.2016,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
5,Valparaíso,58,Marga Marga,5803,Olmué,4735,4614,97.4446,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
5,Valparaíso,58,Marga Marga,5804,Villa Alemana,51817,49572,95.6674,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6101,Rancagua,78084,74351,95.2193,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6102,Codegua,1806,1793,99.2802,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6103,Coinco,1553,1543,99.3561,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6104,Coltauco,3793,3755,98.9982,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6105,Doñihue,4443,4358,98.0869,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6106,Graneros,9082,8918,98.1942,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6107,Las Cabras,2265,2200,97.1302,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6108,Machalí,17999,17293,96.0776,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6109,Malloa,1304,1277,97.9294,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6110,Mostazal,4793,4672,97.4755,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6111,Olivar,2612,2520,96.4778,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6112,Peumo,1525,1512,99.1475,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6113,Pichidegua,1834,1807,98.5278,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6114,Quinta de Tilcoco,2355,2332,99.0234,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6115,Rengo,15287,14729,96.3498,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6116,Requínoa,4411,4260,96.5767,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6117,San Vicente,6561,6352,96.8145,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6201,Pichilemu,5979,5841,97.6919,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6202,La Estrella,616,603,97.8896,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6203,Litueche,1299,1268,97.6135,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6204,Marchihue,677,643,94.9778,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6205,Navidad,2266,2243,98.985,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6206,Paredones,290,264,91.0345,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
6,Libertador General Bernardo O'Higgins,63,Colchagua,6301,San Fernando,18659,17048,91.3661,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
6,Libertador General Bernardo O'Higgins,63,Colchagua,6302,Chépica,1118,1095,97.9428,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
6,Libertador General Bernardo O'Higgins,63,Colchagua,6303,Chimbarongo,3667,3546,96.7003,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
6,Libertador General Bernardo O'Higgins,63,Colchagua,6304,Lolol,674,658,97.6261,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
6,Libertador General Bernardo O'Higgins,63,Colchagua,6305,Nancagua,2480,2422,97.6613,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
6,Libertador General Bernardo O'Higgins,63,Colchagua,6306,Palmilla,543,532,97.9742,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
6,Libertador General Bernardo O'Higgins,63,Colchagua,6307,Peralillo,937,921,98.2924,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
6,Libertador General Bernardo O'Higgins,63,Colchagua,6308,Placilla,347,330,95.1009,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
6,Libertador General Bernardo O'Higgins,63,Colchagua,6309,Pumanque,157,142,90.4459,reported,regional_formula_block_order,2026-06,https://www.subtel.gob.cl/wp-content/uploads/2026/08/1_SERIES_CONEXIONES_INTERNET_FIJA_JUN26_100826.xlsx
