region,region_nombre,provincia,provincia_nombre,comuna,comuna_nombre,censo_2024_households,censo_2024_rural_households_pct,fixed_total_2024m06,fixed_residential_2024m06,fixed_residential_per_100_censo_households_2024m06,source_status_2024m06,fixed_total_2025m06,fixed_residential_2025m06,fixed_residential_per_100_censo_households_2025m06,source_status_2025m06,fixed_total_2026m06,fixed_residential_2026m06,fixed_residential_per_100_censo_households_2026m06,source_status_2026m06,fixed_residential_change_2024m06_to_2025m06,fixed_residential_growth_pct_2024m06_to_2025m06,fixed_residential_intensity_change_pp_2024m06_to_2025m06,fixed_residential_change_2025m06_to_2026m06,fixed_residential_growth_pct_2025m06_to_2026m06,fixed_residential_intensity_change_pp_2025m06_to_2026m06,fixed_residential_change_2024m06_to_2026m06,fixed_residential_growth_pct_2024m06_to_2026m06,fixed_residential_intensity_change_pp_2024m06_to_2026m06
16,Ñuble,161,Diguillín,16109,Yungay,7316,27.5014,2802,2743,37.4932,reported,2841,2806,38.3543,reported,2795,2756,37.6709,reported,63,2.2968,0.8611,-50,-1.7819,-0.6834,13,0.4739,0.1777
16,Ñuble,162,Itata,16201,Quirihue,4650,21.4839,963,928,19.957,reported,991,960,20.6452,reported,990,958,20.6022,reported,32,3.4483,0.6882,-2,-0.2083,-0.043,30,3.2328,0.6452
16,Ñuble,162,Itata,16202,Cobquecura,2312,68.8149,612,604,26.1246,reported,748,726,31.4014,reported,839,817,35.3374,reported,122,20.1987,5.2768,91,12.5344,3.936,213,35.2649,9.2128
16,Ñuble,162,Itata,16203,Coelemu,5642,32.6125,2519,2486,44.0624,reported,2640,2605,46.1716,reported,2827,2798,49.5923,reported,119,4.7868,2.1092,193,7.4088,3.4208,312,12.5503,5.53
16,Ñuble,162,Itata,16204,Ninhue,2309,72.8021,305,300,12.9926,reported,364,350,15.1581,reported,374,361,15.6345,reported,50,16.6667,2.1654,11,3.1429,0.4764,61,20.3333,2.6418
16,Ñuble,162,Itata,16205,Portezuelo,2047,63.3122,236,227,11.0894,reported,285,274,13.3854,reported,330,318,15.5349,reported,47,20.7048,2.296,44,16.0584,2.1495,91,40.0881,4.4455
16,Ñuble,162,Itata,16206,Ránquil,2618,73.9496,497,475,18.1436,reported,616,585,22.3453,reported,686,655,25.0191,reported,110,23.1579,4.2017,70,11.9658,2.6738,180,37.8947,6.8755
16,Ñuble,162,Itata,16207,Trehuaco,2336,63.0137,393,387,16.5668,reported,442,427,18.2791,reported,464,449,19.2209,reported,40,10.3359,1.7123,22,5.1522,0.9418,62,16.0207,2.6541
16,Ñuble,163,Punilla,16301,San Carlos,20691,38.4467,8260,7823,37.8087,reported,8625,8246,39.8531,reported,9959,9517,45.9958,reported,423,5.4071,2.0444,1271,15.4135,6.1428,1694,21.6541,8.1871
16,Ñuble,163,Punilla,16302,Coihueco,10473,69.2256,1311,1284,12.2601,reported,1526,1488,14.208,reported,1568,1527,14.5803,reported,204,15.8879,1.9479,39,2.621,0.3724,243,18.9252,2.3203
16,Ñuble,163,Punilla,16303,Ñiquén,4921,88.7624,350,334,6.7872,reported,292,287,5.8321,reported,370,364,7.3969,reported,-47,-14.0719,-0.9551,77,26.8293,1.5647,30,8.982,0.6096
16,Ñuble,163,Punilla,16304,San Fabián,2023,61.6411,609,602,29.7578,reported,685,674,33.3169,reported,714,703,34.7504,reported,72,11.9601,3.5591,29,4.3027,1.4335,101,16.7774,4.9926
16,Ñuble,163,Punilla,16305,San Nicolás,5445,67.64,531,520,9.55,reported,586,572,10.5051,reported,663,648,11.9008,reported,52,10.0,0.955,76,13.2867,1.3958,128,24.6154,2.3508
