region,region_nombre,provincia,provincia_nombre,comuna,comuna_nombre,hogares_total,hogares_validos_internet,hogares_sin_internet_n,hogares_sin_internet_pct,hogares_trampa_movil_n,hogares_trampa_movil_pct,hogares_con_tel_movil_n,hogares_con_tel_movil_pct,hogares_con_computador_n,hogares_con_computador_pct,hogares_con_internet_fija_n,hogares_con_internet_fija_pct,hogares_con_internet_movil_n,hogares_con_internet_movil_pct,hogares_con_internet_satelital_n,hogares_con_internet_satelital_pct,hogares_urbanos_n,hogares_urbanos_pct,hogares_rurales_n,hogares_rurales_pct,pct_hacinamiento,pct_hacinamiento_critico,pct_no_propietario,pct_arrendatario,pct_tenencia_irregular,pct_monoparental,pct_hogares_con_nna,pct_hogares_con_mayores,pct_hogares_con_discapacidad,pct_jefatura_femenina,pct_hogares_multigeneracionales,macrozona_operativa,ookla_fixed_tiles_2026q1,ookla_fixed_tests_2026q1,ookla_fixed_devices_sum_2026q1,ookla_fixed_download_mbps_2026q1,ookla_fixed_upload_mbps_2026q1,ookla_fixed_latency_ms_2026q1,ookla_fixed_loaded_latency_down_ms_2026q1,ookla_fixed_loaded_latency_up_ms_2026q1,ookla_fixed_tests_2025q4,ookla_fixed_download_delta_pct_q4_to_q1,ookla_fixed_upload_delta_pct_q4_to_q1,ookla_fixed_latency_delta_pct_q4_to_q1,ookla_mobile_tiles_2026q1,ookla_mobile_tests_2026q1,ookla_mobile_devices_sum_2026q1,ookla_mobile_download_mbps_2026q1,ookla_mobile_upload_mbps_2026q1,ookla_mobile_latency_ms_2026q1,ookla_mobile_loaded_latency_down_ms_2026q1,ookla_mobile_loaded_latency_up_ms_2026q1,ookla_mobile_tests_2025q4,ookla_mobile_download_delta_pct_q4_to_q1,ookla_mobile_upload_delta_pct_q4_to_q1,ookla_mobile_latency_delta_pct_q4_to_q1,ookla_observed_any_2026q1,ookla_period,ookla_spatial_method,claro_4g_point_records_2025m03,entel_4g_point_records_2025m03,movistar_4g_point_records_2025m03,wom_4g_point_records_2025m03,mobile_4g_point_records_2025m03,mobile_4g_operators_present_2025m03,claro_5g_point_records_2025m03,entel_5g_point_records_2025m03,movistar_5g_point_records_2025m03,wom_5g_point_records_2025m03,mobile_5g_point_records_2025m03,mobile_5g_operators_present_2025m03,mineduc_aulas_selected_establishments_2025,mineduc_aulas_waitlist_establishments_2025,mineduc_aulas_selected_rural_establishments_2025,mineduc_aulas_selected_enrollment_2025,mineduc_aulas_selected_with_coordinates_2025,fixed_access_public_layers_present,fixed_access_public_operators_present,subtel_fixed_connections_total_2026m03,subtel_fixed_connections_residential_2026m03,subtel_fixed_residential_share_pct_2026m03,subtel_fixed_residential_per_100_censo_households_2026m03,subtel_fixed_source_status_2026m03
2,Antofagasta,21,Antofagasta,2104,Taltal,4129,4094,425,10.381,1524,37.2252,4020,97.3601,1788,43.3035,2033,49.2371,3264,79.0506,379,9.179,3776,91.4507,353,8.5493,6.4961,0.4765,29.0488,13.1463,4.8049,15.4878,43.7805,29.6098,25.6341,50.7561,6.4878,Norte,40.0,364.0,102.0,273.462,234.838,20.508,321.907,358.835,250.0,-3.782,11.184,3.513,35.0,84.0,51.0,90.421,31.04,40.512,1441.095,854.476,86.0,23.712,50.833,1.694,yes,2026Q1,tile centroid within BCN commune polygon,1,13,3,6,23,4,0,3,3,3,9,3,0,1,0,0,0,3,2,3217,2517,78.2406,60.9591,reported
2,Antofagasta,22,El Loa,2201,Calama,56541,55625,2053,3.6908,12539,22.542,55300,97.8051,31559,55.8161,40587,71.7833,50025,88.4756,2706,4.7859,55003,97.2799,1538,2.7201,9.316,1.1992,52.5524,38.4191,3.1617,15.4322,45.3261,20.835,17.7036,43.8808,5.1887,Norte,188.0,4597.0,1682.0,448.081,388.362,21.945,289.595,267.428,4650.0,5.364,3.157,-2.31,156.0,1004.0,480.0,93.026,24.088,44.402,1697.271,1122.134,935.0,3.874,-3.582,-2.274,yes,2026Q1,tile centroid within BCN commune polygon,16,81,48,40,185,4,0,21,8,2,31,3,7,2,0,3209,7,6,4,48122,45297,94.1295,80.1135,reported
2,Antofagasta,22,El Loa,2202,Ollagüe,102,102,11,10.7843,71,69.6078,98,96.0784,40,39.2157,13,12.7451,90,88.2353,8,7.8431,0,0.0,102,100.0,8.9888,1.1236,80.3922,24.5098,2.9412,14.7059,100.0,0.0,30.3922,48.0392,0.0,Norte,3.0,8.0,4.0,154.726,20.699,29.25,141.125,438.0,11.0,517.028,-0.318,-60.522,2.0,2.0,2.0,122.971,17.404,43.5,320.5,1090.0,2.0,27.932,2.733,8.75,yes,2026Q1,tile centroid within BCN commune polygon,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,59,43,72.8814,42.1569,reported
2,Antofagasta,22,El Loa,2203,San Pedro de Atacama,3919,3846,457,11.8825,2968,77.1711,3837,97.9076,1624,41.4391,262,6.6854,3350,85.481,189,4.8227,2442,62.3118,1477,37.6882,13.6856,2.7913,65.3145,37.1245,7.6765,13.6842,38.4852,17.561,15.9178,53.5815,3.0809,Norte,77.0,383.0,250.0,131.25,29.172,30.809,382.402,267.428,402.0,-4.821,-6.263,-13.763,47.0,261.0,103.0,58.65,16.023,69.218,1715.93,1514.95,204.0,-38.671,-17.594,22.404,yes,2026Q1,tile centroid within BCN commune polygon,2,15,3,3,23,4,0,2,1,0,3,2,1,0,0,1009,1,3,2,1663,1502,90.3187,38.3261,reported
2,Antofagasta,23,Tocopilla,2301,Tocopilla,8811,8661,641,7.401,1942,22.4224,8491,96.3682,3905,44.3196,5930,67.3022,7249,82.2722,752,8.5348,8363,94.9154,448,5.0846,5.7532,0.5166,41.3003,21.7491,5.4776,16.0759,42.8193,30.1726,26.7204,51.8297,5.7192,Norte,27.0,390.0,163.0,387.345,363.028,17.787,281.992,288.651,573.0,1.992,-0.291,0.651,22.0,127.0,55.0,98.453,21.207,34.079,2111.976,1055.087,76.0,12.985,20.714,-23.667,yes,2026Q1,tile centroid within BCN commune polygon,4,7,4,7,22,4,0,4,3,3,10,3,5,1,0,2823,5,5,4,6817,6429,94.3083,72.9656,reported
2,Antofagasta,23,Tocopilla,2302,María Elena,1649,1633,68,4.1641,757,46.3564,1619,98.1807,868,52.638,758,45.9673,1513,91.7526,123,7.4591,1543,93.5719,106,6.4281,16.2879,1.0101,94.0061,47.0336,1.1621,13.0275,100.0,0.0,15.1682,38.9602,0.0,Norte,22.0,98.0,39.0,152.866,23.419,28.786,278.878,210.571,71.0,-16.365,-19.633,-32.437,23.0,55.0,43.0,35.096,12.447,56.636,1829.964,1927.509,104.0,2.635,-26.336,28.13,yes,2026Q1,tile centroid within BCN commune polygon,1,5,3,5,14,4,0,0,1,2,3,2,2,0,0,968,2,3,2,1428,1281,89.7059,77.6834,reported
3,Atacama,31,Copiapó,3101,Copiapó,57356,56774,2653,4.6729,15713,27.6764,56160,97.9148,30572,53.3022,37776,65.8623,50552,88.1372,2484,4.3308,55116,96.0946,2240,3.9054,5.8614,0.4948,35.7258,22.9766,3.3974,15.6254,43.7491,24.6683,20.7041,48.0152,5.2681,Norte,181.0,3809.0,1519.0,440.291,387.506,14.059,209.012,257.444,4485.0,2.768,1.883,-1.527,154.0,832.0,445.0,89.904,22.814,32.142,2001.924,1209.636,980.0,2.351,2.03,-1.384,yes,2026Q1,tile centroid within BCN commune polygon,13,71,47,44,175,4,0,22,4,5,31,3,7,1,1,4418,7,5,3,46317,43864,94.7039,76.4767,reported
3,Atacama,31,Copiapó,3102,Caldera,6984,6901,469,6.7961,3045,44.124,6792,97.2509,3115,44.6019,3181,45.547,6123,87.6718,533,7.6317,6092,87.2279,892,12.7721,4.7528,0.3395,30.5981,18.0584,2.7593,16.1803,38.6449,29.7602,27.7088,52.6726,4.7963,Norte,50.0,532.0,215.0,347.437,280.323,18.5,229.036,236.468,455.0,-14.21,-20.029,5.467,69.0,270.0,151.0,65.675,16.566,51.737,2009.187,1822.656,253.0,-2.905,3.447,10.375,yes,2026Q1,tile centroid within BCN commune polygon,5,12,13,10,40,4,0,5,3,3,11,3,3,0,0,1532,3,4,3,5222,5035,96.419,72.0934,reported
3,Atacama,31,Copiapó,3103,Tierra Amarilla,3889,3828,440,11.4943,2278,59.5089,3745,96.2972,1562,40.1646,1004,25.8164,3272,84.1347,202,5.1941,2941,75.6236,948,24.3764,7.802,0.7264,34.8717,10.63,4.6668,15.5043,46.3054,26.8084,21.8564,47.6018,6.2225,Norte,53.0,357.0,137.0,327.897,259.383,17.171,324.179,203.294,547.0,-4.289,-6.367,6.791,47.0,146.0,64.0,69.149,13.547,35.521,1719.815,1568.568,208.0,-10.21,-40.518,4.326,yes,2026Q1,tile centroid within BCN commune polygon,1,14,5,6,26,4,0,3,1,2,6,3,1,0,0,613,1,1,1,2276,2130,93.5852,54.7699,reported
3,Atacama,32,Chañaral,3201,Chañaral,4415,4349,424,9.7494,2997,68.9124,4292,97.214,2050,46.4326,769,17.4179,3860,87.4292,219,4.9604,3645,82.5595,770,17.4405,5.3733,0.2559,32.6945,14.6475,3.3995,16.3815,40.0639,32.0329,23.2945,55.3046,5.2019,Norte,32.0,257.0,85.0,424.169,251.087,19.49,270.856,163.763,293.0,-14.951,-24.986,-4.996,25.0,106.0,60.0,91.75,23.754,36.953,1383.585,1139.226,98.0,-29.842,-16.999,-15.761,yes,2026Q1,tile centroid within BCN commune polygon,4,8,6,9,27,4,0,4,3,6,13,3,2,0,0,638,2,2,2,2427,2360,97.2394,53.4541,reported
