region,region_nombre,provincia,provincia_nombre,comuna,comuna_nombre,hogares_total,hogares_validos_internet,hogares_sin_internet_n,hogares_sin_internet_pct,hogares_trampa_movil_n,hogares_trampa_movil_pct,hogares_con_tel_movil_n,hogares_con_tel_movil_pct,hogares_con_computador_n,hogares_con_computador_pct,hogares_con_internet_fija_n,hogares_con_internet_fija_pct,hogares_con_internet_movil_n,hogares_con_internet_movil_pct,hogares_con_internet_satelital_n,hogares_con_internet_satelital_pct,hogares_urbanos_n,hogares_urbanos_pct,hogares_rurales_n,hogares_rurales_pct,pct_hacinamiento,pct_hacinamiento_critico,pct_no_propietario,pct_arrendatario,pct_tenencia_irregular,pct_monoparental,pct_hogares_con_nna,pct_hogares_con_mayores,pct_hogares_con_discapacidad,pct_jefatura_femenina,pct_hogares_multigeneracionales,macrozona_operativa
3,Atacama,31,Copiapó,3103,Tierra Amarilla,3889,3828,440,11.4943,2278,59.5089,3745,96.2972,1562,40.1646,1004,25.8164,3272,84.1347,202,5.1941,2941,75.6236,948,24.3764,7.802,0.7264,34.8717,10.63,4.6668,15.5043,46.3054,26.8084,21.8564,47.6018,6.2225,Norte
3,Atacama,32,Chañaral,3201,Chañaral,4415,4349,424,9.7494,2997,68.9124,4292,97.214,2050,46.4326,769,17.4179,3860,87.4292,219,4.9604,3645,82.5595,770,17.4405,5.3733,0.2559,32.6945,14.6475,3.3995,16.3815,40.0639,32.0329,23.2945,55.3046,5.2019,Norte
3,Atacama,32,Chañaral,3202,Diego de Almagro,4168,4146,279,6.7294,2290,55.234,4086,98.0326,2117,50.7917,1456,34.9328,3748,89.9232,280,6.7179,3943,94.6017,225,5.3983,5.0868,0.5869,56.6274,18.7154,3.1754,14.7703,43.084,22.9492,24.6813,44.6716,3.4159,Norte
3,Atacama,33,Huasco,3301,Vallenar,18778,18570,1520,8.1852,6197,33.371,18253,97.2042,8372,44.5841,10407,55.4212,15720,83.715,989,5.2668,15526,82.6819,3252,17.3181,5.6953,0.3823,33.7789,15.7971,4.7343,16.4627,41.9485,32.716,25.051,49.8926,6.7096,Norte
3,Atacama,33,Huasco,3302,Alto del Carmen,1922,1905,378,19.8425,1405,73.7533,1854,96.462,570,29.6566,85,4.4225,1506,78.3559,49,2.5494,0,0,1922,100,4.4032,0.3714,32.8296,8.963,8.025,13.5487,100,0,20.4794,44.5023,0,Norte
3,Atacama,33,Huasco,3303,Freirina,2736,2725,333,12.2202,2024,74.2752,2671,97.6243,1075,39.2909,282,10.307,2352,85.9649,111,4.057,1614,58.9912,1122,41.0088,5.6364,0.3733,24.0029,7.9034,3.9517,15.7702,39.7731,32.5284,26.3081,52.1771,5.4885,Norte
3,Atacama,33,Huasco,3304,Huasco,3491,3457,330,9.5458,2191,63.3787,3411,97.7084,1382,39.5875,805,23.0593,3046,87.2529,274,7.8488,2842,81.4093,649,18.5907,5.3577,0.3238,28.5714,12.9896,4.2051,14.5161,36.2903,34.9654,27.6498,46.3998,5.9332,Norte
4,Coquimbo,41,Elqui,4101,La Serena,86795,86184,3850,4.4672,19164,22.2361,85233,98.2004,53488,61.6257,61481,70.8347,76414,88.0396,5451,6.2803,77488,89.277,9307,10.723,3.9053,0.2806,36.9149,26.5993,1.748,15.3074,40.0072,28.1252,21.3935,49.5824,5.2555,Norte
4,Coquimbo,41,Elqui,4102,Coquimbo,90296,89753,4590,5.114,21879,24.3769,88170,97.6455,48799,54.0434,61892,68.5435,78999,87.4889,5442,6.0268,83853,92.8646,6443,7.1354,4.8549,0.35,33.9653,22.9994,1.7203,15.5209,42.3191,28.5764,22.658,48.3575,5.5747,Norte
4,Coquimbo,41,Elqui,4103,Andacollo,4067,4062,589,14.5002,2281,56.1546,3967,97.5412,1803,44.3324,915,22.4982,3390,83.3538,410,10.0811,3293,80.9688,774,19.0312,3.826,0.2001,23.9911,8.7106,2.8051,16.4862,38.6319,36.6142,28.3711,45.9892,5.9301,Norte
