comuna,comuna_nombre,provincia,provincia_nombre,region,region_nombre,claro_4g_point_records_2025m03,entel_4g_point_records_2025m03,movistar_4g_point_records_2025m03,wom_4g_point_records_2025m03,mobile_4g_point_records_2025m03,mobile_4g_operators_present_2025m03,claro_5g_point_records_2025m03,entel_5g_point_records_2025m03,movistar_5g_point_records_2025m03,wom_5g_point_records_2025m03,mobile_5g_point_records_2025m03,mobile_5g_operators_present_2025m03
12303,Timaukel,123,Tierra del Fuego,12,Magallanes y de la Antártica Chilena,0,0,1,2,3,2,0,0,1,0,1,1
12401,Natales,124,Última Esperanza,12,Magallanes y de la Antártica Chilena,2,8,10,7,27,4,0,5,4,3,12,3
12402,Torres del Paine,124,Última Esperanza,12,Magallanes y de la Antártica Chilena,0,2,1,0,3,2,0,0,1,0,1,1
13101,Santiago,131,Santiago,13,Metropolitana de Santiago,132,248,262,340,982,4,20,112,47,67,246,4
13102,Cerrillos,131,Santiago,13,Metropolitana de Santiago,13,49,32,25,119,4,11,13,10,6,40,4
13103,Cerro Navia,131,Santiago,13,Metropolitana de Santiago,9,57,14,29,109,4,0,5,6,3,14,3
13104,Conchalí,131,Santiago,13,Metropolitana de Santiago,14,60,17,42,133,4,12,16,12,8,48,4
13105,El Bosque,131,Santiago,13,Metropolitana de Santiago,10,50,17,27,104,4,0,10,8,6,24,3
13106,Estación Central,131,Santiago,13,Metropolitana de Santiago,21,68,60,62,211,4,13,19,18,2,52,4
13107,Huechuraba,131,Santiago,13,Metropolitana de Santiago,19,31,21,47,118,4,11,7,13,5,36,4
13108,Independencia,131,Santiago,13,Metropolitana de Santiago,14,50,40,38,142,4,14,7,9,3,33,4
13109,La Cisterna,131,Santiago,13,Metropolitana de Santiago,15,46,40,31,132,4,0,10,10,5,25,3
13110,La Florida,131,Santiago,13,Metropolitana de Santiago,49,110,79,87,325,4,19,33,23,12,87,4
13111,La Granja,131,Santiago,13,Metropolitana de Santiago,11,49,8,25,93,4,0,6,5,1,12,3
13112,La Pintana,131,Santiago,13,Metropolitana de Santiago,17,78,20,30,145,4,0,9,14,12,35,3
13113,La Reina,131,Santiago,13,Metropolitana de Santiago,19,48,60,36,163,4,12,8,18,5,43,4
13114,Las Condes,131,Santiago,13,Metropolitana de Santiago,77,177,260,115,629,4,17,66,32,16,131,4
13115,Lo Barnechea,131,Santiago,13,Metropolitana de Santiago,32,61,53,41,187,4,14,5,8,6,33,4
13116,Lo Espejo,131,Santiago,13,Metropolitana de Santiago,9,37,9,21,76,4,0,8,4,3,15,3
13117,Lo Prado,131,Santiago,13,Metropolitana de Santiago,5,26,32,25,88,4,0,4,5,1,10,3
13118,Macul,131,Santiago,13,Metropolitana de Santiago,19,33,25,41,118,4,14,6,17,7,44,4
13119,Maipú,131,Santiago,13,Metropolitana de Santiago,56,159,96,132,443,4,17,26,13,11,67,4
13120,Ñuñoa,131,Santiago,13,Metropolitana de Santiago,31,64,47,76,218,4,14,39,23,9,85,4
13121,Pedro Aguirre Cerda,131,Santiago,13,Metropolitana de Santiago,14,39,12,26,91,4,14,8,5,2,29,4
13122,Peñalolén,131,Santiago,13,Metropolitana de Santiago,27,92,55,73,247,4,15,19,18,18,70,4
13123,Providencia,131,Santiago,13,Metropolitana de Santiago,57,95,171,120,443,4,15,55,26,22,118,4
13124,Pudahuel,131,Santiago,13,Metropolitana de Santiago,27,95,73,62,257,4,17,28,10,6,61,4
13125,Quilicura,131,Santiago,13,Metropolitana de Santiago,27,70,31,67,195,4,17,29,15,4,65,4
13126,Quinta Normal,131,Santiago,13,Metropolitana de Santiago,16,33,24,35,108,4,14,7,13,2,36,4
13127,Recoleta,131,Santiago,13,Metropolitana de Santiago,23,41,56,57,177,4,14,10,16,4,44,4
13128,Renca,131,Santiago,13,Metropolitana de Santiago,13,52,21,41,127,4,1,14,14,6,35,4
13129,San Joaquín,131,Santiago,13,Metropolitana de Santiago,12,29,11,33,85,4,10,12,9,4,35,4
13130,San Miguel,131,Santiago,13,Metropolitana de Santiago,17,34,42,35,128,4,13,11,11,8,43,4
13131,San Ramón,131,Santiago,13,Metropolitana de Santiago,6,30,15,16,67,4,1,7,7,1,16,4
13132,Vitacura,131,Santiago,13,Metropolitana de Santiago,31,73,35,44,183,4,10,14,16,12,52,4
13201,Puente Alto,132,Cordillera,13,Metropolitana de Santiago,41,164,55,92,352,4,17,29,13,10,69,4
13202,Pirque,132,Cordillera,13,Metropolitana de Santiago,8,15,8,10,41,4,0,1,1,6,8,3
13203,San José de Maipo,132,Cordillera,13,Metropolitana de Santiago,8,10,7,20,45,4,0,4,5,8,17,3
13301,Colina,133,Chacabuco,13,Metropolitana de Santiago,41,51,40,87,219,4,15,3,10,4,32,4
13302,Lampa,133,Chacabuco,13,Metropolitana de Santiago,11,33,18,55,117,4,0,2,8,3,13,3
13303,Tiltil,133,Chacabuco,13,Metropolitana de Santiago,5,12,9,15,41,4,1,3,5,5,14,4
13401,San Bernardo,134,Maipo,13,Metropolitana de Santiago,37,119,43,69,268,4,17,27,7,5,56,4
13402,Buin,134,Maipo,13,Metropolitana de Santiago,14,36,18,35,103,4,0,4,5,5,14,3
13403,Calera de Tango,134,Maipo,13,Metropolitana de Santiago,7,14,8,14,43,4,0,3,3,8,14,3
13404,Paine,134,Maipo,13,Metropolitana de Santiago,12,21,14,24,71,4,0,3,4,2,9,3
13501,Melipilla,135,Melipilla,13,Metropolitana de Santiago,13,32,23,47,115,4,0,4,6,11,21,3
13502,Alhué,135,Melipilla,13,Metropolitana de Santiago,2,7,3,13,25,4,0,3,2,5,10,3
13503,Curacaví,135,Melipilla,13,Metropolitana de Santiago,10,13,9,12,44,4,0,4,4,8,16,3
13504,María Pinto,135,Melipilla,13,Metropolitana de Santiago,1,2,1,9,13,4,0,1,1,3,5,3
13505,San Pedro,135,Melipilla,13,Metropolitana de Santiago,3,5,3,8,19,4,0,2,3,3,8,3
13601,Talagante,136,Talagante,13,Metropolitana de Santiago,8,33,13,20,74,4,0,4,5,7,16,3
13602,El Monte,136,Talagante,13,Metropolitana de Santiago,4,22,5,18,49,4,0,5,3,7,15,3
13603,Isla de Maipo,136,Talagante,13,Metropolitana de Santiago,3,13,7,15,38,4,0,3,2,3,8,3
13604,Padre Hurtado,136,Talagante,13,Metropolitana de Santiago,7,20,13,16,56,4,0,2,5,6,13,3
13605,Peñaflor,136,Talagante,13,Metropolitana de Santiago,8,41,14,19,82,4,0,7,7,5,19,3
14101,Valdivia,141,Valdivia,14,Los Ríos,27,73,41,82,223,4,0,6,12,6,24,3
14102,Corral,141,Valdivia,14,Los Ríos,2,9,8,7,26,4,0,3,6,3,12,3
14103,Lanco,141,Valdivia,14,Los Ríos,2,16,4,8,30,4,0,3,3,2,8,3
14104,Los Lagos,141,Valdivia,14,Los Ríos,6,18,6,11,41,4,0,3,3,4,10,3
14105,Máfil,141,Valdivia,14,Los Ríos,2,8,3,7,20,4,0,2,3,2,7,3
14106,Mariquina,141,Valdivia,14,Los Ríos,7,13,5,13,38,4,0,4,4,4,12,3
14107,Paillaco,141,Valdivia,14,Los Ríos,2,10,3,17,32,4,0,3,3,3,9,3
14108,Panguipulli,141,Valdivia,14,Los Ríos,6,40,10,16,72,4,0,5,5,2,12,3
14201,La Unión,142,Ranco,14,Los Ríos,7,18,9,23,57,4,0,3,4,4,11,3
14202,Futrono,142,Ranco,14,Los Ríos,2,14,4,3,23,4,0,3,2,2,7,3
14203,Lago Ranco,142,Ranco,14,Los Ríos,5,12,4,8,29,4,0,2,2,2,6,3
14204,Río Bueno,142,Ranco,14,Los Ríos,7,27,7,11,52,4,0,3,4,2,9,3
15101,Arica,151,Arica,15,Arica y Parinacota,23,96,48,54,221,4,0,9,6,13,28,3
15102,Camarones,151,Arica,15,Arica y Parinacota,1,2,2,0,5,3,0,0,2,0,2,1
15201,Putre,152,Parinacota,15,Arica y Parinacota,1,1,2,2,6,4,0,1,1,0,2,2
15202,General Lagos,152,Parinacota,15,Arica y Parinacota,0,0,0,0,0,0,0,0,0,0,0,0
16101,Chillán,161,Diguillín,16,Ñuble,22,69,41,57,189,4,0,5,5,7,17,3
16102,Bulnes,161,Diguillín,16,Ñuble,2,17,4,9,32,4,0,3,3,0,6,2
16103,Chillán Viejo,161,Diguillín,16,Ñuble,4,15,5,6,30,4,0,3,2,0,5,2
16104,El Carmen,161,Diguillín,16,Ñuble,3,12,3,13,31,4,0,2,2,1,5,3
16105,Pemuco,161,Diguillín,16,Ñuble,4,8,4,8,24,4,0,2,3,3,8,3
16106,Pinto,161,Diguillín,16,Ñuble,4,18,7,7,36,4,0,3,4,2,9,3
16107,Quillón,161,Diguillín,16,Ñuble,3,13,8,9,33,4,0,3,4,4,11,3
16108,San Ignacio,161,Diguillín,16,Ñuble,1,14,5,4,24,4,0,3,3,3,9,3
16109,Yungay,161,Diguillín,16,Ñuble,4,13,5,15,37,4,0,3,3,4,10,3
16201,Quirihue,162,Itata,16,Ñuble,2,7,6,7,22,4,0,3,4,4,11,3
16202,Cobquecura,162,Itata,16,Ñuble,3,11,4,7,25,4,0,4,4,5,13,3
16203,Coelemu,162,Itata,16,Ñuble,4,15,7,11,37,4,0,4,4,5,13,3
16204,Ninhue,162,Itata,16,Ñuble,2,5,4,4,15,4,0,3,3,1,7,3
16205,Portezuelo,162,Itata,16,Ñuble,1,2,2,4,9,4,0,1,2,1,4,3
16206,Ránquil,162,Itata,16,Ñuble,3,5,4,3,15,4,0,1,3,1,5,3
16207,Trehuaco,162,Itata,16,Ñuble,3,8,4,3,18,4,0,2,4,1,7,3
16301,San Carlos,163,Punilla,16,Ñuble,4,31,8,20,63,4,0,3,3,0,6,2
16302,Coihueco,163,Punilla,16,Ñuble,4,14,6,6,30,4,0,2,1,1,4,3
16303,Ñiquén,163,Punilla,16,Ñuble,4,11,3,5,23,4,0,2,2,1,5,3
16304,San Fabián,163,Punilla,16,Ñuble,2,2,4,3,11,4,0,2,2,1,5,3
16305,San Nicolás,163,Punilla,16,Ñuble,3,5,2,7,17,4,0,2,2,3,7,3
