comuna,comuna_nombre,provincia,provincia_nombre,region,region_nombre,claro_4g_point_records_2025m03,entel_4g_point_records_2025m03,movistar_4g_point_records_2025m03,wom_4g_point_records_2025m03,mobile_4g_point_records_2025m03,mobile_4g_operators_present_2025m03,claro_5g_point_records_2025m03,entel_5g_point_records_2025m03,movistar_5g_point_records_2025m03,wom_5g_point_records_2025m03,mobile_5g_point_records_2025m03,mobile_5g_operators_present_2025m03
5503,Hijuelas,55,Quillota,5,Valparaíso,3,10,6,10,29,4,0,3,4,5,12,3
5504,La Cruz,55,Quillota,5,Valparaíso,1,2,2,8,13,4,0,2,2,4,8,3
5506,Nogales,55,Quillota,5,Valparaíso,2,8,8,8,26,4,0,2,2,4,8,3
5601,San Antonio,56,San Antonio,5,Valparaíso,11,61,22,20,114,4,0,3,9,4,16,3
5602,Algarrobo,56,San Antonio,5,Valparaíso,16,30,14,26,86,4,0,3,8,4,15,3
5603,Cartagena,56,San Antonio,5,Valparaíso,6,23,11,16,56,4,0,2,6,5,13,3
5604,El Quisco,56,San Antonio,5,Valparaíso,11,21,11,19,62,4,0,1,9,4,14,3
5605,El Tabo,56,San Antonio,5,Valparaíso,6,26,13,16,61,4,0,3,7,4,14,3
5606,Santo Domingo,56,San Antonio,5,Valparaíso,6,26,17,14,63,4,0,2,6,4,12,3
5701,San Felipe,57,San Felipe de Aconcagua,5,Valparaíso,10,31,10,17,68,4,0,5,3,3,11,3
5702,Catemu,57,San Felipe de Aconcagua,5,Valparaíso,3,7,8,8,26,4,0,3,5,6,14,3
5703,Llaillay,57,San Felipe de Aconcagua,5,Valparaíso,3,10,6,14,33,4,0,2,4,2,8,3
5704,Panquehue,57,San Felipe de Aconcagua,5,Valparaíso,3,3,5,9,20,4,0,1,5,3,9,3
5705,Putaendo,57,San Felipe de Aconcagua,5,Valparaíso,2,7,6,12,27,4,0,5,4,5,14,3
5706,Santa María,57,San Felipe de Aconcagua,5,Valparaíso,2,5,5,3,15,4,0,2,3,2,7,3
5801,Quilpué,58,Marga Marga,5,Valparaíso,18,50,22,37,127,4,0,3,8,8,19,3
5802,Limache,58,Marga Marga,5,Valparaíso,5,13,8,23,49,4,0,4,5,8,17,3
5803,Olmué,58,Marga Marga,5,Valparaíso,4,7,9,14,34,4,0,4,6,4,14,3
5804,Villa Alemana,58,Marga Marga,5,Valparaíso,14,43,15,28,100,4,0,6,8,6,20,3
6101,Rancagua,61,Cachapoal,6,Libertador General Bernardo O'Higgins,28,107,43,56,234,4,0,27,15,11,53,3
6102,Codegua,61,Cachapoal,6,Libertador General Bernardo O'Higgins,1,8,5,4,18,4,0,2,4,3,9,3
6103,Coinco,61,Cachapoal,6,Libertador General Bernardo O'Higgins,2,6,4,7,19,4,0,3,4,2,9,3
6104,Coltauco,61,Cachapoal,6,Libertador General Bernardo O'Higgins,2,9,3,10,24,4,0,3,3,8,14,3
6105,Doñihue,61,Cachapoal,6,Libertador General Bernardo O'Higgins,3,9,5,12,29,4,0,5,5,8,18,3
6106,Graneros,61,Cachapoal,6,Libertador General Bernardo O'Higgins,4,10,6,11,31,4,0,4,5,8,17,3
6107,Las Cabras,61,Cachapoal,6,Libertador General Bernardo O'Higgins,6,17,9,11,43,4,0,4,4,2,10,3
6108,Machalí,61,Cachapoal,6,Libertador General Bernardo O'Higgins,8,19,21,9,57,4,0,4,5,6,15,3
6109,Malloa,61,Cachapoal,6,Libertador General Bernardo O'Higgins,2,12,7,5,26,4,0,3,6,3,12,3
6110,Mostazal,61,Cachapoal,6,Libertador General Bernardo O'Higgins,4,11,9,6,30,4,0,4,4,4,12,3
6111,Olivar,61,Cachapoal,6,Libertador General Bernardo O'Higgins,2,6,4,9,21,4,0,1,3,7,11,3
6112,Peumo,61,Cachapoal,6,Libertador General Bernardo O'Higgins,1,6,3,5,15,4,0,3,3,3,9,3
6113,Pichidegua,61,Cachapoal,6,Libertador General Bernardo O'Higgins,2,9,4,13,28,4,0,4,4,7,15,3
6114,Quinta de Tilcoco,61,Cachapoal,6,Libertador General Bernardo O'Higgins,2,5,2,6,15,4,0,3,2,4,9,3
6115,Rengo,61,Cachapoal,6,Libertador General Bernardo O'Higgins,10,30,8,22,70,4,0,3,3,9,15,3
6116,Requínoa,61,Cachapoal,6,Libertador General Bernardo O'Higgins,6,16,9,8,39,4,0,4,4,2,10,3
6117,San Vicente,61,Cachapoal,6,Libertador General Bernardo O'Higgins,2,18,10,11,41,4,0,3,4,2,9,3
6201,Pichilemu,62,Cardenal Caro,6,Libertador General Bernardo O'Higgins,7,15,10,20,52,4,0,4,5,9,18,3
6202,La Estrella,62,Cardenal Caro,6,Libertador General Bernardo O'Higgins,1,4,2,5,12,4,0,1,2,3,6,3
6203,Litueche,62,Cardenal Caro,6,Libertador General Bernardo O'Higgins,3,7,7,8,25,4,0,3,5,4,12,3
6204,Marchihue,62,Cardenal Caro,6,Libertador General Bernardo O'Higgins,1,6,4,3,14,4,0,1,2,2,5,3
6205,Navidad,62,Cardenal Caro,6,Libertador General Bernardo O'Higgins,3,10,4,8,25,4,0,1,4,4,9,3
6206,Paredones,62,Cardenal Caro,6,Libertador General Bernardo O'Higgins,2,7,5,6,20,4,0,3,3,1,7,3
6301,San Fernando,63,Colchagua,6,Libertador General Bernardo O'Higgins,11,39,19,16,85,4,0,6,2,7,15,3
6302,Chépica,63,Colchagua,6,Libertador General Bernardo O'Higgins,3,8,3,7,21,4,0,3,2,4,9,3
6303,Chimbarongo,63,Colchagua,6,Libertador General Bernardo O'Higgins,5,17,9,22,53,4,0,2,4,3,9,3
6304,Lolol,63,Colchagua,6,Libertador General Bernardo O'Higgins,1,7,3,5,16,4,0,4,3,3,10,3
6305,Nancagua,63,Colchagua,6,Libertador General Bernardo O'Higgins,3,6,4,6,19,4,0,3,4,2,9,3
6306,Palmilla,63,Colchagua,6,Libertador General Bernardo O'Higgins,2,4,3,6,15,4,0,3,3,4,10,3
6307,Peralillo,63,Colchagua,6,Libertador General Bernardo O'Higgins,3,5,3,4,15,4,0,2,1,2,5,3
6308,Placilla,63,Colchagua,6,Libertador General Bernardo O'Higgins,0,3,3,3,9,3,0,2,2,2,6,3
6309,Pumanque,63,Colchagua,6,Libertador General Bernardo O'Higgins,3,5,3,6,17,4,0,0,3,3,6,2
6310,Santa Cruz,63,Colchagua,6,Libertador General Bernardo O'Higgins,6,24,10,17,57,4,0,4,1,3,8,3
7101,Talca,71,Talca,7,Maule,33,117,47,42,239,4,0,5,33,6,44,3
7102,Constitución,71,Talca,7,Maule,9,42,13,21,85,4,0,4,4,1,9,3
7103,Curepto,71,Talca,7,Maule,2,8,4,8,22,4,0,2,4,4,10,3
7104,Empedrado,71,Talca,7,Maule,2,5,4,2,13,4,0,0,4,0,4,1
7105,Maule,71,Talca,7,Maule,2,16,10,13,41,4,0,3,4,2,9,3
7106,Pelarco,71,Talca,7,Maule,2,4,4,4,14,4,0,2,3,2,7,3
7107,Pencahue,71,Talca,7,Maule,4,9,7,7,27,4,0,3,5,4,12,3
7108,Río Claro,71,Talca,7,Maule,2,11,2,7,22,4,0,2,2,3,7,3
7109,San Clemente,71,Talca,7,Maule,7,26,8,16,57,4,0,2,1,2,5,3
7110,San Rafael,71,Talca,7,Maule,2,5,1,4,12,4,0,2,1,1,4,3
7201,Cauquenes,72,Cauquenes,7,Maule,6,26,7,17,56,4,0,4,2,7,13,3
7202,Chanco,72,Cauquenes,7,Maule,4,11,3,6,24,4,0,3,3,3,9,3
7203,Pelluhue,72,Cauquenes,7,Maule,3,12,5,16,36,4,0,2,4,6,12,3
7301,Curicó,73,Curicó,7,Maule,18,78,27,30,153,4,0,7,8,6,21,3
7302,Hualañé,73,Curicó,7,Maule,7,6,5,10,28,4,0,3,4,4,11,3
7303,Licantén,73,Curicó,7,Maule,3,13,5,13,34,4,0,2,5,5,12,3
7304,Molina,73,Curicó,7,Maule,6,13,6,25,50,4,0,4,5,4,13,3
7305,Rauco,73,Curicó,7,Maule,3,5,4,6,18,4,0,2,4,2,8,3
7306,Romeral,73,Curicó,7,Maule,2,9,2,8,21,4,0,3,1,3,7,3
7307,Sagrada Familia,73,Curicó,7,Maule,2,8,3,7,20,4,0,2,2,2,6,3
7308,Teno,73,Curicó,7,Maule,3,12,2,7,24,4,0,3,1,3,7,3
7309,Vichuquén,73,Curicó,7,Maule,3,5,6,7,21,4,0,3,4,2,9,3
7401,Linares,74,Linares,7,Maule,12,30,15,26,83,4,0,4,6,6,16,3
7402,Colbún,74,Linares,7,Maule,5,13,4,9,31,4,0,3,2,3,8,3
7403,Longaví,74,Linares,7,Maule,8,21,3,8,40,4,0,3,2,1,6,3
7404,Parral,74,Linares,7,Maule,10,19,8,14,51,4,0,3,3,2,8,3
7405,Retiro,74,Linares,7,Maule,4,13,5,16,38,4,0,3,4,1,8,3
7406,San Javier,74,Linares,7,Maule,8,25,14,24,71,4,0,3,4,6,13,3
7407,Villa Alegre,74,Linares,7,Maule,4,8,4,7,23,4,0,2,2,4,8,3
7408,Yerbas Buenas,74,Linares,7,Maule,3,8,3,7,21,4,0,2,3,3,8,3
8101,Concepción,81,Concepción,8,Biobío,30,102,60,67,259,4,17,26,15,9,67,4
8102,Coronel,81,Concepción,8,Biobío,14,45,23,26,108,4,0,6,3,11,20,3
