year,quarter,network,tiles,tests,devices_sum_across_tiles,download_mbps_test_weighted,upload_mbps_test_weighted,latency_ms_test_weighted,loaded_latency_down_ms_test_weighted,loaded_latency_up_ms_test_weighted,aggregation,spatial_filter,source_url
2026,1,fixed,29232,517216,196506,397.329,336.119,8.955,228.855,244.339,tile averages weighted by tile test count,tile centroid within Natural Earth 10m Chile ADM0,https://ookla-open-data.s3.amazonaws.com/parquet/performance/type=fixed/year=2026/quarter=1/2026-01-01_performance_fixed_tiles.parquet
2026,1,mobile,22938,125101,60187,98.869,21.431,33.709,1513.942,1240.479,tile averages weighted by tile test count,tile centroid within Natural Earth 10m Chile ADM0,https://ookla-open-data.s3.amazonaws.com/parquet/performance/type=mobile/year=2026/quarter=1/2026-01-01_performance_mobile_tiles.parquet
