"quadkey","tile_x","tile_y","avg_d_mbps","avg_u_mbps","avg_lat_ms","avg_lat_down_ms","avg_lat_up_ms","tests","devices"
"2100330313111231",-70.3372,-18.346700000000002,253.685,17.548,38,1423,1320,3,3
"2100330313111233",-70.3372,-18.3519,207.49,25.955,37,1008,641,5,5
"2100330313113310",-70.3207,-18.378,30.851,9.483,35,3394,2804,2,1
"2100330313113311",-70.31519999999999,-18.378,23.553,0.015,64,1129,3871,1,1
"2100330313113333",-70.31519999999999,-18.3936,221.11,13.409,61,718,559,1,1
"2100330313131100",-70.3317,-18.3988,319.701,16.016,59,580,464,1,1
"2100330313131111",-70.31519999999999,-18.3988,137.814,29.859,49,650,1163,3,3
"2100330313133323",-70.3262,-18.477,79.524,36.075,61,427,282,2,2
"2100330313133330",-70.3207,-18.471799999999998,149.337,42.093,30,331,417,1,1
"2100330313133331",-70.31519999999999,-18.471799999999998,93.782,29.539,44,2267,781,4,3
"2100330313133332",-70.3207,-18.477,101.658,30.895,85,1416,889,50,22
"2100330313133333",-70.31519999999999,-18.477,123.592,33.858,60,981,811,27,18
"2100330313311101",-70.3262,-18.4822,18.266,9.059,24,2149,601,1,1
"2100330313311103",-70.3262,-18.4874,136.855,31.599,190,1212,1198,6,5
"2100330313311110",-70.3207,-18.4822,103.16,21.085,41,1602,1297,6,5
"2100330313311111",-70.31519999999999,-18.4822,89.37,16.044,45,2679,1785,13,9
"2100330313311133",-70.31519999999999,-18.4978,10.182,1.001,44,1874,731,1,1
"2100330331131033",-70.3372,-18.747700000000002,90.732,5.066,185,855,329,4,2
"2100331023311220",-69.65060000000001,-17.8454,6.493,1.92,80,395,163,1,1
"2100331023313001",-69.6451,-17.855900000000002,6.505,3.912,85,1172,654,5,1
"2100331032102322",-69.40889999999999,-17.725099999999998,6.831,1.453,130,1730,3785,15,2
"2100331032120013",-69.4144,-17.735599999999998,2.665,2.16,86,838,4368,2,1
"2100331032120100",-69.40889999999999,-17.730400000000003,5.331,1.641,93,926,4508,5,1
"2100331032120102",-69.40889999999999,-17.735599999999998,3.237,1.964,89,1003,3986,11,1
"2100331032200103",-69.5792,-17.8193,5.216,2.355,79,2204,971,13,1
"2100331032200112",-69.5737,-17.8193,6.576,3.864,66,1009,451,1,1
"2100331202000220",-70.30980000000001,-18.346700000000002,320.665,55.109,19,220,195,1,1
"2100331202000230",-70.2988,-18.346700000000002,219.813,25.04,55,700,794,5,2
"2100331202002001",-70.3043,-18.357099999999996,243.67,10.639,52,856,650,1,1
"2100331202002202",-70.30980000000001,-18.383200000000002,5.165,21.926,49,2995,649,4,1
"2100331202002233",-70.2933,-18.3936,19.867,29.33,60,1474,355,5,1
"2100331202002332",-70.27680000000001,-18.3936,16.38,4.781,79,1477,1353,1,1
"2100331202003223",-70.2603,-18.3936,5.172,8.965,54,2125,1100,5,1
"2100331202020011",-70.2933,-18.3988,50.79,28.857,68,622,1294,1,1
"2100331202020022",-70.30980000000001,-18.4145,6.132,2.297,62,3074,4803,2,1
"2100331202020100",-70.2878,-18.3988,51.342,20.993,50,815,810,3,1
"2100331202020112",-70.27680000000001,-18.404000000000003,10.304,5.963,127,1903,1576,6,1
"2100331202020211",-70.2933,-18.4197,8.96,2.651,61,2098,1977,1,1
"2100331202020213",-70.2933,-18.4249,22.476,9.805,59,1632,3192,6,4
"2100331202020223",-70.3043,-18.4353,140.691,3.136,34,2877,3933,1,1
"2100331202020231",-70.2933,-18.4301,40.377,10.424,57,2512,1449,10,7
"2100331202020232",-70.2988,-18.4353,46.677,1.299,68,3230,2773,3,3
"2100331202020233",-70.2933,-18.4353,72.298,12.512,154,1351,1558,15,7
"2100331202020302",-70.2878,-18.4249,0.2,12.341,68,,3020,1,1
"2100331202020320",-70.2878,-18.4301,58.305,20.081,50,3451,1589,15,6
"2100331202020322",-70.2878,-18.4353,159.823,96.658,32,1816,691,3,2
"2100331202021132",-70.23280000000001,-18.4145,71.665,47.032,47,1133,700,4,3
"2100331202021310",-70.23280000000001,-18.4197,75.627,31.761,58,1241,1075,5,2
"2100331202022001",-70.3043,-18.4405,248.041,32.585,34,1901,2044,3,1
"2100331202022010",-70.2988,-18.4405,96.059,11.315,40,1479,1395,6,4
"2100331202022011",-70.2933,-18.4405,223.469,42.198,56,1010,996,3,3
"2100331202022013",-70.2933,-18.445700000000002,43.371,18.861,46,2290,1608,13,6
"2100331202022023",-70.3043,-18.456200000000003,67.227,38.9,24,586,212,1,1
"2100331202022030",-70.2988,-18.451,107.234,43.075,45,1653,508,10,8
"2100331202022031",-70.2933,-18.451,48.947,19.495,51,1475,1371,12,5
"2100331202022032",-70.2988,-18.456200000000003,169.393,37.56,58,1562,1414,7,6
"2100331202022033",-70.2933,-18.456200000000003,8.092,3.977,204,2498,2449,3,3
"2100331202022100",-70.2878,-18.4405,51.202,32.949,40,1764,651,7,5
"2100331202022101",-70.2823,-18.4405,139.998,39.158,40,2243,1636,3,3
"2100331202022102",-70.2878,-18.445700000000002,138.873,28.258,32,1997,1050,2,2
"2100331202022103",-70.2823,-18.445700000000002,162.495,28.44,53,524,650,5,3
"2100331202022113",-70.2713,-18.445700000000002,54.535,19.712,31,601,1238,4,1
"2100331202022121",-70.2823,-18.451,57.38,24.091,57,2703,907,4,3
"2100331202022122",-70.2878,-18.456200000000003,100.815,21.398,46,944,434,14,4
"2100331202022123",-70.2823,-18.456200000000003,94.414,15.684,55,1929,1599,11,5
"2100331202022130",-70.27680000000001,-18.451,3.995,2.425,68,3416,2276,4,1
"2100331202022131",-70.2713,-18.451,27.523,20.044,26,1135,687,2,2
"2100331202022202",-70.30980000000001,-18.4666,107.085,19.977,52,839,388,9,4
"2100331202022203",-70.3043,-18.4666,75.91,14.002,45,1208,1045,8,5
"2100331202022210",-70.2988,-18.4614,6.774,7.062,54,4292,1227,2,2
"2100331202022211",-70.2933,-18.4614,183.914,59.274,33,1781,667,3,3
"2100331202022212",-70.2988,-18.4666,139.437,37.455,59,833,632,23,3
"2100331202022213",-70.2933,-18.4666,62.812,32.581,52,2298,326,9,2
"2100331202022220",-70.30980000000001,-18.471799999999998,48.28,15.111,126,1760,1984,8,6
"2100331202022221",-70.3043,-18.471799999999998,89.6,22.246,73,1173,1184,55,19
"2100331202022222",-70.30980000000001,-18.477,39.009,12.403,54,1756,1336,7,7
"2100331202022223",-70.3043,-18.477,45.928,20.159,46,582,2783,2,2
"2100331202022230",-70.2988,-18.471799999999998,131.855,21.709,54,809,665,4,3
"2100331202022231",-70.2933,-18.471799999999998,84.502,25.324,52,1493,1373,7,5
"2100331202022232",-70.2988,-18.477,46.931,13.95,55,2375,1487,20,8
"2100331202022233",-70.2933,-18.477,67.574,14.39,35,1110,766,7,4
"2100331202022300",-70.2878,-18.4614,79.463,19.028,50,1056,1146,7,2
"2100331202022301",-70.2823,-18.4614,67.484,28.23,73,2096,859,24,8
"2100331202022303",-70.2823,-18.4666,7.512,8.884,66,2433,2319,14,5
"2100331202022320",-70.2878,-18.471799999999998,61.383,31.534,48,1353,553,10,7
"2100331202022322",-70.2878,-18.477,37.949,10.84,66,1593,718,11,3
"2100331202030130",-70.18889999999999,-18.409299999999998,177.35,23.332,64,458,2859,2,1
"2100331202031131",-70.1395,-18.409299999999998,41.644,30.318,41,1313,276,1,1
"2100331202123031",-70.0735,-18.451,8.784,10.976,48,2561,633,2,2
"2100331202123033",-70.0735,-18.456200000000003,68.566,23.575,24,770,332,1,1
"2100331202123112",-70.05710000000002,-18.445700000000002,28.468,7.857,33,1140,983,9,1
"2100331202123120",-70.0681,-18.451,31.93,14.421,54,1975,694,74,3
"2100331202123122",-70.0681,-18.456200000000003,4.022,8.612,47,2196,1012,1,1
"2100331202123130",-70.05710000000002,-18.451,65.302,14.515,43,1013,466,4,2
"2100331202130010",-70.0351,-18.3988,13.208,8.051,74,2904,155,1,1
"2100331202200000",-70.30980000000001,-18.4822,199.852,42.846,47,748,634,8,6
"2100331202200001",-70.3043,-18.4822,328.282,35.783,50,706,1016,3,3
"2100331202200002",-70.30980000000001,-18.4874,26.269,16.185,38,2399,812,67,4
"2100331202200003",-70.3043,-18.4874,53.9,15.754,54,3016,1433,6,3
"2100331202200010",-70.2988,-18.4822,120.784,43.274,53,750,570,3,3
"2100331202200011",-70.2933,-18.4822,80.484,14.249,93,1300,784,3,2
"2100331202200012",-70.2988,-18.4874,99.258,23.035,92,1985,721,10,4
"2100331202200013",-70.2933,-18.4874,33.989,10.875,48,1530,2234,11,7
"2100331202200020",-70.30980000000001,-18.4926,28.438,7.437,58,2265,1274,4,3
"2100331202200021",-70.3043,-18.4926,56.805,13.509,54,1571,940,10,7
"2100331202200022",-70.30980000000001,-18.4978,26.363,20.791,45,1474,750,3,3
"2100331202200023",-70.3043,-18.4978,4.308,2.984,44,2159,1941,3,2
"2100331202200030",-70.2988,-18.4926,4.854,20.736,62,3606,519,2,2
"2100331202200031",-70.2933,-18.4926,126.701,39.266,49,834,409,11,4
"2100331202200032",-70.2988,-18.4978,6.955,7.36,55,2643,1224,3,3
"2100331202200033",-70.2933,-18.4978,24.473,14.089,29,917,1103,2,2
"2100331202200100",-70.2878,-18.4822,36.289,13.247,63,2482,1544,27,9
"2100331202200101",-70.2823,-18.4822,133.908,17.539,50,1525,977,8,5
"2100331202200102",-70.2878,-18.4874,121.729,30.169,40,1391,334,5,3
"2100331202200103",-70.2823,-18.4874,143.736,30.94,31,609,869,6,3
"2100331202200110",-70.27680000000001,-18.4822,183.109,24.469,49,3496,1384,3,3
"2100331202200112",-70.27680000000001,-18.4874,322.431,65.394,39,500,351,2,2
"2100331202200120",-70.2878,-18.4926,65.882,26.242,67,1353,859,7,5
"2100331202200121",-70.2823,-18.4926,192.835,69.617,57,579,229,1,1
"2100331202200122",-70.2878,-18.4978,63.108,20.172,51,1327,1112,7,6
"2100331202200123",-70.2823,-18.4978,110.593,21.601,59,1519,1121,18,4
"2100331202200132",-70.27680000000001,-18.4978,44.612,12.585,230,1933,1232,11,2
"2100331202200200",-70.30980000000001,-18.5031,2.137,39.15,67,2571,297,1,1
"2100331202200201",-70.3043,-18.5031,8.31,0.609,53,4665,3362,2,2
"2100331202200210",-70.2988,-18.5031,10.823,6.036,55,2072,1389,1,1
"2100331202200230",-70.2988,-18.5135,40.245,5.095,38,2044,2195,4,1
"2100331202200231",-70.2933,-18.5135,21.139,1.428,275,1694,6850,1,1
"2100331202200300",-70.2878,-18.5031,97.889,12.096,60,757,567,3,1
"2100331202200301",-70.2823,-18.5031,187.166,45.924,184,1057,585,80,6
"2100331202200311",-70.2713,-18.5031,108.575,37.811,56,965,1167,4,1
"2100331202200313",-70.2713,-18.5083,87.998,16.369,87,971,496,3,2
"2100331202200331",-70.2713,-18.5135,2.466,1.931,58,150,1783,1,1
"2100331202201201",-70.2603,-18.5031,227.277,14.596,20,382,484,1,1
"2100331202201202",-70.2658,-18.5083,11.005,3.322,59,3038,2820,3,2
"2100331202201312",-70.23280000000001,-18.5083,170.049,21.465,48,1466,1527,14,2
"2100331202201331",-70.2274,-18.5135,207.47,3.048,39,502,2868,1,1
"2100331202210220",-70.22189999999999,-18.5135,146.265,15.376,49,1810,517,2,2
"2100331202210221",-70.2164,-18.5135,35.008,12.242,59,809,607,1,1
"2100331202210333",-70.18339999999999,-18.518700000000003,163.387,17.494,245,1001,648,2,2
"2100331202211222",-70.1779,-18.518700000000003,7.665,8.466,55,3319,970,3,2
