year,quarter,network,tiles,tests,devices_sum_across_tiles,download_mbps_test_weighted,upload_mbps_test_weighted,latency_ms_test_weighted,loaded_latency_down_ms_test_weighted,loaded_latency_up_ms_test_weighted,aggregation,spatial_filter,source_url
2026,2,fixed,26661,541876,193317,421.067,362.019,8.232,222.586,243.139,tile averages weighted by tile test count,tile centroid within Natural Earth 10m Chile ADM0,https://ookla-open-data.s3.amazonaws.com/parquet/performance/type=fixed/year=2026/quarter=2/2026-04-01_performance_fixed_tiles.parquet
2026,2,mobile,20875,120636,55630,95.329,21.136,31.869,1505.098,1237.436,tile averages weighted by tile test count,tile centroid within Natural Earth 10m Chile ADM0,https://ookla-open-data.s3.amazonaws.com/parquet/performance/type=mobile/year=2026/quarter=2/2026-04-01_performance_mobile_tiles.parquet
