"quadkey","tile_x","tile_y","avg_d_mbps","avg_u_mbps","avg_lat_ms","avg_lat_down_ms","avg_lat_up_ms","tests","devices"
"2100331202022233",-70.2933,-18.477,51.812,11.654,50,2325,890,11,6
"2100331202022300",-70.2878,-18.4614,7.78,21.197,38,850,2027,2,2
"2100331202022301",-70.2823,-18.4614,109.593,23.691,34,1027,1603,19,8
"2100331202022302",-70.2878,-18.4666,98.906,26.554,45,967,794,3,3
"2100331202022310",-70.27680000000001,-18.4614,48.734,20.279,31,1015,1863,3,2
"2100331202022312",-70.27680000000001,-18.4666,59.123,42.42,47,1103,723,6,2
"2100331202022320",-70.2878,-18.471799999999998,39.965,18.032,60,1280,635,14,5
"2100331202022321",-70.2823,-18.471799999999998,70.811,31.144,125,1129,927,7,3
"2100331202022322",-70.2878,-18.477,6.738,17.267,44,2543,1487,10,4
"2100331202022323",-70.2823,-18.477,40.342,24.456,34,1997,583,3,3
"2100331202022333",-70.2713,-18.477,4.249,7.234,67,2046,972,1,1
"2100331202030032",-70.2109,-18.4145,22.886,2.546,53,928,1950,1,1
"2100331202123033",-70.0735,-18.456200000000003,28.463,21.552,31,1201,1752,1,1
"2100331202123112",-70.05710000000002,-18.445700000000002,47.229,6.084,40,935,2855,8,2
"2100331202123120",-70.0681,-18.451,26.913,11.829,51,2157,1327,8,5
"2100331202123130",-70.05710000000002,-18.451,125.777,23.091,38,1424,274,3,2
"2100331202130010",-70.0351,-18.3988,7.165,1.941,73,396,157,2,1
"2100331202200000",-70.30980000000001,-18.4822,119.987,31.108,55,1522,1149,46,11
"2100331202200001",-70.3043,-18.4822,178.206,37.776,37,1060,861,5,5
"2100331202200002",-70.30980000000001,-18.4874,231.161,36.021,43,775,454,16,4
"2100331202200003",-70.3043,-18.4874,174.019,32.038,47,1190,804,8,4
"2100331202200010",-70.2988,-18.4822,167.42,6.508,37,555,597,2,1
"2100331202200011",-70.2933,-18.4822,68.153,24.581,41,2100,856,17,7
"2100331202200012",-70.2988,-18.4874,82.979,26.089,44,1534,1229,14,8
"2100331202200013",-70.2933,-18.4874,40.015,14.783,43,2032,1269,28,10
"2100331202200020",-70.30980000000001,-18.4926,388.198,99.16,36,730,152,2,1
"2100331202200022",-70.30980000000001,-18.4978,200.539,12.072,48,435,596,1,1
"2100331202200023",-70.3043,-18.4978,13.919,15.067,37,1773,874,7,4
"2100331202200030",-70.2988,-18.4926,55.478,20.272,42,945,774,7,7
"2100331202200031",-70.2933,-18.4926,55.071,28.18,48,1814,1372,13,3
"2100331202200032",-70.2988,-18.4978,26.672,25.326,40,1730,1602,7,5
"2100331202200033",-70.2933,-18.4978,15.978,10.495,56,1888,1201,3,2
"2100331202200100",-70.2878,-18.4822,54.14,4.636,42,2199,2488,115,6
"2100331202200101",-70.2823,-18.4822,80.135,15.78,47,1060,776,13,9
"2100331202200102",-70.2878,-18.4874,66.058,27.241,44,1390,641,13,6
"2100331202200103",-70.2823,-18.4874,88.192,18.462,48,1059,990,8,8
"2100331202200110",-70.27680000000001,-18.4822,49.034,37.361,42,816,275,1,1
"2100331202200120",-70.2878,-18.4926,18.45,19.953,46,2221,1194,4,4
"2100331202200121",-70.2823,-18.4926,38.215,9.644,48,1283,806,7,4
"2100331202200122",-70.2878,-18.4978,26.227,16.079,48,4399,1034,8,7
"2100331202200123",-70.2823,-18.4978,20.766,21.864,55,3882,1640,17,6
"2100331202200130",-70.27680000000001,-18.4926,46.992,20.339,38,1883,1315,6,3
"2100331202200132",-70.27680000000001,-18.4978,81.812,29.586,45,1218,1147,27,4
"2100331202200133",-70.2713,-18.4978,101.428,16.143,44,894,606,3,3
"2100331202200200",-70.30980000000001,-18.5031,24.096,4.206,38,1658,4230,2,2
"2100331202200201",-70.3043,-18.5031,46.039,14.647,30,1357,1379,4,3
"2100331202200210",-70.2988,-18.5031,95.605,19.566,26,429,377,1,1
"2100331202200230",-70.2988,-18.5135,103.955,1.243,40,1840,1525,1,1
"2100331202200231",-70.2933,-18.5135,212.155,29.365,18,475,395,2,1
"2100331202200300",-70.2878,-18.5031,0.325,5.725,60,9268,2095,1,1
"2100331202200301",-70.2823,-18.5031,94.847,25.02,76,1288,959,238,6
"2100331202200302",-70.2878,-18.5083,28.248,15.22,45,892,469,1,1
"2100331202200303",-70.2823,-18.5083,266.641,83.294,19,346,198,1,1
"2100331202200310",-70.27680000000001,-18.5031,235.849,59.343,33,465,186,1,1
"2100331202200320",-70.2878,-18.5135,152.018,43.214,29,480,978,3,2
"2100331202201020",-70.2658,-18.4926,322.797,46.692,30,427,386,3,2
"2100331202201032",-70.2548,-18.4978,0.301,5.572,61,,5410,1,1
"2100331202201122",-70.2438,-18.4978,0.265,0.514,28,,8787,1,1
"2100331202201201",-70.2603,-18.5031,106.029,19.154,29,262,344,1,1
"2100331202201202",-70.2658,-18.5083,50.371,21.217,43,803,568,4,3
"2100331202201220",-70.2658,-18.5135,156.547,27.834,36,1956,2179,2,2
"2100331202201231",-70.2493,-18.5135,22.454,8.164,68,1212,675,1,1
"2100331202201312",-70.23280000000001,-18.5083,1.634,25.613,61,3903,728,3,1
"2100331202201321",-70.23830000000001,-18.5135,246.937,86.837,37,1118,512,8,2
"2100331202201331",-70.2274,-18.5135,168.789,25.521,40,2248,1245,2,2
"2100331202203111",-70.2274,-18.5239,6.051,14.568,59,3577,1133,2,1
"2100331202210200",-70.22189999999999,-18.5031,4.621,33.935,60,2691,487,2,1
"2100331202210203",-70.2164,-18.5083,20.929,2.205,33,1145,1875,1,1
