year,quarter,network,tiles,tests,devices_sum_across_tiles,download_mbps_test_weighted,upload_mbps_test_weighted,latency_ms_test_weighted,loaded_latency_down_ms_test_weighted,loaded_latency_up_ms_test_weighted,aggregation,spatial_filter,source_url
2025,4,fixed,26640,518053,190589,392.099,333.084,8.713,225.924,239.017,tile averages weighted by tile test count,tile centroid within Natural Earth 10m Chile ADM0,https://ookla-open-data.s3.amazonaws.com/parquet/performance/type=fixed/year=2025/quarter=4/2025-10-01_performance_fixed_tiles.parquet
2025,4,mobile,20647,123193,56171,105.66,23.185,30.633,1438.608,1188.946,tile averages weighted by tile test count,tile centroid within Natural Earth 10m Chile ADM0,https://ookla-open-data.s3.amazonaws.com/parquet/performance/type=mobile/year=2025/quarter=4/2025-10-01_performance_mobile_tiles.parquet
