network,control_period,current_period,control_download_mbps,current_download_mbps,download_delta_mbps,download_delta_pct,control_upload_mbps,current_upload_mbps,upload_delta_mbps,upload_delta_pct,control_latency_ms,current_latency_ms,latency_delta_ms,latency_delta_pct,control_tests,current_tests
fixed,2026Q1,2026Q2,397.329,421.067,23.738,5.974,336.119,362.019,25.9,7.706,8.955,8.232,-0.723,-8.074,517216,541876
mobile,2026Q1,2026Q2,98.869,95.329,-3.54,-3.58,21.431,21.136,-0.295,-1.377,33.709,31.869,-1.84,-5.458,125101,120636
