"quadkey","tile_x","tile_y","avg_d_mbps","avg_u_mbps","avg_lat_ms","avg_lat_down_ms","avg_lat_up_ms","tests","devices"
"2100331202022203",-70.3043,-18.4666,335.924,260.891,36,136,95,39,8
"2100331202022210",-70.2988,-18.4614,377.047,334.169,22,190,76,19,5
"2100331202022211",-70.2933,-18.4614,499.57,484.944,50,137,188,3,2
"2100331202022212",-70.2988,-18.4666,276.411,194.653,34,199,280,20,6
"2100331202022213",-70.2933,-18.4666,378.667,323.069,31,401,100,14,8
"2100331202022220",-70.30980000000001,-18.471799999999998,469.501,407.155,25,145,76,33,13
"2100331202022221",-70.3043,-18.471799999999998,510.573,419.042,29,208,163,32,21
"2100331202022222",-70.30980000000001,-18.477,484.733,410.947,20,311,130,72,24
"2100331202022223",-70.3043,-18.477,447.711,485.246,25,219,135,31,18
"2100331202022230",-70.2988,-18.471799999999998,534.408,512.165,18,115,157,33,14
"2100331202022231",-70.2933,-18.471799999999998,355.23,252.35,35,290,414,28,16
"2100331202022232",-70.2988,-18.477,422.334,395.591,16,253,198,106,23
"2100331202022233",-70.2933,-18.477,482.302,396.158,24,395,169,40,20
"2100331202022300",-70.2878,-18.4614,747.565,605.901,28,92,34,1,1
"2100331202022301",-70.2823,-18.4614,581.28,528.376,28,325,268,138,22
"2100331202022302",-70.2878,-18.4666,464.45,261.044,38,255,131,8,7
"2100331202022303",-70.2823,-18.4666,255.066,209.716,67,902,705,31,3
"2100331202022310",-70.27680000000001,-18.4614,16.071,13.03,67,780,969,41,2
"2100331202022312",-70.27680000000001,-18.4666,93.007,8.305,88,1030,508,12,2
"2100331202022320",-70.2878,-18.471799999999998,534.08,418.887,24,248,300,43,22
"2100331202022321",-70.2823,-18.471799999999998,632.632,530.182,12,184,113,82,9
"2100331202022322",-70.2878,-18.477,514.198,482.417,16,341,144,117,20
"2100331202022323",-70.2823,-18.477,481.265,443.995,15,215,65,28,14
"2100331202023021",-70.2603,-18.451,190.982,23.604,37,106,45,10,1
"2100331202023030",-70.2548,-18.451,89.207,25.305,37,483,190,5,1
"2100331202030200",-70.22189999999999,-18.4197,129.234,39.029,45,50,44,1,1
"2100331202031031",-70.16139999999999,-18.409299999999998,264.601,41.045,34,78,40,1,1
"2100331202123031",-70.0735,-18.451,18.389,39.81,25,369,1404,2,1
"2100331202123120",-70.0681,-18.451,161.432,48.745,48,111,42,1,1
"2100331202123130",-70.05710000000002,-18.451,260.122,33.788,37,101,51,23,1
"2100331202200000",-70.30980000000001,-18.4822,503.761,407.368,23,436,98,53,26
"2100331202200001",-70.3043,-18.4822,439.232,375.66,25,206,234,65,27
"2100331202200002",-70.30980000000001,-18.4874,478.473,390.459,26,354,138,60,19
