region,region_nombre,provincia,provincia_nombre,comuna,comuna_nombre,hogares_total,hogares_validos_internet,hogares_sin_internet_n,hogares_sin_internet_pct,hogares_trampa_movil_n,hogares_trampa_movil_pct,hogares_con_tel_movil_n,hogares_con_tel_movil_pct,hogares_con_computador_n,hogares_con_computador_pct,hogares_con_internet_fija_n,hogares_con_internet_fija_pct,hogares_con_internet_movil_n,hogares_con_internet_movil_pct,hogares_con_internet_satelital_n,hogares_con_internet_satelital_pct,hogares_urbanos_n,hogares_urbanos_pct,hogares_rurales_n,hogares_rurales_pct
4,Coquimbo,41,Elqui,4105,Paihuano,1870,1859,166,8.9295,1420,76.3852,1832,97.9679,739,39.5187,181,9.6791,1678,89.7326,124,6.631,0,0,1870,100
4,Coquimbo,41,Elqui,4106,Vicuña,9842,9785,1027,10.4957,4415,45.1201,9606,97.6021,4086,41.516,3893,39.555,8096,82.2597,761,7.7322,5682,57.7322,4160,42.2678
4,Coquimbo,42,Choapa,4201,Illapel,11593,11545,1446,12.5249,4647,40.2512,11398,98.318,5350,46.1485,5083,43.8454,9362,80.7556,658,5.6758,7321,63.1502,4272,36.8498
4,Coquimbo,42,Choapa,4202,Canela,3779,3769,838,22.234,2388,63.359,3645,96.4541,1060,28.0497,493,13.0458,2873,76.0254,88,2.3287,758,20.0582,3021,79.9418
4,Coquimbo,42,Choapa,4203,Los Vilos,8543,8496,949,11.17,3578,42.1139,8344,97.6706,3527,41.2853,3805,44.5394,7106,83.1792,478,5.5952,6692,78.3331,1851,21.6669
4,Coquimbo,42,Choapa,4204,Salamanca,10058,10013,1337,13.3526,4710,47.0388,9795,97.3852,4408,43.8258,3803,37.8107,8106,80.5926,393,3.9073,5536,55.0408,4522,44.9592
4,Coquimbo,43,Limarí,4301,Ovalle,42363,42016,4024,9.5773,16061,38.2259,41266,97.4105,17549,41.4253,21013,49.6022,35105,82.8671,2798,6.6048,33469,79.0053,8894,20.9947
4,Coquimbo,43,Limarí,4302,Combarbalá,5256,5246,1107,21.1018,2837,54.0793,5066,96.3851,1592,30.2892,1142,21.7275,3883,73.8775,249,4.7374,2085,39.6689,3171,60.3311
4,Coquimbo,43,Limarí,4303,Monte Patria,11220,11198,1728,15.4313,7254,64.7794,10951,97.6025,3328,29.6613,2080,18.5383,9206,82.0499,271,2.4153,4907,43.7344,6313,56.2656
4,Coquimbo,43,Limarí,4304,Punitaqui,4463,4456,802,17.9982,2633,59.0889,4344,97.3336,1440,32.2653,911,20.4123,3468,77.7056,202,4.5261,1969,44.1183,2494,55.8817
4,Coquimbo,43,Limarí,4305,Río Hurtado,1882,1879,411,21.8733,1336,71.1016,1831,97.2901,568,30.1807,103,5.4729,1448,76.9394,35,1.8597,0,0,1882,100
5,Valparaíso,51,Valparaíso,5101,Valparaíso,109579,108471,6001,5.5324,25808,23.7925,106334,97.0387,62516,57.0511,76028,69.3819,96374,87.9493,3701,3.3775,108963,99.4378,616,0.5622
5,Valparaíso,51,Valparaíso,5102,Casablanca,10603,10507,803,7.6425,4590,43.6852,10342,97.5384,4696,44.2894,4592,43.3085,9140,86.202,982,9.2615,6649,62.7087,3954,37.2913
5,Valparaíso,51,Valparaíso,5103,Concón,18259,18099,494,2.7294,3723,20.5702,17974,98.4391,11944,65.4143,13797,75.5627,16595,90.8867,938,5.1372,16767,91.8287,1492,8.1713
5,Valparaíso,51,Valparaíso,5104,Juan Fernández,376,372,6,1.6129,57,15.3226,368,97.8723,214,56.9149,6,1.5957,327,86.9681,308,81.9149,0,0,376,100
5,Valparaíso,51,Valparaíso,5105,Puchuncaví,8504,8460,654,7.7305,3589,42.4232,8285,97.4247,3891,45.7549,4003,47.072,7307,85.9243,649,7.6317,7152,84.1016,1352,15.8984
5,Valparaíso,51,Valparaíso,5107,Quintero,13113,12974,808,6.2278,4158,32.0487,12768,97.369,5642,43.026,7695,58.6822,11307,86.2274,978,7.4582,10725,81.7891,2388,18.2109
5,Valparaíso,51,Valparaíso,5109,Viña del Mar,132347,131461,5560,4.2294,28377,21.5859,129560,97.8942,82629,62.4336,96812,73.1501,118829,89.7859,5443,4.1127,132224,99.9071,123,0.0929
5,Valparaíso,52,Isla de Pascua,5201,Isla de Pascua,2077,2010,130,6.4677,1080,53.7313,1998,96.1964,1116,53.7313,147,7.0775,1830,88.1078,749,36.0616,1952,93.9817,125,6.0183
5,Valparaíso,53,Los Andes,5301,Los Andes,23192,22989,1285,5.5896,4992,21.7147,22702,97.8872,12813,55.2475,16571,71.4514,20212,87.1507,1078,4.6482,21747,93.7694,1445,6.2306
