region,region_nombre,provincia,provincia_nombre,comuna,comuna_nombre,hogares_total,pct_hacinamiento,pct_hacinamiento_critico,pct_no_propietario,pct_arrendatario,pct_tenencia_irregular,pct_monoparental,pct_hogares_con_nna,pct_hogares_con_mayores,pct_hogares_con_discapacidad,pct_jefatura_femenina,pct_hogares_multigeneracionales
4,Coquimbo,43,Limarí,4303,Monte Patria,11220,6.1309,0.3791,33.4077,11.0972,3.7823,17.9037,37.0027,34.2819,29.1704,49.6521,4.8707
4,Coquimbo,43,Limarí,4304,Punitaqui,4463,5.0447,0.3669,29.7467,11.7238,2.8917,17.2607,38.2425,35.5974,30.2847,48.9352,5.3127
4,Coquimbo,43,Limarí,4305,Río Hurtado,1882,4.4324,0.3243,30.1064,9.9468,6.117,14.5745,100,0,30.7979,45,0
5,Valparaíso,51,Valparaíso,5101,Valparaíso,109579,4.5544,0.4655,47.7123,30.9211,4.2904,15.0308,32.4168,32.2265,24.6661,54.2835,4.5883
5,Valparaíso,51,Valparaíso,5102,Casablanca,10603,4.7917,0.4041,35.1855,19.2162,1.4483,15.7516,39.1518,30.585,22.0087,48.2298,5.0265
5,Valparaíso,51,Valparaíso,5103,Concón,18259,3.3881,0.341,44.5463,34.3361,1.2516,13.4819,33.7158,29.9446,17.4892,49.2397,3.8865
5,Valparaíso,51,Valparaíso,5104,Juan Fernández,376,8.3558,0.5391,37.9679,21.3904,1.6043,10.4278,100,0,12.2995,39.3048,0
5,Valparaíso,51,Valparaíso,5105,Puchuncaví,8504,4.4572,0.3475,34.2925,17.783,1.7335,12.2759,34.941,35.5778,26.4033,48.1958,4.5519
5,Valparaíso,51,Valparaíso,5107,Quintero,13113,5.9915,0.521,40.8428,21.1851,4.3061,14.4151,37.7802,32.9751,28.5539,50.5066,4.8971
5,Valparaíso,51,Valparaíso,5109,Viña del Mar,132347,4.4022,0.7166,46.9485,32.1732,3.5328,14.3103,29.8238,32.7611,20.9595,52.5903,3.9326
5,Valparaíso,52,Isla de Pascua,5201,Isla de Pascua,2077,6.2893,0.387,41.1793,31.6095,0.5317,11.6965,100,0,10.9715,50.8942,0
5,Valparaíso,53,Los Andes,5301,Los Andes,23192,4.2148,0.2733,36.6392,27.7277,1.6349,16.5178,38.9592,31.1101,23.5212,49.9393,4.3886
5,Valparaíso,53,Los Andes,5302,Calle Larga,5769,5.2192,0.284,30.0208,16.3718,1.6129,14.8977,44.8491,28.4079,25.0607,44.5196,4.9254
5,Valparaíso,53,Los Andes,5303,Rinconada,4046,5.0152,0.228,26.2924,13.8016,1.583,15.5578,45.7581,29.0131,21.8155,44.8924,5.7136
5,Valparaíso,53,Los Andes,5304,San Esteban,7132,4.7238,0.2426,30.9948,17.0198,1.7679,14.4521,42.2057,30.2231,24.1336,44.3665,5.0933
5,Valparaíso,54,Petorca,5401,La Ligua,14322,4.6982,0.3003,29.1404,15.4697,2.086,15.7987,37.0363,34.1313,26.3335,49.279,4.9909
5,Valparaíso,54,Petorca,5402,Cabildo,6779,4.8044,0.3324,29.0837,14.2541,1.4903,15.5378,41.4785,34.6171,25.8521,44.5772,5.9318
5,Valparaíso,54,Petorca,5403,Papudo,2715,5.8446,0.5279,29.9668,15.739,1.5481,12.864,37.265,34.9429,25.8017,43.826,5.6027
5,Valparaíso,54,Petorca,5404,Petorca,3820,3.6224,0.0264,26.775,12.3657,4.1394,15.431,35.1585,36.2326,29.29,52.7116,4.9253
5,Valparaíso,54,Petorca,5405,Zapallar,2815,4.1953,0.1085,31.4123,13.0914,2.5614,11.6329,38.3138,37.0687,22.412,42.974,5.3362
5,Valparaíso,55,Quillota,5501,Quillota,33899,4.0461,0.2614,35.5602,23.2869,2.0836,16.2804,39.508,33.1802,25.2075,51.2211,5.2579
5,Valparaíso,55,Quillota,5502,Calera,17536,5.052,0.3172,37.1721,20.713,3.4043,16.7977,40.0999,34.87,28.3885,52.15,6.0107
5,Valparaíso,55,Quillota,5503,Hijuelas,6682,6.3055,0.2908,32.1856,11.8862,3.3383,14.9701,42.0958,31.003,25.4341,46.2575,5.2844
5,Valparaíso,55,Quillota,5504,La Cruz,8582,3.8967,0.1658,31.9231,19.3357,2.1096,16.0839,45.676,26.6084,21.3054,47.4476,4.1958
5,Valparaíso,55,Quillota,5506,Nogales,7534,5.6244,0.3268,33.5947,14.0199,2.3123,14.99,39.9203,36.7708,28.6512,47.6279,6.5914
5,Valparaíso,56,San Antonio,5601,San Antonio,34941,5.9072,0.5916,32.9678,16.1327,5.5436,17.497,39.1676,32.0237,28.6676,54.4426,5.4716
5,Valparaíso,56,San Antonio,5602,Algarrobo,6448,3.8529,0.3171,35.1944,18.196,1.4774,11.4152,28.818,44.4168,21.5552,49.1913,4.7434
5,Valparaíso,56,San Antonio,5603,Cartagena,9318,6.5565,0.5325,38.049,14.557,7.5429,13.4348,34.5096,40.5849,32.5672,52.606,5.9998
5,Valparaíso,56,San Antonio,5604,El Quisco,7727,4.5934,0.3872,41.567,21.1149,2.7937,12.2531,29.08,44.3217,25.4678,51.1305,4.5348
5,Valparaíso,56,San Antonio,5605,El Tabo,6787,4.6361,0.4681,33.4959,14.2942,3.1633,10.643,26.0458,46.8884,28.8396,51.2639,4.5528
5,Valparaíso,56,San Antonio,5606,Santo Domingo,4663,3.4438,0.2833,28.1699,12.3579,1.1585,11.0277,38.1892,36.9663,18.6012,39.7983,4.9131
5,Valparaíso,57,San Felipe de Aconcagua,5701,San Felipe,29681,5.379,0.3133,40.237,28.5743,2.3806,16.2817,39.0349,28.6048,24.6969,50.8026,4.9543
5,Valparaíso,57,San Felipe de Aconcagua,5702,Catemu,4928,5.2675,0.2881,26.2848,13.0205,1.5031,15.6815,39.5287,35.1209,27.8082,49.7867,5.7282
5,Valparaíso,57,San Felipe de Aconcagua,5703,Llaillay,8937,5.6645,0.5963,30.7416,17.2108,2.1878,15.7523,41.1422,32.4582,27.2972,49.7588,5.8454
5,Valparaíso,57,San Felipe de Aconcagua,5704,Panquehue,2442,4.9979,0.2082,30.3564,11.5936,1.188,14.9939,40.9668,34.0434,22.5727,53.093,6.186
5,Valparaíso,57,San Felipe de Aconcagua,5705,Putaendo,6049,4.9591,0.4772,31.191,12.059,5.6982,14.5933,38.6782,37.4358,29.6671,47.6727,6.7418
5,Valparaíso,57,San Felipe de Aconcagua,5706,Santa María,5362,4.4835,0.2838,29.0858,12.9664,3.7687,16.3993,38.8993,34.5149,26.7537,47.7239,5.8769
5,Valparaíso,58,Marga Marga,5801,Quilpué,59724,4.3469,0.7233,37.3349,24.8188,2.8797,16.2756,34.6537,35.0625,23.3554,52.1219,4.8157
5,Valparaíso,58,Marga Marga,5802,Limache,19916,4.741,0.3298,32.4957,17.9391,2.5331,15.942,39.6552,32.5463,25.6447,49.9292,5.137
5,Valparaíso,58,Marga Marga,5803,Olmué,7450,5.2524,0.3674,30.3396,10.6726,3.92,12.4983,34.5952,38.0185,26.1377,46.6506,4.5509
5,Valparaíso,58,Marga Marga,5804,Villa Alemana,50084,3.3472,0.1967,32.0635,21.8421,2.132,17.1438,38.6355,32.1115,22.2365,54.5302,4.7804
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6101,Rancagua,92917,4.5714,0.2884,38.5658,29.2409,2.0801,16.3672,38.8461,28.7182,24.8339,50.3052,4.4049
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6102,Codegua,4660,4.9213,0.35,31.7147,12.5054,1.8264,13.9665,40.9755,32.1014,27.847,46.9703,6.3386
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6103,Coinco,2796,5.5172,0.2904,32.1288,11.0912,4.4723,13.9177,36.9589,37.5671,28.3005,43.6494,5.975
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6104,Coltauco,7553,5.6576,0.2971,29.5668,12.2798,2.8216,14.28,39.1708,34.19,30.4411,45.8074,5.0603
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6105,Doñihue,7708,5.5256,0.2105,36.5892,19.7818,4.0265,15.2098,41.4989,32.3808,27.7569,50.552,5.4812
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6106,Graneros,12187,5.9231,0.3248,31.8463,21.5448,1.0657,15.3242,44.5188,26.9062,22.8583,48.0215,5.3779
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6107,Las Cabras,9846,6.2649,0.3948,33.0347,15.7386,1.3743,12.7151,38.4302,33.6048,27.3033,45.2408,5.1105
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6108,Machalí,20491,3.318,0.1981,29.768,20.4493,2.0708,13.8559,47.4481,24.1758,20.3614,43.8877,4.7326
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6109,Malloa,4937,5.5348,0.3109,30.3933,9.854,4.0552,14.1119,36.9221,36.4558,28.9335,41.6464,5.9611
