dataset_id,reference_year,survey_wave,variable,variable_label,category_code,category_label,n_unweighted,pct_unweighted,household_weight,household_weighted_n,household_weighted_pct,person_weight,person_weighted_n,person_weighted_pct,cell_rule
2025_XII_bbddsubtel2025_031225,2025,XII,A10,"A10.- Pensando en el jefe de hogar, ¿cuál fue el último curso y tipo de estudio aprobado por el jefe de hogar?",3.0,Básica completa,580,11.6,FE_HOGAR,588409.081,10.4113,FE_PERSONAS,1349521.611,9.77152,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A10,"A10.- Pensando en el jefe de hogar, ¿cuál fue el último curso y tipo de estudio aprobado por el jefe de hogar?",5.0,Media Técnico-Profesional Incompleta,174,3.48,FE_HOGAR,186584.538,3.30142,FE_PERSONAS,447761.388,3.24212,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A10,"A10.- Pensando en el jefe de hogar, ¿cuál fue el último curso y tipo de estudio aprobado por el jefe de hogar?",2.0,Básica incompleta,445,8.9,FE_HOGAR,439261.46,7.77229,FE_PERSONAS,899755.053,6.51488,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A10,"A10.- Pensando en el jefe de hogar, ¿cuál fue el último curso y tipo de estudio aprobado por el jefe de hogar?",9.0,Superior Técnica Completa,478,9.56,FE_HOGAR,602148.898,10.65442,FE_PERSONAS,1470835.4,10.64992,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A10,"A10.- Pensando en el jefe de hogar, ¿cuál fue el último curso y tipo de estudio aprobado por el jefe de hogar?",6.0,Media Científico-Humanista Completa,1360,27.2,FE_HOGAR,1384771.686,24.50213,FE_PERSONAS,3449022.361,24.97344,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A10,"A10.- Pensando en el jefe de hogar, ¿cuál fue el último curso y tipo de estudio aprobado por el jefe de hogar?",4.0,Media Científico-Humanista Incompleta,361,7.22,FE_HOGAR,388334.068,6.87118,FE_PERSONAS,834406.16,6.04171,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A10,"A10.- Pensando en el jefe de hogar, ¿cuál fue el último curso y tipo de estudio aprobado por el jefe de hogar?",11.0,Superior Universitaria Completa,786,15.72,FE_HOGAR,1081960.054,19.14419,FE_PERSONAS,2836030.983,20.53494,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A10,"A10.- Pensando en el jefe de hogar, ¿cuál fue el último curso y tipo de estudio aprobado por el jefe de hogar?",7.0,Media Técnico-Profesional Completa,502,10.04,FE_HOGAR,527013.719,9.32497,FE_PERSONAS,1284240.631,9.29884,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A10,"A10.- Pensando en el jefe de hogar, ¿cuál fue el último curso y tipo de estudio aprobado por el jefe de hogar?",8.0,Superior Técnica Incompleta,77,1.54,FE_HOGAR,110633.953,1.95756,FE_PERSONAS,286176.782,2.07213,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A10,"A10.- Pensando en el jefe de hogar, ¿cuál fue el último curso y tipo de estudio aprobado por el jefe de hogar?",10.0,Superior Universitaria Incompleta,200,4.0,FE_HOGAR,306644.036,5.42576,FE_PERSONAS,881091.939,6.37975,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A10,"A10.- Pensando en el jefe de hogar, ¿cuál fue el último curso y tipo de estudio aprobado por el jefe de hogar?",1.0,Sin educación formal,37,0.74,FE_HOGAR,35875.509,0.63478,FE_PERSONAS,71918.691,0.52074,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A11,A11.- Y ¿Cuál es la profesión o trabajo o actividad del principal sostenedor del hogar?,1.0,"1.Trabajos menores ocasionales e informales (Lavado, aseo, servicio doméstico ocasional, pololo, cuidador de autos)",748,14.96,FE_HOGAR,657604.667,11.63565,FE_PERSONAS,1493143.047,10.81145,published only when unweighted n >= 30
