indicador,ranking,region,nombre_region,comuna,nombre_comuna,N_ponderado,%
Solo móvil,Bottom,5,Región de Valparaíso,5801,Quilpué,174197,12.3154
Solo móvil,Bottom,8,Región del Biobío,8106,Lota,45362,12.3826
Solo móvil,Bottom,13,Región Metropolitana de Santiago,13109,La Cisterna,101359,12.4834
Solo móvil,Bottom,13,Región Metropolitana de Santiago,13130,San Miguel,146610,13.0223
Solo móvil,Bottom,13,Región Metropolitana de Santiago,13401,San Bernardo,349711,13.1231
Solo móvil,Bottom,12,Región de Magallanes y de la Antártica Chilena,12101,Punta Arenas,146033,13.5456
Solo móvil,Bottom,5,Región de Valparaíso,5804,Villa Alemana,148195,14.0403
Sin internet,Top,16,Región de Ñuble,16105,Pemuco,8585,40.5708
Sin internet,Top,12,Región de Magallanes y de la Antártica Chilena,12104,San Gregorio,648,31.0185
Sin internet,Top,16,Región de Ñuble,16104,El Carmen,12170,29.1537
Sin internet,Top,1,Región de Tarapacá,1403,Colchane,1561,28.8917
Sin internet,Top,9,Región de La Araucanía,9207,Lumaco,9901,26.6539
Sin internet,Top,4,Región de Coquimbo,4104,La Higuera,4539,24.0361
Sin internet,Top,9,Región de La Araucanía,9205,Lonquimay,11108,22.6864
Sin internet,Top,6,Región del Libertador Gral. Bernardo O'Higgins,6205,Navidad,7166,21.923
Sin internet,Top,4,Región de Coquimbo,4302,Combarbalá,13837,20.7632
Sin internet,Top,1,Región de Tarapacá,1402,Camiña,1375,20
Sin internet,Top,7,Región del Maule,7202,Chanco,9238,19.528
Sin internet,Top,16,Región de Ñuble,16206,Ranquil,6281,19.5033
Sin internet,Top,16,Región de Ñuble,16202,Cobquecura,5216,19.4018
Sin internet,Top,9,Región de La Araucanía,9110,Melipeuco,6302,19.3431
Sin internet,Top,9,Región de La Araucanía,9102,Carahue,25528,18.5835
Sin internet,Top,7,Región del Maule,7103,Curepto,9121,18.3204
Sin internet,Top,9,Región de La Araucanía,9116,Saavedra,12636,18.1624
Sin internet,Top,4,Región de Coquimbo,4305,Río Hurtado,4312,17.6484
Sin internet,Top,6,Región del Libertador Gral. Bernardo O'Higgins,6203,Litueche,6967,16.5207
Sin internet,Top,8,Región del Biobío,8307,Negrete,10610,15.7493
Sin internet,Bottom,13,Región Metropolitana de Santiago,13132,Vitacura,96913,0
Sin internet,Bottom,15,Región de Arica y Parinacota,15202,General Lagos,660,0
Sin internet,Bottom,13,Región Metropolitana de Santiago,13601,Talagante,85879,0
Sin internet,Bottom,5,Región de Valparaíso,5803,Olmué,20342,0
Sin internet,Bottom,12,Región de Magallanes y de la Antártica Chilena,12103,Río Verde,210,0
Sin internet,Bottom,2,Región de Antofagasta,2103,Sierra Gorda,1802,0
Sin internet,Bottom,12,Región de Magallanes y de la Antártica Chilena,12402,Torres del Paine,1080,0
Sin internet,Bottom,13,Región Metropolitana de Santiago,13114,Las Condes,344511,0.1106
Sin internet,Bottom,2,Región de Antofagasta,2102,Mejillones,15952,0.2696
Sin internet,Bottom,5,Región de Valparaíso,5103,Concón,48400,0.3926
Sin internet,Bottom,13,Región Metropolitana de Santiago,13123,Providencia,164384,0.393
Sin internet,Bottom,13,Región Metropolitana de Santiago,13124,Pudahuel,262173,0.3952
Sin internet,Bottom,5,Región de Valparaíso,5606,Santo Domingo,12673,0.4103
Sin internet,Bottom,13,Región Metropolitana de Santiago,13120,Ñuñoa,268286,0.4823
Sin internet,Bottom,13,Región Metropolitana de Santiago,13115,Lo Barnechea,131549,0.4964
Sin internet,Bottom,5,Región de Valparaíso,5702,Catemu,15767,0.5328
Sin internet,Bottom,13,Región Metropolitana de Santiago,13108,Independencia,154296,0.55
Sin internet,Bottom,13,Región Metropolitana de Santiago,13604,Padre Hurtado,82475,0.5905
Sin internet,Bottom,13,Región Metropolitana de Santiago,13119,Maipú,586960,0.6312
Sin internet,Bottom,13,Región Metropolitana de Santiago,13106,Estación Central,222676,0.6808
