macro,N_ponderado,Internet (cualquier acceso),Internet fijo,Solo móvil,Sin internet,Carencia conectividad digital (PM),Pobreza ingresos (ext+no ext),Doble pobreza (ingresos+digital),Pobres conectados sin fijo (proxy)
Austral,1205961,96.27977459586172,57.58584102122705,36.47066069168074,3.720225404138276,19.53715031887432,15.28965034283861,4.991510388810251,
Centro,12675477,98.10852276454764,77.10557790364022,20.35883440050422,1.891477235452362,10.53344005676473,15.43877371344684,3.157668787683493,
Norte,2593092,97.59191922831893,67.50642263564116,28.64276500120319,2.408080771681067,14.82229234041831,19.32446873496968,5.326173872812842,
Sur,3657152,95.6695322198804,61.3054529430278,32.61944796524728,4.330467780119612,17.93771131202641,22.90610922149257,6.476468192927173,
