event_date,project_id,project_name,event_type,status,operator,region,reported_localities,localities_qualifier,fiber_km,fiber_km_qualifier,households,households_qualifier,amount_clp,amount_qualifier,availability_requirement_percent,guarantee_uf,source_id,source_url,note
2026-08-25,fdt_ultima_milla_aysen,Última Milla Región de Aysén Servicio Hogar,adjudication_update,Adjudicado a Mundo Telecomunicaciones,Mundo Telecomunicaciones,Aysén,33,exact,600,greater_than,8000,approximately_less_than,7600000000,greater_than,,,subtel_fdt_aysen_20260825,https://www.subtel.gob.cl/ministerio-de-transportes-y-telecomunicaciones-y-gobierno-regional-de-aysen-anuncian-la-adjudicacion-del-proyecto-fibra-optica-ultima-milla-que-conectara-33-localidades-rurales-con-alta-velocidad/,Public update supersedes the Q1 process status. Q1 report listed 21 localities; this later source reports 33. Values are preserved as separate vintages and not harmonized.
2026-08-03,fdt_fon,Fibra Óptica Nacional,regulatory_enforcement,Cobro íntegro de garantías por incumplimientos,WOM S.A.,Arica y Parinacota; Norte; Centro Norte; Centro; Centro Sur,,,,,,,52000000000,greater_than,98,316410.15,subtel_fon_enforcement_20260803,https://www.subtel.gob.cl/subsecretaria-de-telecomunicaciones-ordena-cobro-integro-de-garantias-a-wom-por-incumplimientos-en-fibra-optica-nacional-fon/,SUBTEL reports WOM subsidy above CLP 52 billion and FON total public subsidy above CLP 80 billion. The enforcement concerns annual service availability and operational obligations not construction completion.
