reference_year,survey_wave,segment_dimension,segment_variable,segment_code,segment_label,n_unweighted,weighted_households,weighted_households_with_paid_access,paid_access_pct,household_weight,access_variable,access_yes_code,source_url,sav_file
2016,VIII,region,regionfinal,1.0,1. Tarapacá,102,92755.0,73165.0,78.8798,FACT_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/BASE_DATOS_SUBTEL_8A_ENCUESTA_ACCESO_VF.sav,source_2016_VIII.sav
2016,VIII,region,regionfinal,10.0,10. Los Lagos,302,267585.0,172371.0,64.4173,FACT_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/BASE_DATOS_SUBTEL_8A_ENCUESTA_ACCESO_VF.sav,source_2016_VIII.sav
2016,VIII,region,regionfinal,11.0,11. Aysén,102,29050.0,23128.0,79.6145,FACT_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/BASE_DATOS_SUBTEL_8A_ENCUESTA_ACCESO_VF.sav,source_2016_VIII.sav
2016,VIII,region,regionfinal,12.0,12. Magallanes,101,42628.0,35831.0,84.0551,FACT_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/BASE_DATOS_SUBTEL_8A_ENCUESTA_ACCESO_VF.sav,source_2016_VIII.sav
2016,VIII,region,regionfinal,13.0,13. Metropolitana,499,2064867.0,1807340.0,87.5282,FACT_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/BASE_DATOS_SUBTEL_8A_ENCUESTA_ACCESO_VF.sav,source_2016_VIII.sav
2016,VIII,region,regionfinal,14.0,14. Los Ríos,101,125852.0,93794.0,74.5272,FACT_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/BASE_DATOS_SUBTEL_8A_ENCUESTA_ACCESO_VF.sav,source_2016_VIII.sav
2016,VIII,region,regionfinal,15.0,15. Arica y Parinacota,99,65864.0,52182.0,79.2269,FACT_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/BASE_DATOS_SUBTEL_8A_ENCUESTA_ACCESO_VF.sav,source_2016_VIII.sav
2016,VIII,region,regionfinal,2.0,2. Antofagasta,305,141620.0,122819.0,86.7243,FACT_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/BASE_DATOS_SUBTEL_8A_ENCUESTA_ACCESO_VF.sav,source_2016_VIII.sav
2016,VIII,region,regionfinal,3.0,3. Atacama,107,96581.0,80712.0,83.5692,FACT_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/BASE_DATOS_SUBTEL_8A_ENCUESTA_ACCESO_VF.sav,source_2016_VIII.sav
2016,VIII,region,regionfinal,4.0,4. Coquimbo,299,235745.0,190312.0,80.7279,FACT_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/BASE_DATOS_SUBTEL_8A_ENCUESTA_ACCESO_VF.sav,source_2016_VIII.sav
2016,VIII,region,regionfinal,5.0,5. Valparaíso,349,661327.0,492335.0,74.4465,FACT_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/BASE_DATOS_SUBTEL_8A_ENCUESTA_ACCESO_VF.sav,source_2016_VIII.sav
2016,VIII,region,regionfinal,6.0,6. O’Higgins,305,288731.0,201415.0,69.7587,FACT_HOGAR,P5,1.0,https://www.subtel.gob.cl/wp-content/uploads/2018/02/BASE_DATOS_SUBTEL_8A_ENCUESTA_ACCESO_VF.sav,source_2016_VIII.sav
