sheet,max_row,max_column,candidate_header_row,header_score,workbook_bytes,source_page,source_sheet
Seleccionados AC 2025,701,6,1,6,51292,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
Lista Espera AC 2025,94,7,1,6,51292,https://www.innovacion.mineduc.cl/convocatoria-2025,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit
