selection_group,rbd,program_establishment_name,official_establishment_name,region_code,region_name,commune_code,commune_name,rural_rbd,latitude,longitude,dependency_code,dependency_group_code,enrollment_total,establishment_state,pie_agreement,pace,sponsor_name,project,selection_status,waitlist_position,program_source,directory_source
selected,188,ESC. MATILLA DE NUEVA EXTREMADURA,ESC. MATILLA DE NUEVA EXTREMADURA,1,TPCA,1405,PICA,1,"-20,513229","-69,360008",2,1,237,1,1,0,ILUSTRE MUNICIPALIDAD DE PICA,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,199,LICEO DOMINGO LATRILLE LASTAUNOU,LICEO DOMINGO LATRILLE LASTAUNOU,2,ANTOF,2301,TOCOPILLA,0,"-22,088579","-70,194794",6,5,657,1,1,1,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA LICANCABUR,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,201,ESCUELA CARLOS CONDELL DE LA HAZA,ESCUELA CARLOS CONDELL DE LA HAZA,2,ANTOF,2301,TOCOPILLA,0,"-22,09388","-70,203949",6,5,527,1,1,0,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA LICANCABUR,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,204,ESCUELA L. GRAL. BERNARDO O´HIGGINS R.,ESCUELA L.GRAL.BERNARDO O´HIGGINS R.,2,ANTOF,2301,TOCOPILLA,0,"-22,08532","-70,189217",6,5,612,1,1,0,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA LICANCABUR,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,205,ESCUELA ARTURO PRAT CHACÓN,ESCUELA ARTURO PRAT CHACON,2,ANTOF,2301,TOCOPILLA,0,"-22,085079","-70,187561",6,5,413,1,1,0,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA LICANCABUR,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,210,ESCUELA ARTURO PEREZ CANTO,ESCUELA ARTURO PEREZ CANTO,2,ANTOF,2302,MARÍA ELENA,0,"-22,34457","-69,667801",6,5,655,1,1,0,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA LICANCABUR,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,211,LICEO H.C. T.P. MARÍA ELENA,LICEO H.C. T.P. MARIA ELENA,2,ANTOF,2302,MARÍA ELENA,0,"-22,346689","-69,667122",6,5,313,1,1,1,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA LICANCABUR,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,223,ESCUELA CLAUDIO ARRAU,ESCUELA CLAUDIO ARRAU,2,ANTOF,2201,CALAMA,0,"-22,44936","-68,926231",6,5,782,1,1,0,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA LICANCABUR,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,230,ESCUELA BÁSICA ANDRES BELLO,ESCUELA BASICA ANDRES BELLO,2,ANTOF,2201,CALAMA,0,"-22,45573","-68,916397",6,5,622,1,1,0,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA LICANCABUR,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
selected,238,ESCUELA DIFERENCIAL LOA,ESCUELA DIFERENCIAL LOA,2,ANTOF,2201,CALAMA,0,"-22,45413589","-68,91889954",6,5,176,1,0,0,SERVICIO LOCAL DE EDUCACIÓN PÚBLICA LICANCABUR,Aulas Conectadas 2025,SELECCIONADO,,https://docs.google.com/spreadsheets/d/11EPq1k3dRWyrXfsWJWh405slQ-tyEjJj/edit,https://datosabiertos.mineduc.cl/wp-content/uploads/2025/11/Directorio-Oficial-EE-2025.rar
