dataset_id,reference_year,survey_wave,variable,label,dtype,nonmissing_n,distinct_values,missing_pct,has_value_labels,value_labels_json,is_weight_candidate,selected_weight,source_url
2025_XII_bbddsubtel2025_031225,2025,XII,A12_3,Quechua [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],float64,5000,2,0.0,False,{},False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,A12_4,Mapuche [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],float64,5000,2,0.0,False,{},False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,A12_5,Atacameño [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],float64,5000,2,0.0,False,{},False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,A12_6,Chango [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],float64,5000,2,0.0,False,{},False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,A12_7,Colla [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],float64,5000,2,0.0,False,{},False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,A12_8,Kawéskar [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],float64,5000,2,0.0,False,{},False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,A12_9,Selk’nam [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],float64,5000,2,0.0,False,{},False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,A12_10,Yagán [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],float64,5000,1,0.0,False,{},False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,A12_111,Diaguita [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],float64,5000,2,0.0,False,{},False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,A12_12,Afrodescendiente [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],float64,5000,2,0.0,False,{},False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,A12_13,Ninguno pertenece a pueblos indígenas o tribales [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],float64,5000,2,0.0,False,{},False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,A13_1,Dificultad física y/o de movilidad [A13.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],float64,5000,2,0.0,False,{},False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,A13_2,Mudez o dificultad en el habla [A13.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],float64,5000,2,0.0,False,{},False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,A13_3,Dificultad psiquiátrica [A13.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],float64,5000,2,0.0,False,{},False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,A13_4,Dificultad mental o intelectual [A13.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],float64,5000,2,0.0,False,{},False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,A13_5,Sordera o dificultad para oír aún usando audífonos [A13.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],float64,5000,2,0.0,False,{},False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,A13_6,Ceguera o dificultad para ver aún usando lentes [A13.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],float64,5000,2,0.0,False,{},False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,A13_7,No hay miembros con condición de larga duración [A13.- ¿Hay algún miembro de este hogar con alguna de estas condiciones permanentes y/o de larga duración?],float64,5000,2,0.0,False,{},False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,A14_1,Trabaja con remuneración [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],float64,5000,2,0.0,False,{},False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,A14_2,Trabaja sin remuneración [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],float64,5000,2,0.0,False,{},False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,A14_3,Cesante [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],float64,5000,2,0.0,False,{},False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,A14_4,Busca trabajo por 1ª vez [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],float64,5000,2,0.0,False,{},False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,A14_5,Estudia (en 2025) [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],float64,5000,2,0.0,False,{},False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,A14_6,Dueña de casa [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],float64,5000,2,0.0,False,{},False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,A14_7,Jubilados / Pensionados / Inactivos [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],float64,5000,2,0.0,False,{},False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,A14_8,Otro. Especifique [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],float64,5000,2,0.0,False,{},False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,A14_OTRA,A14.- ¿En este hogar hay personas con estas situaciones laborales? RM - Otro. Especifique,str,5000,36,0.0,False,{},False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,P1,"P1. ¿Algunos miembros de este hogar tienen acceso propio y pagado a Internet fijo o móvil desde el hogar, sin importar si lo utilizan o no?",float64,5000,2,0.0,True,"{""1.0"": ""Sí"", ""2.0"": ""No""}",False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,P2,"P2.- En este hogar, ¿cuántos teléfonos móviles propios de tipo smartphone (con pantalla táctil y posibilidad de acceso a internet) hay? (digitar de 0 hacia arriba)",float64,4841,20,3.18,True,"{""0.0"": ""0"", ""1.0"": ""1"", ""2.0"": ""2"", ""3.0"": ""3"", ""4.0"": ""4"", ""5.0"": ""5"", ""6.0"": ""6"", ""7.0"": ""7"", ""8.0"": ""8"", ""9.0"": ""9"", ""10.0"": ""10"", ""11.0"": ""11"", ""12.0"": ""12"", ""15.0"": ""15"", ""20.0"": ""20"", ""32.0"": ""32"", ""40.0"": ""40"", ""41.0"": ""41"", ""51.0"": ""51"", ""99.0"": ""99""}",False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,P2_1,"P2_1.- En este hogar, ¿cuántos computadores propios hay (desktop, notebook, Tablet)?",float64,4841,12,3.18,True,"{""0.0"": ""0"", ""1.0"": ""1"", ""2.0"": ""2"", ""3.0"": ""3"", ""4.0"": ""4"", ""5.0"": ""5"", ""6.0"": ""6"", ""7.0"": ""7"", ""8.0"": ""8"", ""13.0"": ""13"", ""40.0"": ""40"", ""99.0"": ""99""}",False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,P3_1,"P3_1 .- ¿Cuál o cuáles de estos dispositivos o equipos utilizan los miembros de este hogar para acceder a Internet ? Computador fijo (PC, DESKTOP)",float64,4841,3,3.18,True,"{""1.0"": ""Sí"", ""2.0"": ""No"", ""3.0"": ""No sabe / No responde (NO LEER)""}",False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,P3_2,P3_2 .- ¿Cuál o cuáles de estos dispositivos o equipos utilizan los miembros de este hogar para acceder a Internet ? Computador portátil (notebook / laptop o netbook),float64,4841,3,3.18,True,"{""1.0"": ""Sí"", ""2.0"": ""No"", ""3.0"": ""No sabe / No responde (NO LEER)""}",False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,P3_3,"P3_3 .- ¿Cuál o cuáles de estos dispositivos o equipos utilizan los miembros de este hogar para acceder a Internet ? Tablet (Ipad, Galaxy TAB, Xperia Tablet, HP palm touchpad, etc.)",float64,4841,3,3.18,True,"{""1.0"": ""Sí"", ""2.0"": ""No"", ""3.0"": ""No sabe / No responde (NO LEER)""}",False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,P3_4,"P3_4 .- ¿Cuál o cuáles de estos dispositivos o equipos utilizan los miembros de este hogar para acceder a Internet ? Teléfono móvil o Smartphone (Iphone, Samsung, Xiaomi, Galaxy, LG, etc.)",float64,4841,2,3.18,True,"{""1.0"": ""Sí"", ""2.0"": ""No"", ""3.0"": ""No sabe / No responde (NO LEER)""}",False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,P3_5,"P3_5 .- ¿Cuál o cuáles de estos dispositivos o equipos utilizan los miembros de este hogar para acceder a Internet ? Consola de juegos (WII, Nintendo, PS-3, PS-4, PS-5, XBOX,etc.)",float64,4841,3,3.18,True,"{""1.0"": ""Sí"", ""2.0"": ""No"", ""3.0"": ""No sabe / No responde (NO LEER)""}",False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,P3_6,P3_6 .- ¿Cuál o cuáles de estos dispositivos o equipos utilizan los miembros de este hogar para acceder a Internet ? TV con conexión a internet habilitada (Smart TV),float64,4841,3,3.18,True,"{""1.0"": ""Sí"", ""2.0"": ""No"", ""3.0"": ""No sabe / No responde (NO LEER)""}",False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,P3_7,"P3_7 .- ¿Cuál o cuáles de estos dispositivos o equipos utilizan los miembros de este hogar para acceder a Internet ? Reproductores de streaming de TV (Roku, Chromecast, Amazon Fire, Xiaomi mi TV, Apple tv, etc.)",float64,4841,3,3.18,True,"{""1.0"": ""Sí"", ""2.0"": ""No"", ""3.0"": ""No sabe / No responde (NO LEER)""}",False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,P3_8,P3_8 .- ¿Cuál o cuáles de estos dispositivos o equipos utilizan los miembros de este hogar para acceder a Internet ? Otros: ¿Cuál?:,float64,4841,3,3.18,True,"{""1.0"": ""Sí"", ""2.0"": ""No"", ""3.0"": ""No sabe / No responde (NO LEER)""}",False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,P3_8_OTRA,otros- cual?,str,5000,26,0.0,False,{},False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,P4_1,Banda Ancha Fija [Adsl / Cable Modem / Fibra Óptica / Otra] Ya Sea Por Cable O Wifi [P4.- ¿Dispone usted de alguna o algunas de las siguientes FORMAS DE ACCESO PAGADA para conectarse a Internet en SU HOGAR?],float64,5000,2,0.0,False,{},False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
2025_XII_bbddsubtel2025_031225,2025,XII,P4_2,Banda Ancha Móvil [Bam] [P4.- ¿Dispone usted de alguna o algunas de las siguientes FORMAS DE ACCESO PAGADA para conectarse a Internet en SU HOGAR?],float64,5000,2,0.0,False,{},False,False,https://www.subtel.gob.cl/wp-content/uploads/2026/02/BBDDSubtel2025_031225.sav_.zip
