dataset_id,reference_year,survey_wave,domain,score,variable,label,nonmissing_n,distinct_values,missing_pct,has_value_labels
2025_XII_bbddsubtel2025_031225,2025,XII,banking_payments,1,Q26_CODIF_20,"Los pagos los hace por internet [Q26.- ¿En qué aspectos el acceso a Internet ha mejorado sus condiciones de vida, el ejercicio de derecho o el acceso a beneficios estatales (gobierno central, municipal, judicial, etc.)?]",1228,2,75.44,False
2025_XII_bbddsubtel2025_031225,2025,XII,banking_payments,1,Q26_CODIF_21,"Posibilidades de compras  y ventas <BR> [Q26.- ¿En qué aspectos el acceso a Internet ha mejorado sus condiciones de vida, el ejercicio de derecho o el acceso a beneficios estatales (gobierno central, municipal, judicial, etc.)?]",1228,2,75.44,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,3,Q34_12,NET COSTO DE SERVICIO [Q34. Señale las razones por las que no ha utilizado Internet…],269,2,94.62,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,3,Q34_13,"10.- Los equipos para conectarse a Internet son muy caros (computador, notebook, tablet, smartphone) [Q34. Señale las razones por las que no ha utilizado Internet…]",269,2,94.62,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,3,Q34_15,NET COBERTURA [Q34. Señale las razones por las que no ha utilizado Internet…],269,2,94.62,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,3,Q34_21,No sabe usarlos [Q34. Señale las razones por las que no ha utilizado Internet…],269,1,94.62,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,3,P13_7,"7.- Costo del equipo o terminal (computador, notebook, Tablet, Smartphone, Smart TV etc.) para conectarse es muy elevado [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha f",1645,2,67.1,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,3,P13_8,"8.- Costo del servicio de internet fijo (por cable/fibra o WiFi) es muy elevado [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por cable/fibra o WiFi? SONDE",1645,2,67.1,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,P13_OTRA,"P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha fija, ya sea por cable/fibra o WiFi? SONDEAR ¿Por alguna otra razón? RM - Otro",5000,173,0.0,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,Q34_OTRA,Q34.- Señale las razones por las que no ha utilizado Internet en los últimos 12 meses o nunca.  - OTRO.,5000,31,0.0,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,Q36_CODIF_2,"No se maneja, no sabe usar [Q36.-  ¿Por qué no le interesa?]",48,2,99.04,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,Q36_CODIF_13,Es muy  caro [Q36.-  ¿Por qué no le interesa?],48,2,99.04,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,Q36_CODIF_15,Otra razón [Q36.-  ¿Por qué no le interesa?],48,1,99.04,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,Q34_1,NET RELEVANCIA [Q34. Señale las razones por las que no ha utilizado Internet…],269,2,94.62,False
2025_XII_bbddsubtel2025_031225,2025,XII,barriers_non_access,2,Q34_2,1.- No sé bien para qué sirve el Internet / no sé cuáles son los beneficios [Q34. Señale las razones por las que no ha utilizado Internet…],269,2,94.62,False
