reference_year,survey_wave,domain,score,variable,label,nonmissing_n,distinct_values,missing_pct,has_value_labels
2025,XII,demographic_education,1,P6_1_12,12.- Permite realizar trabajo o estudios desde casa [P6_1.- Por cuál o cuáles razones tiene el servicio de Internet Móvil en su hogar? ],4343,2,13.14,False
2025,XII,demographic_education,1,P6_1,1.- Apoyo a la educación propia o de hijos / nietos / parientes [P6.-¿Por cuál o cuáles razones tiene el servicio de Internet Fijo en su hogar?],3355,2,32.9,False
2025,XII,demographic_education,1,P6_12,12.- Permite realizar trabajo o estudios desde casa [P6.-¿Por cuál o cuáles razones tiene el servicio de Internet Fijo en su hogar?],3355,2,32.9,False
2025,XII,demographic_education,1,Q24_CODIF_21,"Ayuda en los estudios/estudiar [Q24. ¿En qué aspectos el acceso a Internet ha facilitado o potenciado su actividad académica, laboral o la de su empresa?]",3355,2,32.9,False
2025,XII,demographic_employment,1,A11,A11.- Y ¿Cuál es la profesión o trabajo o actividad del principal sostenedor del hogar?,5000,6,0.0,True
2025,XII,demographic_employment,1,A14_1,Trabaja con remuneración [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],5000,2,0.0,False
2025,XII,demographic_employment,1,A14_2,Trabaja sin remuneración [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],5000,2,0.0,False
2025,XII,demographic_employment,1,A14_4,Busca trabajo por 1ª vez [A14.- ¿En este hogar hay personas con estas situaciones laborales? ],5000,2,0.0,False
2025,XII,demographic_employment,1,Q1_4,Q1_4.- ¿Cuál es su profesión o trabajo o actividad?,5000,7,0.0,True
2025,XII,demographic_employment,1,Q6_10,"En el trabajo [Q6.- Respecto del uso del computador, ¿cómo aprendió a hacer uso de él?  RM]",5000,2,0.0,False
2025,XII,demographic_employment,1,Q11_1_2,"Lugar de trabajo (fuera del hogar) [Q11_1.- En el último día, ¿en qué lugares ha utilizado Internet? ]",4731,2,5.38,False
2025,XII,demographic_employment,1,Q21_4,"3. obtener información para realizar trabajos/informes de mi actividad laboral [Q21.- En los últimos 3 meses, pensando en su uso personal o particular: ¿para cuál o cuáles de estas actividades ha usado internet?]",4731,2,5.38,False
2025,XII,demographic_income_gse,1,A12_1,A12.- ¿a cuál de los siguientes tramos corresponde el promedio total de los ingresos familiares?,5000,62,0.0,True
2025,XII,demographic_sex_gender,1,Q1_2,Q1_2.- Sexo del entrevistado,5000,2,0.0,True
2025,XII,devices,5,P13_7,"7.- Costo del equipo o terminal (computador, notebook, Tablet, Smartphone, Smart TV etc.) para conectarse es muy elevado [P13.- Por cuál o cuáles de estas razones los miembros de este hogar no tienen acceso a internet propio y pagado mediante banda ancha f",1645,2,67.1,False
2025,XII,devices,4,Q34_13,"10.- Los equipos para conectarse a Internet son muy caros (computador, notebook, tablet, smartphone) [Q34. Señale las razones por las que no ha utilizado Internet…]",269,2,94.62,False
2025,XII,devices,3,P4_3,"Internet Móvil Con Plan O Bolsa De Gigas/Megas De Un Teléfono Móvil [Smartphone] O Tablet (3G, 4G, 5G [P4.- ¿Dispone usted de alguna o algunas de las siguientes FORMAS DE ACCESO PAGADA para conectarse a Internet en SU HOGAR?]",5000,2,0.0,False
