dataset_id,reference_year,survey_wave,variable,variable_label,category_code,category_label,n_unweighted,pct_unweighted,weighted_n,pct_weighted,weight_variable,cell_rule
2025_XII_bbddsubtel2025_031225,2025,XII,A10,"A10.- Pensando en el jefe de hogar, ¿cuál fue el último curso y tipo de estudio aprobado por el jefe de hogar?",8.0,Superior Técnica Incompleta,77,1.54,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A10,"A10.- Pensando en el jefe de hogar, ¿cuál fue el último curso y tipo de estudio aprobado por el jefe de hogar?",10.0,Superior Universitaria Incompleta,200,4.0,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A10,"A10.- Pensando en el jefe de hogar, ¿cuál fue el último curso y tipo de estudio aprobado por el jefe de hogar?",1.0,Sin educación formal,37,0.74,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A11,A11.- Y ¿Cuál es la profesión o trabajo o actividad del principal sostenedor del hogar?,1.0,"1.Trabajos menores ocasionales e informales (Lavado, aseo, servicio doméstico ocasional, pololo, cuidador de autos)",748,14.96,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A11,A11.- Y ¿Cuál es la profesión o trabajo o actividad del principal sostenedor del hogar?,4.0,"4.Empleado administrativo medio y bajo, vendedor, secretaria, jefe sección. Técnico especializado, profesional independi",1412,28.24,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A11,A11.- Y ¿Cuál es la profesión o trabajo o actividad del principal sostenedor del hogar?,2.0,"2.Oficio menor, obrero no calificado, jornalero, servicio doméstico con contrato",697,13.94,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A11,A11.- Y ¿Cuál es la profesión o trabajo o actividad del principal sostenedor del hogar?,5.0,"5.Ejecutivo medio (gerente, subgerente). Gerente general de empresa media o pequeña. Profesional independiente de carrer",366,7.32,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A11,A11.- Y ¿Cuál es la profesión o trabajo o actividad del principal sostenedor del hogar?,3.0,"3.Obrero calificado, capataz, Junior microempresario (kiosco, taxi, comercio menor, ambulante)",1750,35.0,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A12_11,Aymara [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],0.0,0.0,4920,98.4,,,,published only when unweighted n >= 30
2025_XII_bbddsubtel2025_031225,2025,XII,A12_11,Aymara [A12.- ¿Algún miembro de este hogar pertenece o es descendiente de alguno de estos pueblos indígenas? RM],1.0,1.0,80,1.6,,,,published only when unweighted n >= 30
